CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:20.996
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Aussaguel: lon = 1.499 deg, lat = 43.430 deg, alt = 154.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 8234.855
51544 43267.05600 8570.961
51544 43366.11200 8904.649
51544 43465.16800 9233.342
51544 43564.22400 9554.785
51544 43663.28000 9866.993
51544 43762.33600 10168.225
51544 43861.39200 10456.939
51544 43960.44800 10731.763
51544 44059.50400 10991.482
51544 44158.56000 11234.999
51544 44257.61600 11461.342
51544 44356.67200 11669.631
51544 44455.72800 11859.071
51544 44554.78400 12028.948
51544 44653.84000 12178.616
51544 44752.89600 12307.496
51544 44851.95200 12415.069
51544 44951.00800 12500.868
51544 45050.06400 12564.486
51544 45149.12000 12605.568
51544 45248.17600 12623.814
51544 45347.23200 12618.978
51544 45446.28800 12590.876
51544 45545.34400 12539.380
51544 45644.40000 12464.430
51544 45743.45600 12366.038
51544 45842.51200 12244.285
51544 45941.56800 12099.341
51544 46040.62400 11931.463
51544 46139.68000 11741.010
51544 46238.73600 11528.447
51544 46337.79200 11294.358
51544 46436.84800 11039.461
51544 46535.90400 10764.614
51544 46634.96000 10470.845
51544 46734.01600 10159.354
51544 46833.07200 9831.542
51544 46932.12800 9489.042
51544 47031.18400 9133.737
51544 47130.24000 8767.808
51544 47229.29600 8393.773
51544 47328.35200 8014.543
51544 47427.40800 7633.489
51544 47526.46400 7254.525
51544 47625.52000 6882.191
51544 47724.57600 6521.752
51544 47823.63200 6179.269
51544 47922.68800 5861.645
51544 48021.74400 5576.549
51544 48120.80000 5332.200
51544 48219.85600 5136.896
51544 48318.91200 4998.256
51544 48417.96800 4922.274
51544 48517.02400 4912.363
51544 48616.08000 4968.736
51544 48715.13600 5088.370
51544 48814.19200 5265.564
51544 48913.24800 5492.875
51544 49012.30400 5762.097
51544 49111.36000 6065.068
51544 49210.41600 6394.173
51544 49309.47200 6742.601
51544 49408.52800 7104.409
51544 49507.58400 7474.490
51544 49606.64000 7848.493
51544 49705.69600 8222.698
51544 49804.75200 8593.930
51544 49903.80800 8959.456
51544 50002.86400 9316.927
51544 50101.92000 9664.285
51544 50200.97600 9999.726
51544 50300.03200 10321.664
51544 50399.08800 10628.678
51544 50498.14400 10919.495
51544 50597.20000 11192.971
51544 50696.25600 11448.061
51544 50795.31200 11683.821
51544 50894.36800 11899.381
51544 50993.42400 12093.943
51544 51092.48000 12266.782
51544 51191.53600 12417.225
51544 51290.59200 12544.664
51544 51389.64800 12648.543
51544 51488.70400 12728.363
51544 51587.76000 12783.683
51544 51686.81600 12814.118
51544 51785.87200 12819.345
51544 51884.92800 12799.106
51544 51983.98400 12753.211
51544 52083.04000 12681.547
51544 52182.09600 12584.076
51544 52281.15200 12460.853
51544 52380.20800 12312.022
51544 52479.26400 12137.831
51544 52578.32000 11938.639
51544 52677.37600 11714.922
51544 52776.43200 11467.285
51544 52875.48800 11196.475
51544 52974.54400 10903.382
51544 53073.60000 10589.066
51544 53172.65600 10254.759
51544 53271.71200 9901.888
51544 53370.76800 9532.101
51544 53469.82400 9147.280
51544 53568.88000 8749.587
51544 53667.93600 8341.503
51544 53766.99200 7925.887
51544 53866.04800 7506.049
51544 53965.10400 7085.851
51544 54064.16000 6669.826
51544 54163.21600 6263.334
51544 54262.27200 5872.724
51544 54361.32800 5505.507
51544 54460.38400 5170.457
51544 54559.44000 4877.525
51544 54658.49600 4637.456
51544 54757.55200 4460.864
51544 54856.60800 4356.788
51544 54955.66400 4330.973
51544 55054.72000 4384.536
51544 55153.77600 4513.665
