CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.007
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and direction of Earth center
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 96.37618
51544 43267.05600 90.57695
51544 43366.11200 84.80092
51544 43465.16800 79.04625
51544 43564.22400 73.31114
51544 43663.28000 67.59383
51544 43762.33600 61.89250
51544 43861.39200 56.20543
51544 43960.44800 50.53101
51544 44059.50400 44.86761
51544 44158.56000 39.21378
51544 44257.61600 33.56798
51544 44356.67200 27.92872
51544 44455.72800 22.29452
51544 44554.78400 16.66386
51544 44653.84000 11.03510
51544 44752.89600 5.40647
51544 44851.95200 0.22701
51544 44951.00800 5.85860
51544 45050.06400 11.49897
51544 45149.12000 17.14778
51544 45248.17600 22.80741
51544 45347.23200 28.48054
51544 45446.28800 34.16968
51544 45545.34400 39.87753
51544 45644.40000 45.60667
51544 45743.45600 51.35953
51544 45842.51200 57.13858
51544 45941.56800 62.94596
51544 46040.62400 68.78355
51544 46139.68000 74.65296
51544 46238.73600 80.55542
51544 46337.79200 86.49177
51544 46436.84800 92.46233
51544 46535.90400 98.46702
51544 46634.96000 104.50503
51544 46734.01600 110.57511
51544 46833.07200 116.67542
51544 46932.12800 122.80340
51544 47031.18400 128.95608
51544 47130.24000 135.12988
51544 47229.29600 141.32081
51544 47328.35200 147.52450
51544 47427.40800 153.73641
51544 47526.46400 159.95177
51544 47625.52000 166.16583
51544 47724.57600 172.37390
51544 47823.63200 178.57123
51544 47922.68800 175.24496
51544 48021.74400 169.08011
51544 48120.80000 162.93669
51544 48219.85600 156.81759
51544 48318.91200 150.72503
51544 48417.96800 144.66082
51544 48517.02400 138.62611
51544 48616.08000 132.62176
51544 48715.13600 126.64798
51544 48814.19200 120.70462
51544 48913.24800 114.79119
51544 49012.30400 108.90691
51544 49111.36000 103.05065
51544 49210.41600 97.22102
51544 49309.47200 91.41649
51544 49408.52800 85.63541
51544 49507.58400 79.87605
51544 49606.64000 74.13656
51544 49705.69600 68.41517
51544 49804.75200 62.71014
51544 49903.80800 57.01983
51544 50002.86400 51.34245
51544 50101.92000 45.67654
51544 50200.97600 40.02060
51544 50300.03200 34.37308
51544 50399.08800 28.73255
51544 50498.14400 23.09756
51544 50597.20000 17.46651
51544 50696.25600 11.83785
51544 50795.31200 6.20977
51544 50894.36800 0.58133
51544 50993.42400 5.05258
51544 51092.48000 10.69081
51544 51191.53600 16.33691
51544 51290.59200 21.99339
51544 51389.64800 27.66280
51544 51488.70400 33.34771
51544 51587.76000 39.05084
51544 51686.81600 44.77484
51544 51785.87200 50.52220
51544 51884.92800 56.29531
51544 51983.98400 62.09647
51544 52083.04000 67.92759
51544 52182.09600 73.79035
51544 52281.15200 79.68612
51544 52380.20800 85.61576
51544 52479.26400 91.57974
51544 52578.32000 97.57797
51544 52677.37600 103.60985
51544 52776.43200 109.67420
51544 52875.48800 115.76914
51544 52974.54400 121.89239
51544 53073.60000 128.04094
51544 53172.65600 134.21133
51544 53271.71200 140.39968
51544 53370.76800 146.60159
51544 53469.82400 152.81255
51544 53568.88000 159.02782
51544 53667.93600 165.24261
51544 53766.99200 171.45225
51544 53866.04800 177.65209
51544 53965.10400 176.16120
51544 54064.16000 169.99267
51544 54163.21600 163.84500
51544 54262.27200 157.72112
51544 54361.32800 151.62335
51544 54460.38400 145.55361
51544 54559.44000 139.51314
51544 54658.49600 133.50278
51544 54757.55200 127.52288
51544 54856.60800 121.57341
51544 54955.66400 115.65397
51544 55054.72000 109.76365
51544 55153.77600 103.90155
