CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.035
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), argument_of_latitude (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = MEAN_ARGUMENT_OF_LATITUDE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 51.30003
51544 43267.05600 57.19793
51544 43366.11200 63.09683
51544 43465.16800 68.99663
51544 43564.22400 74.89715
51544 43663.28000 80.79810
51544 43762.33600 86.69931
51544 43861.39200 92.60053
51544 43960.44800 98.50150
51544 44059.50400 104.40205
51544 44158.56000 110.30188
51544 44257.61600 116.20088
51544 44356.67200 122.09890
51544 44455.72800 127.99579
51544 44554.78400 133.89150
51544 44653.84000 139.78595
51544 44752.89600 145.67922
51544 44851.95200 151.57138
51544 44951.00800 157.46247
51544 45050.06400 163.35268
51544 45149.12000 169.24219
51544 45248.17600 175.13113
51544 45347.23200 181.01986
51544 45446.28800 186.90852
51544 45545.34400 192.79744
51544 45644.40000 198.68686
51544 45743.45600 204.57695
51544 45842.51200 210.46807
51544 45941.56800 216.36035
51544 46040.62400 222.25394
51544 46139.68000 228.14897
51544 46238.73600 234.04548
51544 46337.79200 239.94346
51544 46436.84800 245.84284
51544 46535.90400 251.74356
51544 46634.96000 257.64535
51544 46734.01600 263.54799
51544 46833.07200 269.45125
51544 46932.12800 275.35470
51544 47031.18400 281.25811
51544 47130.24000 287.16107
51544 47229.29600 293.06333
51544 47328.35200 298.96454
51544 47427.40800 304.86453
51544 47526.46400 310.76315
51544 47625.52000 316.66025
51544 47724.57600 322.55583
51544 47823.63200 328.44993
51544 47922.68800 334.34266
51544 48021.74400 340.23420
51544 48120.80000 346.12485
51544 48219.85600 352.01482
51544 48318.91200 357.90444
51544 48417.96800 3.79396
51544 48517.02400 9.68375
51544 48616.08000 15.57400
51544 48715.13600 21.46502
51544 48814.19200 27.35702
51544 48913.24800 33.25013
51544 49012.30400 39.14438
51544 49111.36000 45.03982
51544 49210.41600 50.93648
51544 49309.47200 56.83428
51544 49408.52800 62.73306
51544 49507.58400 68.63267
51544 49606.64000 74.53296
51544 49705.69600 80.43374
51544 49804.75200 86.33475
51544 49903.80800 92.23570
51544 50002.86400 98.13648
51544 50101.92000 104.03680
51544 50200.97600 109.93640
51544 50300.03200 115.83526
51544 50399.08800 121.73315
51544 50498.14400 127.62993
51544 50597.20000 133.52560
51544 50696.25600 139.42005
51544 50795.31200 145.31339
51544 50894.36800 151.20560
51544 50993.42400 157.09677
51544 51092.48000 162.98711
51544 51191.53600 168.87669
51544 51290.59200 174.76578
51544 51389.64800 180.65460
51544 51488.70400 186.54331
51544 51587.76000 192.43226
51544 51686.81600 198.32171
51544 51785.87200 204.21185
51544 51884.92800 210.10291
51544 51983.98400 215.99512
51544 52083.04000 221.88862
51544 52182.09600 227.78353
51544 52281.15200 233.67994
51544 52380.20800 239.57783
51544 52479.26400 245.47714
51544 52578.32000 251.37774
51544 52677.37600 257.27946
51544 52776.43200 263.18208
51544 52875.48800 269.08524
51544 52974.54400 274.98871
51544 53073.60000 280.89207
51544 53172.65600 286.79507
51544 53271.71200 292.69741
51544 53370.76800 298.59871
51544 53469.82400 304.49880
51544 53568.88000 310.39750
51544 53667.93600 316.29470
51544 53766.99200 322.19035
51544 53866.04800 328.08456
51544 53965.10400 333.97735
51544 54064.16000 339.86896
51544 54163.21600 345.75960
51544 54262.27200 351.64956
51544 54361.32800 357.53915
51544 54460.38400 3.42862
51544 54559.44000 9.31834
51544 54658.49600 15.20856
51544 54757.55200 21.09956
51544 54856.60800 26.99151
51544 54955.66400 32.88450
51544 55054.72000 38.77878
51544 55153.77600 44.67422
