CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-16T06:15:21.119
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

51544 43168.00000 0.767875 0.000019 -0.000001 -0.640600
51544 43267.05600 0.770184 0.000019 -0.000001 -0.637822
51544 43366.11200 0.772482 0.000019 -0.000002 -0.635036
51544 43465.16800 0.774771 0.000019 -0.000002 -0.632242
51544 43564.22400 0.777049 0.000019 -0.000002 -0.629440
51544 43663.28000 0.779317 0.000019 -0.000002 -0.626629
51544 43762.33600 0.781575 0.000019 -0.000002 -0.623811
51544 43861.39200 0.783823 0.000019 -0.000002 -0.620984
51544 43960.44800 0.786061 0.000019 -0.000002 -0.618149
51544 44059.50400 0.788288 0.000019 -0.000002 -0.615306
51544 44158.56000 0.790506 0.000019 -0.000002 -0.612455
51544 44257.61600 0.792712 0.000019 -0.000002 -0.609596
51544 44356.67200 0.794909 0.000019 -0.000002 -0.606729
51544 44455.72800 0.797095 0.000019 -0.000002 -0.603854
51544 44554.78400 0.799271 0.000019 -0.000002 -0.600971
51544 44653.84000 0.801436 0.000019 -0.000002 -0.598081
51544 44752.89600 0.803591 0.000019 -0.000002 -0.595182
51544 44851.95200 0.805735 0.000019 -0.000003 -0.592276
51544 44951.00800 0.807869 0.000019 -0.000003 -0.589362
51544 45050.06400 0.809992 0.000019 -0.000003 -0.586441
51544 45149.12000 0.812105 0.000019 -0.000003 -0.583512
51544 45248.17600 0.814207 0.000019 -0.000003 -0.580575
51544 45347.23200 0.816298 0.000019 -0.000003 -0.577630
51544 45446.28800 0.818379 0.000019 -0.000003 -0.574678
51544 45545.34400 0.820450 0.000019 -0.000003 -0.571719
51544 45644.40000 0.822509 0.000019 -0.000003 -0.568752
51544 45743.45600 0.824558 0.000019 -0.000003 -0.565778
51544 45842.51200 0.826596 0.000019 -0.000003 -0.562796
51544 45941.56800 0.828623 0.000019 -0.000003 -0.559807
51544 46040.62400 0.830639 0.000019 -0.000003 -0.556811
51544 46139.68000 0.832645 0.000019 -0.000003 -0.553807
51544 46238.73600 0.834640 0.000019 -0.000004 -0.550796
51544 46337.79200 0.836624 0.000019 -0.000004 -0.547778
51544 46436.84800 0.838596 0.000019 -0.000004 -0.544753
51544 46535.90400 0.840558 0.000019 -0.000004 -0.541721
51544 46634.96000 0.842509 0.000019 -0.000004 -0.538682
51544 46734.01600 0.844449 0.000019 -0.000004 -0.535635
51544 46833.07200 0.846378 0.000019 -0.000004 -0.532582
51544 46932.12800 0.848296 0.000019 -0.000004 -0.529522
51544 47031.18400 0.850203 0.000019 -0.000004 -0.526454
51544 47130.24000 0.852099 0.000019 -0.000004 -0.523380
51544 47229.29600 0.853984 0.000019 -0.000004 -0.520299
51544 47328.35200 0.855857 0.000019 -0.000004 -0.517212
51544 47427.40800 0.857720 0.000019 -0.000004 -0.514117
51544 47526.46400 0.859571 0.000019 -0.000004 -0.511016
51544 47625.52000 0.861411 0.000019 -0.000004 -0.507908
51544 47724.57600 0.863240 0.000019 -0.000005 -0.504794
51544 47823.63200 0.865057 0.000019 -0.000005 -0.501673
51544 47922.68800 0.866864 0.000019 -0.000005 -0.498546
51544 48021.74400 0.868658 0.000019 -0.000005 -0.495411
51544 48120.80000 0.870442 0.000019 -0.000005 -0.492271
51544 48219.85600 0.872214 0.000019 -0.000005 -0.489124
51544 48318.91200 0.873975 0.000019 -0.000005 -0.485971
51544 48417.96800 0.875725 0.000019 -0.000005 -0.482811
51544 48517.02400 0.877463 0.000019 -0.000005 -0.479645
51544 48616.08000 0.879189 0.000019 -0.000005 -0.476473
51544 48715.13600 0.880904 0.000019 -0.000005 -0.473295
51544 48814.19200 0.882608 0.000019 -0.000005 -0.470110
51544 48913.24800 0.884300 0.000019 -0.000005 -0.466919
51544 49012.30400 0.885981 0.000019 -0.000005 -0.463722
51544 49111.36000 0.887650 0.000019 -0.000006 -0.460520
51544 49210.41600 0.889307 0.000019 -0.000006 -0.457311
51544 49309.47200 0.890953 0.000019 -0.000006 -0.454096
51544 49408.52800 0.892587 0.000019 -0.000006 -0.450875
51544 49507.58400 0.894210 0.000019 -0.000006 -0.447648
51544 49606.64000 0.895821 0.000019 -0.000006 -0.444416
51544 49705.69600 0.897420 0.000019 -0.000006 -0.441178
51544 49804.75200 0.899007 0.000018 -0.000006 -0.437934
51544 49903.80800 0.900583 0.000018 -0.000006 -0.434684
51544 50002.86400 0.902147 0.000018 -0.000006 -0.431429
51544 50101.92000 0.903699 0.000018 -0.000006 -0.428168
51544 50200.97600 0.905240 0.000018 -0.000006 -0.424901
51544 50300.03200 0.906769 0.000018 -0.000006 -0.421629
51544 50399.08800 0.908285 0.000018 -0.000006 -0.418351
51544 50498.14400 0.909790 0.000018 -0.000006 -0.415068
51544 50597.20000 0.911284 0.000018 -0.000006 -0.411779
51544 50696.25600 0.912765 0.000018 -0.000007 -0.408486
51544 50795.31200 0.914234 0.000018 -0.000007 -0.405186
51544 50894.36800 0.915692 0.000018 -0.000007 -0.401882
51544 50993.42400 0.917137 0.000018 -0.000007 -0.398572
51544 51092.48000 0.918571 0.000018 -0.000007 -0.395257
51544 51191.53600 0.919992 0.000018 -0.000007 -0.391937
51544 51290.59200 0.921402 0.000018 -0.000007 -0.388612
51544 51389.64800 0.922799 0.000018 -0.000007 -0.385281
51544 51488.70400 0.924185 0.000018 -0.000007 -0.381946
51544 51587.76000 0.925558 0.000018 -0.000007 -0.378606
51544 51686.81600 0.926919 0.000018 -0.000007 -0.375261
51544 51785.87200 0.928269 0.000018 -0.000007 -0.371910
51544 51884.92800 0.929606 0.000018 -0.000007 -0.368555
51544 51983.98400 0.930931 0.000018 -0.000007 -0.365196
51544 52083.04000 0.932244 0.000018 -0.000007 -0.361831
51544 52182.09600 0.933544 0.000018 -0.000008 -0.358462
51544 52281.15200 0.934833 0.000018 -0.000008 -0.355088
51544 52380.20800 0.936109 0.000018 -0.000008 -0.351709
51544 52479.26400 0.937373 0.000018 -0.000008 -0.348326
