CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:16:57.129
ORIGINATOR     = CNES

META_START

COMMENT Signed angle between Sun direction and orbital plane
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 -22.49287
60676 43290.35368 -22.49287
60676 43380.70736 -22.49288
60676 43471.06103 -22.49289
60676 43561.41471 -22.49290
60676 43651.76839 -22.49292
60676 43742.12207 -22.49294
60676 43832.47574 -22.49296
60676 43922.82942 -22.49298
60676 44013.18310 -22.49300
60676 44103.53678 -22.49301
60676 44193.89046 -22.49301
60676 44284.24413 -22.49301
60676 44374.59781 -22.49300
60676 44464.95149 -22.49297
60676 44555.30517 -22.49293
60676 44645.65885 -22.49287
60676 44736.01252 -22.49280
60676 44826.36620 -22.49270
60676 44916.71988 -22.49259
60676 45007.07356 -22.49247
60676 45097.42723 -22.49233
60676 45187.78091 -22.49219
60676 45278.13459 -22.49204
60676 45368.48827 -22.49190
60676 45458.84195 -22.49175
60676 45549.19562 -22.49162
60676 45639.54930 -22.49149
60676 45729.90298 -22.49137
60676 45820.25666 -22.49127
60676 45910.61034 -22.49117
60676 46000.96401 -22.49109
60676 46091.31769 -22.49101
60676 46181.67137 -22.49094
60676 46272.02505 -22.49088
60676 46362.37872 -22.49082
60676 46452.73240 -22.49078
60676 46543.08608 -22.49074
60676 46633.43976 -22.49071
60676 46723.79344 -22.49068
60676 46814.14711 -22.49066
60676 46904.50079 -22.49064
60676 46994.85447 -22.49062
60676 47085.20815 -22.49061
60676 47175.56182 -22.49058
60676 47265.91550 -22.49056
60676 47356.26918 -22.49052
60676 47446.62286 -22.49046
60676 47536.97654 -22.49039
60676 47627.33021 -22.49030
60676 47717.68389 -22.49020
60676 47808.03757 -22.49007
60676 47898.39125 -22.48994
60676 47988.74493 -22.48979
60676 48079.09860 -22.48964
60676 48169.45228 -22.48950
60676 48259.80596 -22.48937
60676 48350.15964 -22.48925
60676 48440.51331 -22.48916
60676 48530.86699 -22.48910
60676 48621.22067 -22.48906
60676 48711.57435 -22.48905
60676 48801.92803 -22.48906
60676 48892.28170 -22.48909
60676 48982.63538 -22.48914
60676 49072.98906 -22.48919
60676 49163.34274 -22.48925
60676 49253.69642 -22.48930
60676 49344.05009 -22.48935
60676 49434.40377 -22.48939
60676 49524.75745 -22.48942
60676 49615.11113 -22.48944
60676 49705.46480 -22.48944
60676 49795.81848 -22.48943
60676 49886.17216 -22.48941
60676 49976.52584 -22.48938
60676 50066.87952 -22.48934
60676 50157.23319 -22.48928
60676 50247.58687 -22.48920
60676 50337.94055 -22.48911
60676 50428.29423 -22.48901
60676 50518.64791 -22.48889
60676 50609.00158 -22.48876
60676 50699.35526 -22.48862
60676 50789.70894 -22.48848
60676 50880.06262 -22.48833
60676 50970.41629 -22.48818
60676 51060.76997 -22.48804
60676 51151.12365 -22.48790
60676 51241.47733 -22.48778
60676 51331.83101 -22.48767
60676 51422.18468 -22.48757
60676 51512.53836 -22.48749
60676 51602.89204 -22.48742
60676 51693.24572 -22.48736
60676 51783.59939 -22.48732
60676 51873.95307 -22.48728
60676 51964.30675 -22.48725
60676 52054.66043 -22.48723
60676 52145.01411 -22.48721
60676 52235.36778 -22.48718
60676 52325.72146 -22.48716
60676 52416.07514 -22.48713
60676 52506.42882 -22.48710
60676 52596.78250 -22.48706
60676 52687.13617 -22.48702
60676 52777.48985 -22.48698
60676 52867.84353 -22.48692
60676 52958.19721 -22.48686
60676 53048.55088 -22.48679
60676 53138.90456 -22.48670
60676 53229.25824 -22.48661
60676 53319.61192 -22.48649
60676 53409.96560 -22.48636
60676 53500.31927 -22.48622
60676 53590.67295 -22.48607
60676 53681.02663 -22.48591
60676 53771.38031 -22.48575
60676 53861.73399 -22.48560
60676 53952.08766 -22.48546
60676 54042.44134 -22.48534
60676 54132.79502 -22.48524
60676 54223.14870 -22.48518
60676 54313.50237 -22.48515
60676 54403.85605 -22.48514
60676 54494.20973 -22.48517
60676 54584.56341 -22.48522
60676 54674.91709 -22.48528
60676 54765.27076 -22.48536
60676 54855.62444 -22.48543
60676 54945.97812 -22.48550
60676 55036.33180 -22.48557
60676 55126.68547 -22.48562
60676 55217.03915 -22.48565
60676 55307.39283 -22.48566
60676 55397.74651 -22.48565
60676 55488.10019 -22.48563
60676 55578.45386 -22.48558
60676 55668.80754 -22.48553
60676 55759.16122 -22.48546
60676 55849.51490 -22.48537
60676 55939.86858 -22.48527
60676 56030.22225 -22.48516
60676 56120.57593 -22.48505
60676 56210.92961 -22.48492
60676 56301.28329 -22.48479
60676 56391.63696 -22.48465
60676 56481.99064 -22.48452
60676 56572.34432 -22.48438
60676 56662.69800 -22.48424
60676 56753.05168 -22.48411
60676 56843.40535 -22.48400
60676 56933.75903 -22.48389
60676 57024.11271 -22.48379
60676 57114.46639 -22.48371
60676 57204.82007 -22.48365
60676 57295.17374 -22.48360
60676 57385.52742 -22.48357
60676 57475.88110 -22.48354
60676 57566.23478 -22.48353
60676 57656.58845 -22.48352
60676 57746.94213 -22.48351
60676 57837.29581 -22.48351
60676 57927.64949 -22.48350
60676 58018.00317 -22.48347
60676 58108.35684 -22.48345
60676 58198.71052 -22.48341
60676 58289.06420 -22.48336
60676 58379.41788 -22.48330
60676 58469.77156 -22.48324
60676 58560.12523 -22.48316
60676 58650.47891 -22.48308
60676 58740.83259 -22.48299
60676 58831.18627 -22.48289
60676 58921.53994 -22.48278
60676 59011.89362 -22.48266
60676 59102.24730 -22.48254
60676 59192.60098 -22.48240
60676 59282.95466 -22.48226
60676 59373.30833 -22.48211
60676 59463.66201 -22.48196
60676 59554.01569 -22.48182
60676 59644.36937 -22.48169
60676 59734.72304 -22.48158
60676 59825.07672 -22.48149
60676 59915.43040 -22.48142
60676 60005.78408 -22.48138
60676 60096.13776 -22.48137
60676 60186.49143 -22.48139
60676 60276.84511 -22.48143
60676 60367.19879 -22.48149
60676 60457.55247 -22.48156
60676 60547.90615 -22.48162
60676 60638.25982 -22.48169
60676 60728.61350 -22.48174
60676 60818.96718 -22.48178
60676 60909.32086 -22.48180
60676 60999.67453 -22.48180
60676 61090.02821 -22.48177
60676 61180.38189 -22.48172
60676 61270.73557 -22.48166
60676 61361.08925 -22.48157
60676 61451.44292 -22.48148
60676 61541.79660 -22.48138
60676 61632.15028 -22.48126
60676 61722.50396 -22.48115
60676 61812.85764 -22.48103
60676 61903.21131 -22.48091
60676 61993.56499 -22.48079
60676 62083.91867 -22.48067
60676 62174.27235 -22.48056
60676 62264.62602 -22.48045
60676 62354.97970 -22.48034
60676 62445.33338 -22.48024
60676 62535.68706 -22.48015
60676 62626.04074 -22.48007
60676 62716.39441 -22.48000
60676 62806.74809 -22.47995
60676 62897.10177 -22.47990
60676 62987.45545 -22.47987
60676 63077.80912 -22.47984
60676 63168.16280 -22.47983
60676 63258.51648 -22.47983
60676 63348.87016 -22.47982
60676 63439.22384 -22.47982
60676 63529.57751 -22.47981
60676 63619.93119 -22.47980
60676 63710.28487 -22.47977
60676 63800.63855 -22.47974
60676 63890.99223 -22.47969
60676 63981.34590 -22.47963
60676 64071.69958 -22.47956
60676 64162.05326 -22.47948
60676 64252.40694 -22.47939
60676 64342.76061 -22.47929
60676 64433.11429 -22.47919
60676 64523.46797 -22.47909
60676 64613.82165 -22.47899
60676 64704.17533 -22.47889
60676 64794.52900 -22.47879
60676 64884.88268 -22.47868
60676 64975.23636 -22.47858
60676 65065.59004 -22.47847
60676 65155.94372 -22.47836
60676 65246.29739 -22.47826
60676 65336.65107 -22.47817
60676 65427.00475 -22.47808
60676 65517.35843 -22.47801
60676 65607.71210 -22.47795
60676 65698.06578 -22.47791
60676 65788.41946 -22.47789
60676 65878.77314 -22.47790
60676 65969.12682 -22.47791
60676 66059.48049 -22.47794
60676 66149.83417 -22.47798
60676 66240.18785 -22.47802
60676 66330.54153 -22.47805
60676 66420.89521 -22.47808
60676 66511.24888 -22.47808
60676 66601.60256 -22.47807
60676 66691.95624 -22.47804
60676 66782.30992 -22.47798
60676 66872.66359 -22.47791
60676 66963.01727 -22.47781
60676 67053.37095 -22.47771
60676 67143.72463 -22.47759
60676 67234.07831 -22.47747
60676 67324.43198 -22.47735
60676 67414.78566 -22.47723
60676 67505.13934 -22.47712
60676 67595.49302 -22.47701
60676 67685.84669 -22.47691
60676 67776.20037 -22.47682
60676 67866.55405 -22.47674
60676 67956.90773 -22.47667
60676 68047.26141 -22.47660
60676 68137.61508 -22.47654
60676 68227.96876 -22.47649
60676 68318.32244 -22.47645
60676 68408.67612 -22.47641
60676 68499.02980 -22.47638
60676 68589.38347 -22.47636
60676 68679.73715 -22.47634
60676 68770.09083 -22.47632
60676 68860.44451 -22.47631
60676 68950.79818 -22.47631
60676 69041.15186 -22.47629
60676 69131.50554 -22.47628
60676 69221.85922 -22.47626
60676 69312.21290 -22.47623
60676 69402.56657 -22.47619
60676 69492.92025 -22.47614
60676 69583.27393 -22.47607
60676 69673.62761 -22.47600
60676 69763.98129 -22.47591
60676 69854.33496 -22.47581
60676 69944.68864 -22.47572
60676 70035.04232 -22.47561
60676 70125.39600 -22.47552
60676 70215.74967 -22.47542
60676 70306.10335 -22.47534
60676 70396.45703 -22.47526
60676 70486.81071 -22.47519
60676 70577.16439 -22.47514
60676 70667.51806 -22.47508
60676 70757.87174 -22.47504
60676 70848.22542 -22.47500
60676 70938.57910 -22.47495
60676 71028.93277 -22.47491
60676 71119.28645 -22.47487
60676 71209.64013 -22.47484
60676 71299.99381 -22.47481
60676 71390.34749 -22.47478
60676 71480.70116 -22.47476
60676 71571.05484 -22.47475
60676 71661.40852 -22.47474
60676 71751.76220 -22.47474
60676 71842.11588 -22.47475
60676 71932.46955 -22.47475
60676 72022.82323 -22.47474
60676 72113.17691 -22.47472
60676 72203.53059 -22.47468
60676 72293.88426 -22.47463
60676 72384.23794 -22.47456
60676 72474.59162 -22.47447
60676 72564.94530 -22.47437
60676 72655.29898 -22.47425
60676 72745.65265 -22.47412
60676 72836.00633 -22.47398
60676 72926.36001 -22.47385
60676 73016.71369 -22.47371
60676 73107.06737 -22.47359
60676 73197.42104 -22.47348
60676 73287.77472 -22.47338
60676 73378.12840 -22.47330
60676 73468.48208 -22.47324
60676 73558.83575 -22.47319
60676 73649.18943 -22.47315
60676 73739.54311 -22.47313
60676 73829.89679 -22.47311
60676 73920.25047 -22.47311
60676 74010.60414 -22.47311
60676 74100.95782 -22.47310
60676 74191.31150 -22.47310
60676 74281.66518 -22.47310
60676 74372.01886 -22.47309
60676 74462.37253 -22.47309
60676 74552.72621 -22.47308
60676 74643.07989 -22.47306
60676 74733.43357 -22.47304
