CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:54.160
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 17.19995
60676 43290.35368 17.60633
60676 43380.70736 18.01254
60676 43471.06103 18.41843
60676 43561.41471 18.82382
60676 43651.76839 19.22858
60676 43742.12207 19.63256
60676 43832.47574 20.03561
60676 43922.82942 20.43762
60676 44013.18310 20.83848
60676 44103.53678 21.23809
60676 44193.89046 21.63638
60676 44284.24413 22.03327
60676 44374.59781 22.42872
60676 44464.95149 22.82269
60676 44555.30517 23.21518
60676 44645.65885 23.60618
60676 44736.01252 23.99570
60676 44826.36620 0.38379
60676 44916.71988 0.77047
60676 45007.07356 1.15582
60676 45097.42723 1.53991
60676 45187.78091 1.92280
60676 45278.13459 2.30461
60676 45368.48827 2.68543
60676 45458.84195 3.06537
60676 45549.19562 3.44456
60676 45639.54930 3.82311
60676 45729.90298 4.20116
60676 45820.25666 4.57884
60676 45910.61034 4.95629
60676 46000.96401 5.33365
60676 46091.31769 5.71105
60676 46181.67137 6.08863
60676 46272.02505 6.46653
60676 46362.37872 6.84489
60676 46452.73240 7.22384
60676 46543.08608 7.60350
60676 46633.43976 7.98400
60676 46723.79344 8.36544
60676 46814.14711 8.74794
60676 46904.50079 9.13158
60676 46994.85447 9.51646
60676 47085.20815 9.90265
60676 47175.56182 10.29022
60676 47265.91550 10.67920
60676 47356.26918 11.06965
60676 47446.62286 11.46158
60676 47536.97654 11.85499
60676 47627.33021 12.24988
60676 47717.68389 12.64623
60676 47808.03757 13.04398
60676 47898.39125 13.44308
60676 47988.74493 13.84346
60676 48079.09860 14.24503
60676 48169.45228 14.64769
60676 48259.80596 15.05131
60676 48350.15964 15.45577
60676 48440.51331 15.86093
60676 48530.86699 16.26663
60676 48621.22067 16.67272
60676 48711.57435 17.07904
60676 48801.92803 17.48543
60676 48892.28170 17.89171
60676 48982.63538 18.29772
60676 49072.98906 18.70331
60676 49163.34274 19.10830
60676 49253.69642 19.51257
60676 49344.05009 19.91597
60676 49434.40377 20.31837
60676 49524.75745 20.71965
60676 49615.11113 21.11972
60676 49705.46480 21.51849
60676 49795.81848 21.91590
60676 49886.17216 22.31188
60676 49976.52584 22.70639
60676 50066.87952 23.09943
60676 50157.23319 23.49097
60676 50247.58687 23.88103
60676 50337.94055 0.26964
60676 50428.29423 0.65684
60676 50518.64791 1.04267
60676 50609.00158 1.42721
60676 50699.35526 1.81054
60676 50789.70894 2.19274
60676 50880.06262 2.57392
60676 50970.41629 2.95418
60676 51060.76997 3.33363
60676 51151.12365 3.71241
60676 51241.47733 4.09064
60676 51331.83101 4.46845
60676 51422.18468 4.84598
60676 51512.53836 5.22336
60676 51602.89204 5.60074
60676 51693.24572 5.97825
60676 51783.59939 6.35603
60676 51873.95307 6.73422
60676 51964.30675 7.11295
60676 52054.66043 7.49234
60676 52145.01411 7.87253
60676 52235.36778 8.25362
60676 52325.72146 8.63573
60676 52416.07514 9.01895
60676 52506.42882 9.40337
60676 52596.78250 9.78908
60676 52687.13617 10.17614
60676 52777.48985 10.56460
60676 52867.84353 10.95452
60676 52958.19721 11.34590
60676 53048.55088 11.73877
60676 53138.90456 12.13312
60676 53229.25824 12.52894
60676 53319.61192 12.92618
60676 53409.96560 13.32479
60676 53500.31927 13.72471
60676 53590.67295 14.12585
60676 53681.02663 14.52811
60676 53771.38031 14.93139
60676 53861.73399 15.33555
60676 53952.08766 15.74046
60676 54042.44134 16.14597
60676 54132.79502 16.55194
60676 54223.14870 16.95819
60676 54313.50237 17.36456
60676 54403.85605 17.77089
60676 54494.20973 18.17701
60676 54584.56341 18.58277
60676 54674.91709 18.98799
60676 54765.27076 19.39253
60676 54855.62444 19.79626
60676 54945.97812 20.19903
60676 55036.33180 20.60073
60676 55126.68547 21.00124
60676 55217.03915 21.40049
60676 55307.39283 21.79840
60676 55397.74651 22.19490
60676 55488.10019 22.58995
60676 55578.45386 22.98352
60676 55668.80754 23.37560
60676 55759.16122 23.76620
60676 55849.51490 0.15533
60676 55939.86858 0.54304
60676 56030.22225 0.92936
60676 56120.57593 1.31437
60676 56210.92961 1.69813
60676 56301.28329 2.08074
60676 56391.63696 2.46228
60676 56481.99064 2.84286
60676 56572.34432 3.22260
60676 56662.69800 3.60162
60676 56753.05168 3.98004
60676 56843.40535 4.35799
60676 56933.75903 4.73561
60676 57024.11271 5.11303
60676 57114.46639 5.49040
60676 57204.82007 5.86786
60676 57295.17374 6.24553
60676 57385.52742 6.62356
60676 57475.88110 7.00208
60676 57566.23478 7.38123
60676 57656.58845 7.76112
60676 57746.94213 8.14187
60676 57837.29581 8.52360
60676 57927.64949 8.90641
60676 58018.00317 9.29039
60676 58108.35684 9.67563
60676 58198.71052 10.06219
60676 58289.06420 10.45014
60676 58379.41788 10.83953
60676 58469.77156 11.23037
60676 58560.12523 11.62270
60676 58650.47891 12.01652
60676 58740.83259 12.41180
60676 58831.18627 12.80853
60676 58921.53994 13.20665
60676 59011.89362 13.60610
60676 59102.24730 14.00680
60676 59192.60098 14.40867
60676 59282.95466 14.81158
60676 59373.30833 15.21544
60676 59463.66201 15.62009
60676 59554.01569 16.02539
60676 59644.36937 16.43121
60676 59734.72304 16.83737
60676 59825.07672 17.24371
60676 59915.43040 17.65008
60676 60005.78408 18.05629
60676 60096.13776 18.46220
60676 60186.49143 18.86763
60676 60276.84511 19.27244
60676 60367.19879 19.67647
60676 60457.55247 20.07960
60676 60547.90615 20.48170
60676 60638.25982 20.88266
60676 60728.61350 21.28238
60676 60818.96718 21.68078
60676 60909.32086 22.07779
60676 60999.67453 22.47337
60676 61090.02821 22.86748
60676 61180.38189 23.26010
60676 61270.73557 23.65123
60676 61361.08925 0.04089
60676 61451.44292 0.42911
60676 61541.79660 0.81593
60676 61632.15028 1.20140
60676 61722.50396 1.58561
60676 61812.85764 1.96862
60676 61903.21131 2.35053
60676 61993.56499 2.73145
60676 62083.91867 3.11149
60676 62174.27235 3.49075
60676 62264.62602 3.86937
60676 62354.97970 4.24748
60676 62445.33338 4.62521
60676 62535.68706 5.00269
60676 62626.04074 5.38006
60676 62716.39441 5.75747
60676 62806.74809 6.13505
60676 62897.10177 6.51293
60676 62987.45545 6.89126
60676 63077.80912 7.27017
60676 63168.16280 7.64978
60676 63258.51648 8.03020
60676 63348.87016 8.41157
60676 63439.22384 8.79398
60676 63529.57751 9.17752
60676 63619.93119 9.56229
60676 63710.28487 9.94837
60676 63800.63855 10.33581
60676 63890.99223 10.72467
60676 63981.34590 11.11499
60676 64071.69958 11.50678
60676 64162.05326 11.90006
60676 64252.40694 12.29481
60676 64342.76061 12.69102
60676 64433.11429 13.08864
60676 64523.46797 13.48761
60676 64613.82165 13.88787
60676 64704.17533 14.28933
60676 64794.52900 14.69188
60676 64884.88268 15.09541
60676 64975.23636 15.49978
60676 65065.59004 15.90487
60676 65155.94372 16.31052
60676 65246.29739 16.71658
60676 65336.65107 17.12287
60676 65427.00475 17.52925
60676 65517.35843 17.93554
60676 65607.71210 18.34158
60676 65698.06578 18.74720
60676 65788.41946 19.15226
60676 65878.77314 19.55659
60676 65969.12682 19.96007
60676 66059.48049 20.36256
60676 66149.83417 20.76395
60676 66240.18785 21.16413
60676 66330.54153 21.56302
60676 66420.89521 21.96055
60676 66511.24888 22.35665
60676 66601.60256 22.75130
60676 66691.95624 23.14446
60676 66782.30992 23.53613
60676 66872.66359 23.92632
60676 66963.01727 0.31506
60676 67053.37095 0.70237
60676 67143.72463 1.08833
60676 67234.07831 1.47298
60676 67324.43198 1.85641
60676 67414.78566 2.23871
60676 67505.13934 2.61997
60676 67595.49302 3.00031
60676 67685.84669 3.37983
60676 67776.20037 3.75867
60676 67866.55405 4.13694
60676 67956.90773 4.51479
60676 68047.26141 4.89234
60676 68137.61508 5.26973
60676 68227.96876 5.64711
60676 68318.32244 6.02460
60676 68408.67612 6.40236
60676 68499.02980 6.78051
60676 68589.38347 7.15919
60676 68679.73715 7.53852
60676 68770.09083 7.91863
60676 68860.44451 8.29964
60676 68950.79818 8.68166
60676 69041.15186 9.06478
60676 69131.50554 9.44909
60676 69221.85922 9.83468
60676 69312.21290 10.22162
60676 69402.56657 10.60996
60676 69492.92025 10.99974
60676 69583.27393 11.39099
60676 69673.62761 11.78373
60676 69763.98129 12.17795
60676 69854.33496 12.57364
60676 69944.68864 12.97075
