CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.486
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Kourou: lon = -52.640 deg, lat = 5.100 deg, alt = 94.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_2
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 11865.241
60676 43290.35368 12116.369
60676 43380.70736 12338.654
60676 43471.06103 12531.537
60676 43561.41471 12694.556
60676 43651.76839 12827.349
60676 43742.12207 12929.655
60676 43832.47574 13001.313
60676 43922.82942 13042.256
60676 44013.18310 13052.513
60676 44103.53678 13032.205
60676 44193.89046 12981.537
60676 44284.24413 12900.799
60676 44374.59781 12790.355
60676 44464.95149 12650.645
60676 44555.30517 12482.172
60676 44645.65885 12285.502
60676 44736.01252 12061.258
60676 44826.36620 11810.112
60676 44916.71988 11532.786
60676 45007.07356 11230.041
60676 45097.42723 10902.679
60676 45187.78091 10551.537
60676 45278.13459 10177.486
60676 45368.48827 9781.428
60676 45458.84195 9364.293
60676 45549.19562 8927.044
60676 45639.54930 8470.672
60676 45729.90298 7996.202
60676 45820.25666 7504.694
60676 45910.61034 6997.252
60676 46000.96401 6475.033
60676 46091.31769 5939.262
60676 46181.67137 5391.262
60676 46272.02505 4832.499
60676 46362.37872 4264.666
60676 46452.73240 3689.854
60676 46543.08608 3110.898
60676 46633.43976 2532.223
60676 46723.79344 1962.110
60676 46814.14711 1420.109
60676 46904.50079 965.698
60676 46994.85447 781.775
60676 47085.20815 1029.445
60676 47175.56182 1509.605
60676 47265.91550 2064.547
60676 47356.26918 2645.161
60676 47446.62286 3234.536
60676 47536.97654 3825.065
60676 47627.33021 4412.411
60676 47717.68389 4993.590
60676 47808.03757 5566.265
60676 47898.39125 6128.431
60676 47988.74493 6678.282
60676 48079.09860 7214.138
60676 48169.45228 7734.409
60676 48259.80596 8237.585
60676 48350.15964 8722.219
60676 48440.51331 9186.935
60676 48530.86699 9630.422
60676 48621.22067 10051.444
60676 48711.57435 10448.841
60676 48801.92803 10821.531
60676 48892.28170 11168.521
60676 48982.63538 11488.904
60676 49072.98906 11781.869
60676 49163.34274 12046.697
60676 49253.69642 12282.768
60676 49344.05009 12489.557
60676 49434.40377 12666.641
60676 49524.75745 12813.689
60676 49615.11113 12930.468
60676 49705.46480 13016.833
60676 49795.81848 13072.733
60676 49886.17216 13098.199
60676 49976.52584 13093.342
60676 50066.87952 13058.352
60676 50157.23319 12993.489
60676 50247.58687 12899.078
60676 50337.94055 12775.510
60676 50428.29423 12623.229
60676 50518.64791 12442.735
60676 50609.00158 12234.576
60676 50699.35526 11999.343
60676 50789.70894 11737.671
60676 50880.06262 11450.232
60676 50970.41629 11137.735
60676 51060.76997 10800.925
60676 51151.12365 10440.577
60676 51241.47733 10057.499
60676 51331.83101 9652.534
60676 51422.18468 9226.553
60676 51512.53836 8780.466
60676 51602.89204 8315.216
60676 51693.24572 7831.788
60676 51783.59939 7331.212
60676 51873.95307 6814.570
60676 51964.30675 6283.014
60676 52054.66043 5737.779
60676 52145.01411 5180.219
60676 52235.36778 4611.863
60676 52325.72146 4034.522
60676 52416.07514 3450.504
60676 52506.42882 2863.098
60676 52596.78250 2277.797
60676 52687.13617 1705.964
60676 52777.48985 1178.270
60676 52867.84353 800.649
60676 52958.19721 824.808
60676 53048.55088 1229.176
60676 53138.90456 1769.221
60676 53229.25824 2351.178
60676 53319.61192 2947.351
60676 53409.96560 3547.027
60676 53500.31927 4144.734
60676 53590.67295 4736.985
60676 53681.02663 5321.169
60676 53771.38031 5895.119
60676 53861.73399 6456.916
60676 53952.08766 7004.801
60676 54042.44134 7537.129
60676 54132.79502 8052.347
60676 54223.14870 8548.989
60676 54313.50237 9025.667
60676 54403.85605 9481.074
60676 54494.20973 9913.986
60676 54584.56341 10323.266
60676 54674.91709 10707.864
60676 54765.27076 11066.821
60676 54855.62444 11399.273
60676 54945.97812 11704.448
60676 55036.33180 11981.670
60676 55126.68547 12230.356
60676 55217.03915 12450.019
60676 55307.39283 12640.260
60676 55397.74651 12800.773
60676 55488.10019 12931.336
60676 55578.45386 13031.807
60676 55668.80754 13102.127
60676 55759.16122 13142.310
60676 55849.51490 13152.438
60676 55939.86858 13132.661
60676 56030.22225 13083.191
60676 56120.57593 13004.297
60676 56210.92961 12896.301
60676 56301.28329 12759.575
60676 56391.63696 12594.539
60676 56481.99064 12401.656
60676 56572.34432 12181.430
60676 56662.69800 11934.404
60676 56753.05168 11661.161
60676 56843.40535 11362.317
60676 56933.75903 11038.527
60676 57024.11271 10690.478
60676 57114.46639 10318.897
60676 57204.82007 9924.544
60676 57295.17374 9508.219
60676 57385.52742 9070.763
60676 57475.88110 8613.056
60676 57566.23478 8136.028
60676 57656.58845 7640.659
60676 57746.94213 7127.987
60676 57837.29581 6599.117
60676 57927.64949 6055.236
60676 58018.00317 5497.638
60676 58108.35684 4927.762
60676 58198.71052 4347.259
60676 58289.06420 3758.137
60676 58379.41788 3163.054
60676 58469.77156 2566.032
60676 58560.12523 1974.448
60676 58650.47891 1405.820
60676 58740.83259 917.061
60676 58831.18627 712.773
60676 58921.53994 992.718
60676 59011.89362 1507.820
60676 59102.24730 2089.095
60676 59192.60098 2691.087
60676 59282.95466 3298.848
60676 59373.30833 3905.595
60676 59463.66201 4507.333
60676 59554.01569 5101.215
60676 59644.36937 5684.952
60676 59734.72304 6256.554
60676 59825.07672 6814.223
60676 59915.43040 7356.299
60676 60005.78408 7881.228
60676 60096.13776 8387.555
60676 60186.49143 8873.917
60676 60276.84511 9339.040
60676 60367.19879 9781.740
60676 60457.55247 10200.922
60676 60547.90615 10595.585
60676 60638.25982 10964.817
60676 60728.61350 11307.800
60676 60818.96718 11623.805
60676 60909.32086 11912.194
60676 60999.67453 12172.414
60676 61090.02821 12404.002
60676 61180.38189 12606.572
60676 61270.73557 12779.822
60676 61361.08925 12923.522
60676 61451.44292 13037.515
60676 61541.79660 13121.713
60676 61632.15028 13176.090
60676 61722.50396 13200.683
60676 61812.85764 13195.585
60676 61903.21131 13160.941
60676 61993.56499 13096.948
60676 62083.91867 13003.851
60676 62174.27235 12881.940
60676 62264.62602 12731.546
60676 62354.97970 12553.046
60676 62445.33338 12346.852
60676 62535.68706 12113.420
60676 62626.04074 11853.242
60676 62716.39441 11566.852
60676 62806.74809 11254.820
60676 62897.10177 10917.759
60676 62987.45545 10556.324
60676 63077.80912 10171.210
60676 63168.16280 9763.161
60676 63258.51648 9332.967
60676 63348.87016 8881.469
60676 63439.22384 8409.562
60676 63529.57751 7918.202
60676 63619.93119 7408.407
60676 63710.28487 6881.268
60676 63800.63855 6337.960
60676 63890.99223 5779.759
60676 63981.34590 5208.066
60676 64071.69958 4624.461
60676 64162.05326 4030.792
60676 64252.40694 3429.371
60676 64342.76061 2823.413
60676 64433.11429 2218.220
60676 64523.46797 1624.918
60676 64613.82165 1075.762
60676 64704.17533 699.708
60676 64794.52900 804.792
60676 64884.88268 1278.133
60676 64975.23636 1854.995
60676 65065.59004 2460.679
60676 65155.94372 3074.429
60676 65246.29739 3687.945
60676 65336.65107 4296.731
60676 65427.00475 4897.748
60676 65517.35843 5488.627
60676 65607.71210 6067.355
60676 65698.06578 6632.135
60676 65788.41946 7181.327
60676 65878.77314 7713.412
60676 65969.12682 8226.976
60676 66059.48049 8720.706
60676 66149.83417 9193.379
60676 66240.18785 9643.865
60676 66330.54153 10071.124
60676 66420.89521 10474.206
60676 66511.24888 10852.245
60676 66601.60256 11204.465
60676 66691.95624 11530.169
60676 66782.30992 11828.745
60676 66872.66359 12099.655
60676 66963.01727 12342.440
60676 67053.37095 12556.710
60676 67143.72463 12742.145
60676 67234.07831 12898.488
60676 67324.43198 13025.547
60676 67414.78566 13123.185
60676 67505.13934 13191.321
60676 67595.49302 13229.929
60676 67685.84669 13239.030
60676 67776.20037 13218.694
60676 67866.55405 13169.035
60676 67956.90773 13090.214
60676 68047.26141 12982.432
60676 68137.61508 12845.934
60676 68227.96876 12681.007
60676 68318.32244 12487.977
60676 68408.67612 12267.216
60676 68499.02980 12019.136
60676 68589.38347 11744.193
60676 68679.73715 11442.890
