CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:30:12.766
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), altitude (km)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ALTITUDE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 399.864
51544 180.00000 400.064
51544 360.00000 400.631
51544 540.00000 401.473
51544 720.00000 402.451
51544 900.00000 403.405
51544 1080.00000 404.180
51544 1260.00000 404.648
51544 1440.00000 404.734
51544 1620.00000 404.423
51544 1800.00000 403.766
51544 1980.00000 402.871
51544 2160.00000 401.883
51544 2340.00000 400.964
51544 2520.00000 400.265
51544 2700.00000 399.901
51544 2880.00000 399.930
51544 3060.00000 400.348
51544 3240.00000 401.088
51544 3420.00000 402.026
51544 3600.00000 403.010
51544 3780.00000 403.879
51544 3960.00000 404.491
51544 4140.00000 404.745
51544 4320.00000 404.601
51544 4500.00000 404.082
51544 4680.00000 403.272
51544 4860.00000 402.304
51544 5040.00000 401.337
51544 5220.00000 400.536
51544 5400.00000 432.932
51544 5580.00000 527.236
51544 5760.00000 677.327
51544 5940.00000 874.239
51544 6120.00000 1107.588
51544 6300.00000 1366.854
51544 6480.00000 1642.271
51544 6660.00000 1925.296
51544 6840.00000 2208.760
51544 7020.00000 2486.820
51544 7200.00000 2754.801
51544 7380.00000 3009.017
51544 7560.00000 3246.590
51544 7740.00000 3465.284
51544 7920.00000 3663.376
51544 8100.00000 3839.544
51544 8280.00000 3992.777
51544 8460.00000 4122.313
51544 8640.00000 4227.583
51544 8820.00000 4308.170
51544 9000.00000 4363.785
51544 9180.00000 4394.242
51544 9360.00000 4399.447
51544 9540.00000 4378.716
51544 9720.00000 4331.443
51544 9900.00000 4257.784
51544 10080.00000 4158.002
51544 10260.00000 4032.482
51544 10440.00000 3881.763
51544 10620.00000 3706.576
51544 10800.00000 3507.893
51544 10980.00000 3287.003
51544 11160.00000 3045.591
51544 11340.00000 2785.861
51544 11520.00000 2510.672
51544 11700.00000 2223.711
51544 11880.00000 1929.692
51544 12060.00000 1634.567
51544 12240.00000 1345.719
51544 12420.00000 1072.064
51544 12600.00000 823.968
51544 12780.00000 612.820
51544 12960.00000 450.144
51544 13140.00000 346.204
51544 13320.00000 308.327
51544 13500.00000 339.434
51544 13680.00000 437.360
51544 13860.00000 595.299
51544 14040.00000 803.172
51544 14220.00000 1049.337
51544 14400.00000 1322.110
51544 14580.00000 1610.772
51544 14760.00000 1906.072
51544 14940.00000 2200.349
51544 15120.00000 2487.439
51544 15300.00000 2762.467
51544 15480.00000 3021.632
51544 15660.00000 3261.990
51544 15840.00000 3481.278
51544 16020.00000 3677.760
51544 16200.00000 3850.110
51544 16380.00000 3997.322
51544 16560.00000 4118.640
51544 16740.00000 4213.498
51544 16920.00000 4281.490
51544 17100.00000 4322.334
51544 17280.00000 4335.858
51544 17460.00000 4321.988
51544 17640.00000 4280.744
51544 17820.00000 4212.245
51544 18000.00000 4116.717
51544 18180.00000 3994.519
51544 18360.00000 3846.164
51544 18540.00000 3672.362
51544 18720.00000 3474.076
51544 18900.00000 3252.590
51544 19080.00000 3009.607
51544 19260.00000 2747.363
51544 19440.00000 2468.782
51544 19620.00000 2177.658
51544 19800.00000 1878.874
51544 19980.00000 1578.629
51544 20160.00000 1284.657
51544 20340.00000 1006.348
51544 20520.00000 754.665
51544 20700.00000 541.685
51544 20880.00000 379.608
51544 21060.00000 279.206
51544 21240.00000 247.947
51544 21420.00000 290.285
51544 21599.99999 405.056
51544 21779.99999 584.071
51544 21959.99999 815.709
51544 22139.99999 1086.974
51544 22319.99999 1385.186
51544 22499.99999 1699.018
51544 22679.99999 2018.934
51544 22859.99999 2337.215
51544 23039.99999 2647.775
51544 23219.99999 2945.903
51544 23399.99999 3227.989
51544 23579.99999 3491.293
51544 23759.99999 3733.745
51544 23939.99999 3953.791
51544 24119.99999 4150.264
51544 24299.99999 4322.300
51544 24479.99999 4469.256
51544 24659.99999 4590.667
51544 24839.99999 4686.194
51544 25019.99999 4755.606
51544 25199.99999 4798.752
51544 25379.99999 4815.546
51544 25559.99999 4805.967
51544 25739.99999 4770.046
51544 25919.99999 4707.874
51544 26099.99999 4619.608
51544 26279.99999 4505.483
51544 26459.99999 4365.830
51544 26639.99999 4201.106
51544 26819.99999 4011.926
51544 26999.99999 3799.117
51544 27179.99999 3563.233
51544 27359.99999 3307.886
51544 27539.99999 3035.118
51544 27719.99999 2747.583
51544 27899.99999 2448.700
51544 28079.99999 2142.850
51544 28259.99999 1835.582
51544 28439.99999 1533.809
51544 28619.99999 1245.952
51544 28799.99999 981.920
51544 28979.99999 752.817
51544 29159.99999 570.212
51544 29339.99999 444.917
51544 29519.99999 385.363
51544 29699.99999 396.005
51544 29879.99999 476.321
51544 30059.99999 620.882
51544 30239.99999 820.455
51544 30419.99999 1063.694
51544 30599.99999 1338.769
51544 30779.99999 1634.568
51544 30959.99999 1941.353
51544 31139.99999 2250.989
51544 31319.99999 2556.892
51544 31499.99999 2853.853
51544 31679.99999 3137.807
51544 31859.99999 3405.618
51544 32039.99999 3654.878
51544 32219.99999 3883.753
51544 32399.99999 4090.849
51544 32579.99999 4275.113
51544 32759.99999 4435.751
51544 32939.99999 4572.175
51544 33119.99999 4683.948
51544 33299.99999 4770.757
51544 33479.99999 4832.385
51544 33659.99999 4868.692
51544 33839.99999 4879.607
51544 34019.99999 4865.116
51544 34199.99999 4825.267
51544 34379.99999 4760.164
51544 34559.99999 4669.983
51544 34739.99999 4554.981
51544 34919.99999 4415.513
51544 35099.99999 4252.062
51544 35279.99999 4065.272
51544 35459.99999 3855.992
51544 35639.99999 3625.344
51544 35819.99999 3374.790
51544 35999.99999 3106.244
