CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:02:44.871
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 17.28395
51544 180.00000 17.96958
51544 360.00000 18.66793
51544 540.00000 19.39091
51544 720.00000 20.14838
51544 900.00000 20.94621
51544 1080.00000 21.78394
51544 1260.00000 22.65289
51544 1440.00000 23.53650
51544 1620.00000 0.41409
51544 1800.00000 1.26671
51544 1980.00000 2.08208
51544 2160.00000 2.85637
51544 2340.00000 3.59304
51544 2520.00000 4.30054
51544 2700.00000 4.99007
51544 2880.00000 5.67412
51544 3060.00000 6.36553
51544 3240.00000 7.07665
51544 3420.00000 7.81842
51544 3600.00000 8.59867
51544 3780.00000 9.41996
51544 3960.00000 10.27721
51544 4140.00000 11.15698
51544 4320.00000 12.03970
51544 4500.00000 12.90493
51544 4680.00000 13.73714
51544 4860.00000 14.52889
51544 5040.00000 15.28080
51544 5220.00000 16.00082
51544 5400.00000 16.76831
51544 5580.00000 17.51016
51544 5760.00000 18.23082
51544 5940.00000 18.93445
51544 6120.00000 19.62349
51544 6300.00000 20.29809
51544 6480.00000 20.95625
51544 6660.00000 21.59450
51544 6840.00000 22.20876
51544 7020.00000 22.79535
51544 7200.00000 23.35164
51544 7380.00000 23.87636
51544 7560.00000 0.36966
51544 7740.00000 0.83278
51544 7920.00000 1.26782
51544 8100.00000 1.67739
51544 8280.00000 2.06434
51544 8460.00000 2.43161
51544 8640.00000 2.78211
51544 8820.00000 3.11864
51544 9000.00000 3.44388
51544 9180.00000 3.76041
51544 9360.00000 4.07071
51544 9540.00000 4.37681
51544 9720.00000 4.68074
51544 9900.00000 4.98504
51544 10080.00000 5.29237
51544 10260.00000 5.60561
51544 10440.00000 5.92798
51544 10620.00000 6.26314
51544 10800.00000 6.61535
51544 10980.00000 6.98963
51544 11160.00000 7.39197
51544 11340.00000 7.82947
51544 11520.00000 8.31047
51544 11700.00000 8.84437
51544 11880.00000 9.44093
51544 12060.00000 10.10861
51544 12240.00000 10.85145
51544 12420.00000 11.66499
51544 12600.00000 12.53299
51544 12780.00000 13.42854
51544 12960.00000 14.32113
51544 13140.00000 15.18614
51544 13320.00000 16.01053
51544 13500.00000 16.79252
51544 13680.00000 17.53747
51544 13860.00000 18.25357
51544 14040.00000 18.94857
51544 14220.00000 19.62799
51544 14400.00000 20.29436
51544 14580.00000 20.94720
51544 14760.00000 21.58361
51544 14940.00000 22.19932
51544 15120.00000 22.78979
51544 15300.00000 23.35123
51544 15480.00000 23.88124
51544 15660.00000 0.37896
51544 15840.00000 0.84497
51544 16020.00000 1.28098
51544 16200.00000 1.68941
51544 16380.00000 2.07315
51544 16560.00000 2.43523
51544 16740.00000 2.77874
51544 16920.00000 3.10668
51544 17100.00000 3.42197
51544 17280.00000 3.72743
51544 17460.00000 4.02579
51544 17640.00000 4.31980
51544 17820.00000 4.61221
51544 18000.00000 4.90594
51544 18180.00000 5.20414
51544 18360.00000 5.51033
51544 18540.00000 5.82855
51544 18720.00000 6.16362
51544 18900.00000 6.52141
51544 19080.00000 6.90914
51544 19260.00000 7.33586
51544 19440.00000 7.81279
51544 19620.00000 8.35348
51544 19800.00000 8.97313
51544 19980.00000 9.68608
51544 20160.00000 10.49988
51544 20340.00000 11.40628
51544 20520.00000 12.37410
51544 20700.00000 13.35406
51544 20880.00000 14.29782
51544 21060.00000 15.17643
51544 21240.00000 15.98421
51544 21420.00000 16.72848
51544 21599.99999 17.42257
51544 21779.99999 18.08320
51544 21959.99999 18.72496
51544 22139.99999 19.35881
51544 22319.99999 19.99155
51544 22499.99999 20.62558
51544 22679.99999 21.25905
51544 22859.99999 21.88661
51544 23039.99999 22.50068
51544 23219.99999 23.09321
51544 23399.99999 23.65726
51544 23579.99999 0.18805
51544 23759.99999 0.68336
51544 23939.99999 1.14317
51544 24119.99999 1.56920
51544 24299.99999 1.96422
51544 24479.99999 2.33156
51544 24659.99999 2.67473
51544 24839.99999 2.99721
51544 25019.99999 3.30231
51544 25199.99999 3.59312
51544 25379.99999 3.87253
51544 25559.99999 4.14324
51544 25739.99999 4.40785
51544 25919.99999 4.66886
51544 26099.99999 4.92877
51544 26279.99999 5.19017
51544 26459.99999 5.45582
51544 26639.99999 5.72879
51544 26819.99999 6.01255
51544 26999.99999 6.31121
51544 27179.99999 6.63210
51544 27359.99999 6.97923
51544 27539.99999 7.36021
51544 27719.99999 7.78453
51544 27899.99999 8.26393
51544 28079.99999 8.81220
51544 28259.99999 9.44404
51544 28439.99999 10.17152
51544 28619.99999 10.99710
51544 28799.99999 11.90475
51544 28979.99999 12.85628
51544 29159.99999 13.80134
51544 29339.99999 14.69747
51544 29519.99999 15.52370
51544 29699.99999 16.27972
51544 29879.99999 16.97719
51544 30059.99999 17.63186
51544 30239.99999 18.25892
51544 30419.99999 18.87092
51544 30599.99999 19.47708
51544 30779.99999 20.08289
51544 30959.99999 20.69013
51544 31139.99999 21.29704
51544 31319.99999 21.89887
51544 31499.99999 22.48906
51544 31679.99999 23.06051
51544 31859.99999 23.60696
51544 32039.99999 0.12390
51544 32219.99999 0.60891
51544 32399.99999 1.06156
51544 32579.99999 1.48300
51544 32759.99999 1.87540
51544 32939.99999 2.24160
51544 33119.99999 2.58466
51544 33299.99999 2.90773
51544 33479.99999 3.21385
51544 33659.99999 3.50591
51544 33839.99999 3.78665
51544 34019.99999 4.05867
51544 34199.99999 4.32444
51544 34379.99999 4.58642
51544 34559.99999 4.84701
51544 34739.99999 5.10875
51544 34919.99999 5.37429
51544 35099.99999 5.64660
51544 35279.99999 5.92903
51544 35459.99999 6.22550
51544 35639.99999 6.54074
51544 35819.99999 6.88051
51544 35999.99999 7.25203
