CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:12:33.064
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), visible_solid_angle (%)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SUN_VISIBILITY
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 100.00
60676 43792.46023 100.00
60676 44384.92046 0.00
60676 44977.38069 0.00
60676 45569.84092 0.00
60676 46162.30115 100.00
60676 46754.76138 100.00
60676 47347.22161 100.00
60676 47939.68185 100.00
60676 48532.14208 100.00
60676 49124.60231 100.00
60676 49717.06254 100.00
60676 50309.52277 100.00
60676 50901.98300 100.00
60676 51494.44323 100.00
60676 52086.90346 100.00
60676 52679.36369 100.00
60676 53271.82392 100.00
60676 53864.28415 100.00
60676 54456.74438 100.00
60676 55049.20461 100.00
60676 55641.66484 100.00
60676 56234.12508 100.00
60676 56826.58531 100.00
60676 57419.04554 100.00
60676 58011.50577 100.00
60676 58603.96600 100.00
60676 59196.42623 100.00
60676 59788.88646 100.00
60676 60381.34669 100.00
60676 60973.80692 100.00
60676 61566.26715 100.00
60676 62158.72738 100.00
60676 62751.18761 100.00
60676 63343.64784 100.00
60676 63936.10807 100.00
60676 64528.56830 100.00
60676 65121.02854 100.00
60676 65713.48877 100.00
60676 66305.94900 100.00
60676 66898.40923 100.00
60676 67490.86946 100.00
60676 68083.32969 100.00
60676 68675.78992 100.00
60676 69268.25015 100.00
60676 69860.71038 100.00
60676 70453.17061 100.00
60676 71045.63084 100.00
60676 71638.09107 100.00
60676 72230.55130 100.00
60676 72823.01153 100.00
60676 73415.47177 100.00
60676 74007.93200 100.00
60676 74600.39223 100.00
60676 75192.85246 100.00
60676 75785.31269 100.00
60676 76377.77292 100.00
60676 76970.23315 100.00
60676 77562.69338 100.00
60676 78155.15361 100.00
60676 78747.61384 100.00
60676 79340.07407 100.00
60676 79932.53430 100.00
60676 80524.99453 100.00
60676 81117.45476 100.00
60676 81709.91499 100.00
60676 82302.37523 100.00
60676 82894.83546 100.00
60676 83487.29569 100.00
60676 84079.75592 100.00
60676 84672.21615 100.00
60676 85264.67638 100.00
60676 85857.13661 100.00
60677 49.59684 100.00
60677 642.05707 100.00
60677 1234.51730 100.00
60677 1826.97753 100.00
60677 2419.43776 100.00
60677 3011.89799 100.00
60677 3604.35822 100.00
60677 4196.81846 100.00
60677 4789.27869 100.00
60677 5381.73892 100.00
60677 5974.19915 100.00
60677 6566.65938 100.00
60677 7159.11961 100.00
60677 7751.57984 100.00
60677 8344.04007 100.00
60677 8936.50030 100.00
60677 9528.96053 100.00
60677 10121.42076 100.00
60677 10713.88099 100.00
60677 11306.34122 100.00
60677 11898.80145 100.00
60677 12491.26168 100.00
60677 13083.72192 100.00
60677 13676.18215 100.00
60677 14268.64238 100.00
60677 14861.10261 100.00
60677 15453.56284 100.00
60677 16046.02307 100.00
60677 16638.48330 100.00
60677 17230.94353 100.00
60677 17823.40376 100.00
60677 18415.86399 100.00
60677 19008.32422 100.00
60677 19600.78445 100.00
60677 20193.24468 100.00
60677 20785.70491 100.00
60677 21378.16515 100.00
60677 21970.62538 100.00
60677 22563.08561 100.00
60677 23155.54584 100.00
60677 23748.00607 100.00
60677 24340.46630 100.00
60677 24932.92653 100.00
60677 25525.38676 100.00
60677 26117.84699 100.00
60677 26710.30722 100.00
60677 27302.76745 100.00
60677 27895.22768 100.00
60677 28487.68791 100.00
60677 29080.14814 100.00
60677 29672.60838 100.00
60677 30265.06861 100.00
60677 30857.52884 100.00
60677 31449.98907 100.00
60677 32042.44930 100.00
60677 32634.90953 100.00
60677 33227.36976 100.00
60677 33819.82999 100.00
60677 34412.29022 100.00
60677 35004.75045 100.00
60677 35597.21068 100.00
60677 36189.67091 100.00
60677 36782.13114 100.00
60677 37374.59137 100.00
60677 37967.05160 100.00
60677 38559.51184 100.00
60677 39151.97207 100.00
60677 39744.43230 100.00
60677 40336.89253 100.00
60677 40929.35276 100.00
60677 41521.81299 100.00
60677 42114.27322 100.00
60677 42706.73345 100.00
60677 43299.19368 100.00
60677 43891.65391 100.00
60677 44484.11414 100.00
60677 45076.57437 100.00
60677 45669.03460 100.00
60677 46261.49483 100.00
60677 46853.95507 100.00
60677 47446.41530 100.00
60677 48038.87553 100.00
60677 48631.33576 100.00
60677 49223.79599 100.00
60677 49816.25622 100.00
60677 50408.71645 100.00
60677 51001.17668 100.00
60677 51593.63691 100.00
60677 52186.09714 100.00
60677 52778.55737 100.00
60677 53371.01760 100.00
60677 53963.47783 100.00
60677 54555.93806 100.00
60677 55148.39829 100.00
60677 55740.85853 100.00
60677 56333.31876 100.00
60677 56925.77899 100.00
60677 57518.23922 100.00
60677 58110.69945 100.00
60677 58703.15968 100.00
60677 59295.61991 100.00
60677 59888.08014 100.00
60677 60480.54037 100.00
60677 61073.00060 100.00
60677 61665.46083 100.00
60677 62257.92106 100.00
60677 62850.38129 100.00
60677 63442.84152 100.00
