CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:11:44.547
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and direction of Earth center
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 101.89433
60676 43792.46023 54.68796
60676 44384.92046 24.27946
60676 44977.38069 5.81853
60676 45569.84092 6.40510
60676 46162.30115 15.21352
60676 46754.76138 21.97899
60676 47347.22161 27.42905
60676 47939.68185 31.98728
60676 48532.14208 35.92805
60676 49124.60231 39.46888
60676 49717.06254 42.92234
60676 50309.52277 48.25863
60676 50901.98300 44.34005
60676 51494.44323 48.06902
60676 52086.90346 50.50181
60676 52679.36369 52.59401
60676 53271.82392 54.49831
60676 53864.28415 56.27016
60676 54456.74438 57.93888
60676 55049.20461 59.52340
60676 55641.66484 61.03745
60676 56234.12508 62.49168
60676 56826.58531 63.89473
60676 57419.04554 65.25380
60676 58011.50577 66.57504
60676 58603.96600 67.86382
60676 59196.42623 69.12486
60676 59788.88646 70.36240
60676 60381.34669 71.58029
60676 60973.80692 72.78208
60676 61566.26715 73.86409
60676 62158.72738 75.05022
60676 62751.18761 78.28806
60676 63343.64784 77.49241
60676 63936.10807 79.42957
60676 64528.56830 81.81336
60676 65121.02854 83.76745
60676 65713.48877 86.15951
60676 66305.94900 88.54804
60676 66898.40923 90.93229
60676 67490.86946 93.31156
60676 68083.32969 95.68519
60676 68675.78992 98.05260
60676 69268.25015 100.41323
60676 69860.71038 102.76662
60676 70453.17061 105.11232
60676 71045.63084 107.45000
60676 71638.09107 109.77937
60676 72230.55130 112.10021
60676 72823.01153 114.41237
60676 73415.47177 116.71574
60676 74007.93200 119.01031
60676 74600.39223 121.29610
60676 75192.85246 123.57320
60676 75785.31269 125.84173
60676 76377.77292 128.10186
60676 76970.23315 130.35381
60676 77562.69338 132.59785
60676 78155.15361 134.83427
60676 78747.61384 137.06341
60676 79340.07407 139.28561
60676 79932.53430 141.50125
60676 80524.99453 143.71070
60676 81117.45476 145.91439
60676 81709.91499 148.11271
60676 82302.37523 150.30611
60676 82894.83546 152.49501
60676 83487.29569 154.67987
60676 84079.75592 156.86111
60676 84672.21615 159.03918
60676 85264.67638 161.21455
60676 85857.13661 163.38768
60677 49.59684 165.55905
60677 642.05707 167.72914
60677 1234.51730 169.89846
60677 1826.97753 172.06753
60677 2419.43776 174.23693
60677 3011.89799 176.40725
60677 3604.35822 178.57909
60677 4196.81846 179.24691
60677 4789.27869 177.07008
60677 5381.73892 174.88970
60677 5974.19915 172.70499
60677 6566.65938 170.51515
60677 7159.11961 168.31933
60677 7751.57984 166.11661
60677 8344.04007 163.90608
60677 8936.50030 161.68676
60677 9528.96053 159.45764
60677 10121.42076 157.21768
60677 10713.88099 154.96585
60677 11306.34122 152.70115
60677 11898.80145 150.42261
60677 12491.26168 148.12932
60677 13083.72192 145.82036
60677 13676.18215 143.49493
60677 14268.64238 141.15233
60677 14861.10261 138.79205
60677 15453.56284 136.41370
60677 16046.02307 134.01710
60677 16638.48330 131.60222
60677 17230.94353 129.16929
60677 17823.40376 126.71878
60677 18415.86399 124.25140
60677 19008.32422 121.76812
60677 19600.78445 119.27017
60677 20193.24468 116.75898
60677 20785.70491 114.23626
60677 21378.16515 111.70390
60677 21970.62538 109.16396
60677 22563.08561 106.61863
60677 23155.54584 104.07021
60677 23748.00607 101.52105
60677 24340.46630 98.97351
60677 24932.92653 96.42992
60677 25525.38676 93.89248
60677 26117.84699 91.36329
60677 26710.30722 88.84427
60677 27302.76745 86.33717
60677 27895.22768 83.84350
60677 28487.68791 81.36453
60677 29080.14814 78.90131
60677 29672.60838 76.45462
60677 30265.06861 74.02499
60677 30857.52884 71.61272
60677 31449.98907 69.21789
60677 32042.44930 66.84040
60677 32634.90953 64.47996
60677 33227.36976 62.13612
60677 33819.82999 59.80828
60677 34412.29022 57.49571
60677 35004.75045 55.19764
60677 35597.21068 52.91320
60677 36189.67091 50.64151
60677 36782.13114 48.38163
60677 37374.59137 46.13262
60677 37967.05160 43.89356
60677 38559.51184 41.66352
60677 39151.97207 39.44162
60677 39744.43230 37.22697
60677 40336.89253 35.01874
60677 40929.35276 32.81612
60677 41521.81299 30.61833
60677 42114.27322 28.42461
60677 42706.73345 26.23429
60677 43299.19368 24.04673
60677 43891.65391 21.86130
60677 44484.11414 19.67741
60677 45076.57437 17.49446
60677 45669.03460 15.31188
60677 46261.49483 13.12915
60677 46853.95507 10.94576
60677 47446.41530 8.76119
60677 48038.87553 6.57493
60677 48631.33576 4.38645
60677 49223.79599 2.19529
60677 49816.25622 0.00105
60677 50408.71645 2.19702
60677 51001.17668 4.39912
60677 51593.63691 6.60582
60677 52186.09714 8.81758
60677 52778.55737 11.03482
60677 53371.01760 13.25799
60677 53963.47783 15.48748
60677 54555.93806 17.72369
60677 55148.39829 19.96699
60677 55740.85853 22.21772
60677 56333.31876 24.47618
60677 56925.77899 26.74266
60677 57518.23922 29.01736
60677 58110.69945 31.30044
60677 58703.15968 33.59202
60677 59295.61991 35.89217
60677 59888.08014 38.20090
60677 60480.54037 40.51817
60677 61073.00060 42.84387
60677 61665.46083 45.17781
60677 62257.92106 47.51975
60677 62850.38129 49.86936
60677 63442.84152 52.22625
