CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:11:44.575
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), argument_of_latitude (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = MEAN_ARGUMENT_OF_LATITUDE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 15.50129
60676 43792.46023 20.83471
60676 44384.92046 26.14033
60676 44977.38069 31.41465
60676 45569.84092 36.67443
60676 46162.30115 41.92857
60676 46754.76138 47.17937
60676 47347.22161 52.42943
60676 47939.68185 57.67771
60676 48532.14208 62.92605
60676 49124.60231 68.17462
60676 49717.06254 73.42280
60676 50309.52277 78.67118
60676 50901.98300 83.91931
60676 51494.44323 89.16768
60676 52086.90346 94.41573
60676 52679.36369 99.66430
60676 53271.82392 104.91274
60676 53864.28415 110.16165
60676 54456.74438 115.41070
60676 55049.20461 120.65987
60676 55641.66484 125.90932
60676 56234.12508 131.15889
60676 56826.58531 136.40868
60676 57419.04554 141.65868
60676 58011.50577 146.90877
60676 58603.96600 152.15928
60676 59196.42623 157.40994
60676 59788.88646 162.66051
60676 60381.34669 167.91123
60676 60973.80692 173.16265
60676 61566.26715 326.16945
60676 62158.72738 331.85911
60676 62751.18761 Nan
60676 63343.64784 194.20880
60676 63936.10807 348.72581
60676 64528.56830 Nan
60676 65121.02854 201.95593
60676 65713.48877 204.26823
60676 66305.94900 206.58196
60676 66898.40923 208.89625
60676 67490.86946 211.20989
60676 68083.32969 213.52346
60676 68675.78992 215.83668
60676 69268.25015 218.14968
60676 69860.71038 220.46265
60676 70453.17061 222.77586
60676 71045.63084 225.08908
60676 71638.09107 227.40208
60676 72230.55130 229.71475
60676 72823.01153 232.02710
60676 73415.47177 234.33920
60676 74007.93200 236.65097
60676 74600.39223 238.96229
60676 75192.85246 241.27308
60676 75785.31269 243.58357
60676 76377.77292 245.89400
60676 76970.23315 248.20448
60676 77562.69338 250.51483
60676 78155.15361 252.82485
60676 78747.61384 255.13448
60676 79340.07407 257.44374
60676 79932.53430 259.75266
60676 80524.99453 262.06126
60676 81117.45476 264.36955
60676 81709.91499 266.67752
60676 82302.37523 268.98508
60676 82894.83546 271.29214
60676 83487.29569 273.59875
60676 84079.75592 275.90505
60676 84672.21615 278.21121
60676 85264.67638 280.51720
60676 85857.13661 282.82305
60677 49.59684 285.12875
60677 642.05707 287.43451
60677 1234.51730 289.74047
60677 1826.97753 292.04646
60677 2419.43776 294.35223
60677 3011.89799 296.65752
60677 3604.35822 298.96253
60677 4196.81846 301.26748
60677 4789.27869 303.57254
60677 5381.73892 305.87772
60677 5974.19915 308.18301
60677 6566.65938 310.48846
60677 7159.11961 312.79413
60677 7751.57984 315.10002
60677 8344.04007 317.40623
60677 8936.50030 319.71279
60677 9528.96053 322.01966
60677 10121.42076 324.32663
60677 10713.88099 326.63355
60677 11306.34122 328.94065
60677 11898.80145 331.24816
60677 12491.26168 333.55629
60677 13083.72192 335.86482
60677 13676.18215 338.17357
60677 14268.64238 340.48254
60677 14861.10261 342.79188
60677 15453.56284 345.10166
60677 16046.02307 347.41187
60677 16638.48330 349.72244
60677 17230.94353 352.03335
60677 17823.40376 354.34459
60677 18415.86399 356.65614
60677 19008.32422 358.96797
60677 19600.78445 1.28008
60677 20193.24468 3.59245
60677 20785.70491 5.90504
60677 21378.16515 8.21783
60677 21970.62538 10.53076
60677 22563.08561 12.84389
60677 23155.54584 15.15728
60677 23748.00607 17.47092
60677 24340.46630 19.78469
60677 24932.92653 22.09838
60677 25525.38676 24.41197
60677 26117.84699 26.72548
60677 26710.30722 29.03897
60677 27302.76745 31.35247
60677 27895.22768 33.66597
60677 28487.68791 35.97946
60677 29080.14814 38.29288
60677 29672.60838 40.60617
60677 30265.06861 42.91919
60677 30857.52884 45.23182
60677 31449.98907 47.54404
60677 32042.44930 49.85612
60677 32634.90953 52.16835
60677 33227.36976 54.48068
60677 33819.82999 56.79285
60677 34412.29022 59.10452
60677 35004.75045 61.41573
60677 35597.21068 63.72658
60677 36189.67091 66.03711
60677 36782.13114 68.34726
60677 37374.59137 70.65698
60677 37967.05160 72.96639
60677 38559.51184 75.27567
60677 39151.97207 77.58495
60677 39744.43230 79.89426
60677 40336.89253 82.20354
60677 40929.35276 84.51269
60677 41521.81299 86.82140
60677 42114.27322 89.12939
60677 42706.73345 91.43685
60677 43299.19368 93.74414
60677 43891.65391 96.05170
60677 44484.11414 98.35930
60677 45076.57437 100.66670
60677 45669.03460 102.97379
60677 46261.49483 105.28084
60677 46853.95507 107.58810
60677 47446.41530 109.89554
60677 48038.87553 112.20292
60677 48631.33576 114.50999
60677 49223.79599 116.81694
60677 49816.25622 119.12394
60677 50408.71645 121.43113
60677 51001.17668 123.73837
60677 51593.63691 126.04557
60677 52186.09714 128.35273
60677 52778.55737 130.65996
60677 53371.01760 132.96735
60677 53963.47783 135.27499
60677 54555.93806 137.58294
60677 55148.39829 139.89121
60677 55740.85853 142.19963
60677 56333.31876 144.50806
60677 56925.77899 146.81650
60677 57518.23922 149.12513
60677 58110.69945 151.43411
60677 58703.15968 153.74343
60677 59295.61991 156.05306
60677 59888.08014 158.36294
60677 60480.54037 160.67304
60677 61073.00060 162.98333
60677 61665.46083 165.29382
60677 62257.92106 167.60455
60677 62850.38129 169.91555
60677 63442.84152 172.22683
