CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:09:53.241
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), sun_eclipse_ratio (%)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 0.00
60676 43792.46023 0.00
60676 44384.92046 100.00
60676 44977.38069 100.00
60676 45569.84092 100.00
60676 46162.30115 0.00
60676 46754.76138 0.00
60676 47347.22161 0.00
60676 47939.68185 0.00
60676 48532.14208 0.00
60676 49124.60231 0.00
60676 49717.06254 0.00
60676 50309.52277 0.00
60676 50901.98300 0.00
60676 51494.44323 0.00
60676 52086.90346 0.00
60676 52679.36369 0.00
60676 53271.82392 0.00
60676 53864.28415 0.00
60676 54456.74438 0.00
60676 55049.20461 0.00
60676 55641.66484 0.00
60676 56234.12508 0.00
60676 56826.58531 0.00
60676 57419.04554 0.00
60676 58011.50577 0.00
60676 58603.96600 0.00
60676 59196.42623 0.00
60676 59788.88646 0.00
60676 60381.34669 0.00
60676 60973.80692 0.00
60676 61566.26715 0.00
60676 62158.72738 0.00
60676 62751.18761 0.00
60676 63343.64784 0.00
60676 63936.10807 0.00
60676 64528.56830 0.00
60676 65121.02854 0.00
60676 65713.48877 0.00
60676 66305.94900 0.00
60676 66898.40923 0.00
60676 67490.86946 0.00
60676 68083.32969 0.00
60676 68675.78992 0.00
60676 69268.25015 0.00
60676 69860.71038 0.00
60676 70453.17061 0.00
60676 71045.63084 0.00
60676 71638.09107 0.00
60676 72230.55130 0.00
60676 72823.01153 0.00
60676 73415.47177 0.00
60676 74007.93200 0.00
60676 74600.39223 0.00
60676 75192.85246 0.00
60676 75785.31269 0.00
60676 76377.77292 0.00
60676 76970.23315 0.00
60676 77562.69338 0.00
60676 78155.15361 0.00
60676 78747.61384 0.00
60676 79340.07407 0.00
60676 79932.53430 0.00
60676 80524.99453 0.00
60676 81117.45476 0.00
60676 81709.91499 0.00
60676 82302.37523 0.00
60676 82894.83546 0.00
60676 83487.29569 0.00
60676 84079.75592 0.00
60676 84672.21615 0.00
60676 85264.67638 0.00
60676 85857.13661 0.00
60677 49.59684 0.00
60677 642.05707 0.00
60677 1234.51730 0.00
60677 1826.97753 0.00
60677 2419.43776 0.00
60677 3011.89799 0.00
60677 3604.35822 0.00
60677 4196.81846 0.00
60677 4789.27869 0.00
60677 5381.73892 0.00
60677 5974.19915 0.00
60677 6566.65938 0.00
60677 7159.11961 0.00
60677 7751.57984 0.00
60677 8344.04007 0.00
60677 8936.50030 0.00
60677 9528.96053 0.00
60677 10121.42076 0.00
60677 10713.88099 0.00
60677 11306.34122 0.00
60677 11898.80145 0.00
60677 12491.26168 0.00
60677 13083.72192 0.00
60677 13676.18215 0.00
60677 14268.64238 0.00
60677 14861.10261 0.00
60677 15453.56284 0.00
60677 16046.02307 0.00
60677 16638.48330 0.00
60677 17230.94353 0.00
60677 17823.40376 0.00
60677 18415.86399 0.00
60677 19008.32422 0.00
60677 19600.78445 0.00
60677 20193.24468 0.00
60677 20785.70491 0.00
60677 21378.16515 0.00
60677 21970.62538 0.00
60677 22563.08561 0.00
60677 23155.54584 0.00
60677 23748.00607 0.00
60677 24340.46630 0.00
60677 24932.92653 0.00
60677 25525.38676 0.00
60677 26117.84699 0.00
60677 26710.30722 0.00
60677 27302.76745 0.00
60677 27895.22768 0.00
60677 28487.68791 0.00
60677 29080.14814 0.00
60677 29672.60838 0.00
60677 30265.06861 0.00
60677 30857.52884 0.00
60677 31449.98907 0.00
60677 32042.44930 0.00
60677 32634.90953 0.00
60677 33227.36976 0.00
60677 33819.82999 0.00
60677 34412.29022 0.00
60677 35004.75045 0.00
60677 35597.21068 0.00
60677 36189.67091 0.00
60677 36782.13114 0.00
60677 37374.59137 0.00
60677 37967.05160 0.00
60677 38559.51184 0.00
60677 39151.97207 0.00
60677 39744.43230 0.00
60677 40336.89253 0.00
60677 40929.35276 0.00
60677 41521.81299 0.00
60677 42114.27322 0.00
60677 42706.73345 0.00
60677 43299.19368 0.00
60677 43891.65391 0.00
60677 44484.11414 0.00
60677 45076.57437 0.00
60677 45669.03460 0.00
60677 46261.49483 0.00
60677 46853.95507 0.00
60677 47446.41530 0.00
60677 48038.87553 0.00
60677 48631.33576 0.00
60677 49223.79599 0.00
60677 49816.25622 0.00
60677 50408.71645 0.00
60677 51001.17668 0.00
60677 51593.63691 0.00
60677 52186.09714 0.00
60677 52778.55737 0.00
60677 53371.01760 0.00
60677 53963.47783 0.00
60677 54555.93806 0.00
60677 55148.39829 0.00
60677 55740.85853 0.00
60677 56333.31876 0.00
60677 56925.77899 0.00
60677 57518.23922 0.00
60677 58110.69945 0.00
60677 58703.15968 0.00
60677 59295.61991 0.00
60677 59888.08014 0.00
60677 60480.54037 0.00
60677 61073.00060 0.00
60677 61665.46083 0.00
60677 62257.92106 0.00
60677 62850.38129 0.00
60677 63442.84152 0.00
