元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额混合
集成电路,模拟电路-放大器,电源电压,0.70,0.80,0.80
集成电路,模拟电路-放大器,输入电压,0.60,0.70,0.70
集成电路,模拟电路-放大器,输出电流,0.70,0.80,0.80
集成电路,模拟电路-放大器,功率,0.70,0.75,0.80
集成电路,模拟电路-放大器,最高结温(℃),80,95,105
集成电路,模拟电路-比较器,电源电压,0.70,0.80,0.80
集成电路,模拟电路-比较器,输入电压,0.70,0.80,0.80
集成电路,模拟电路-比较器,输出电流,0.70,0.80,0.80
集成电路,模拟电路-比较器,功率,0.70,0.75,0.80
集成电路,模拟电路-比较器,最高结温(℃),80,95,105
集成电路,模拟电路-电压调整器,电源电压,0.70,0.80,0.80
集成电路,模拟电路-电压调整器,输入电压,0.70,0.80,0.80
集成电路,模拟电路-电压调整器,输入输出电压差,0.70,-,0.85
集成电路,模拟电路-电压调整器,输出电流,0.70,0.75,0.80
集成电路,模拟电路-电压调整器,功率,0.70,0.75,0.80
集成电路,模拟电路-电压调整器,最高结温(℃),80,95,105
集成电路,模拟电路-模拟开关,电源电压,0.70,0.80,0.85
集成电路,模拟电路-模拟开关,输入电压,0.80,0.85,0.90
集成电路,模拟电路-模拟开关,输出电流,0.75,0.80,0.85
集成电路,模拟电路-模拟开关,功率,0.70,0.75,0.80
集成电路,模拟电路-模拟开关,最高结温(℃),80,95,105
集成电路,数字电路-双极型,频率,0.80,0.90,0.90
集成电路,数字电路-双极型,输出电流,0.80,0.90,0.90
集成电路,数字电路-双极型,最高结温(℃),85,100,115
元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额
集成电路,数字电路-MOS型,电源电压,0.70,0.80,0.80
集成电路,数字电路-MOS型,输出电流,0.80,0.90,0.90
集成电路,数字电路-MOS型,频率,0.80,0.80,0.90
集成电路,数字电路-MOS型,最高结温(℃),85,100,115
集成电路,混合集成电路,厚膜功率密度(W/cm²),7.5,7.5,7.5
集成电路,混合集成电路,薄膜功率密度(W/cm²),6.0,6.0,6.0
集成电路,混合集成电路,最高结温(℃),85,100,115
集成电路,大规模集成电路,最高结温(℃),改进散热方式以降低结温,改进散热方式以降低结温,改进散热方式以降低结温
分立半导体器件,晶体管,反向电压(一般晶体管),0.60,0.70,0.80
分立半导体器件,晶体管,反向电压(功率MOSFET栅源电压),0.50,0.60,0.70
分立半导体器件,晶体管,电流,0.60,0.70,0.80
分立半导体器件,晶体管,功率,0.50,0.65,0.75
分立半导体器件,晶体管,集电极-发射极电压(功率管安全工作区),0.70,0.80,0.90
