CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:20.991
ORIGINATOR     = CNES

META_START

COMMENT Signed angle between Sun direction and orbital plane
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 -17.09325
51544 43267.05600 -17.09610
51544 43366.11200 -17.09910
51544 43465.16800 -17.10219
51544 43564.22400 -17.10530
51544 43663.28000 -17.10837
51544 43762.33600 -17.11134
51544 43861.39200 -17.11417
51544 43960.44800 -17.11679
51544 44059.50400 -17.11918
51544 44158.56000 -17.12130
51544 44257.61600 -17.12313
51544 44356.67200 -17.12466
51544 44455.72800 -17.12589
51544 44554.78400 -17.12684
51544 44653.84000 -17.12752
51544 44752.89600 -17.12796
51544 44851.95200 -17.12820
51544 44951.00800 -17.12829
51544 45050.06400 -17.12828
51544 45149.12000 -17.12823
51544 45248.17600 -17.12820
51544 45347.23200 -17.12825
51544 45446.28800 -17.12843
51544 45545.34400 -17.12882
51544 45644.40000 -17.12944
51544 45743.45600 -17.13035
51544 45842.51200 -17.13158
51544 45941.56800 -17.13314
51544 46040.62400 -17.13504
51544 46139.68000 -17.13727
51544 46238.73600 -17.13982
51544 46337.79200 -17.14263
51544 46436.84800 -17.14567
51544 46535.90400 -17.14888
51544 46634.96000 -17.15218
51544 46734.01600 -17.15550
51544 46833.07200 -17.15877
51544 46932.12800 -17.16190
51544 47031.18400 -17.16483
51544 47130.24000 -17.16749
51544 47229.29600 -17.16984
51544 47328.35200 -17.17184
51544 47427.40800 -17.17346
51544 47526.46400 -17.17472
51544 47625.52000 -17.17563
51544 47724.57600 -17.17622
51544 47823.63200 -17.17654
51544 47922.68800 -17.17666
51544 48021.74400 -17.17665
51544 48120.80000 -17.17658
51544 48219.85600 -17.17654
51544 48318.91200 -17.17660
51544 48417.96800 -17.17684
51544 48517.02400 -17.17731
51544 48616.08000 -17.17806
51544 48715.13600 -17.17913
51544 48814.19200 -17.18053
51544 48913.24800 -17.18227
51544 49012.30400 -17.18433
51544 49111.36000 -17.18669
51544 49210.41600 -17.18931
51544 49309.47200 -17.19214
51544 49408.52800 -17.19512
51544 49507.58400 -17.19820
51544 49606.64000 -17.20130
51544 49705.69600 -17.20438
51544 49804.75200 -17.20736
51544 49903.80800 -17.21020
51544 50002.86400 -17.21284
51544 50101.92000 -17.21524
51544 50200.97600 -17.21738
51544 50300.03200 -17.21923
51544 50399.08800 -17.22079
51544 50498.14400 -17.22204
51544 50597.20000 -17.22301
51544 50696.25600 -17.22371
51544 50795.31200 -17.22417
51544 50894.36800 -17.22444
51544 50993.42400 -17.22455
51544 51092.48000 -17.22456
51544 51191.53600 -17.22452
51544 51290.59200 -17.22450
51544 51389.64800 -17.22455
51544 51488.70400 -17.22473
51544 51587.76000 -17.22510
51544 51686.81600 -17.22570
51544 51785.87200 -17.22658
51544 51884.92800 -17.22778
51544 51983.98400 -17.22930
51544 52083.04000 -17.23117
51544 52182.09600 -17.23337
51544 52281.15200 -17.23589
51544 52380.20800 -17.23869
51544 52479.26400 -17.24172
51544 52578.32000 -17.24492
51544 52677.37600 -17.24823
51544 52776.43200 -17.25157
51544 52875.48800 -17.25487
51544 52974.54400 -17.25804
51544 53073.60000 -17.26100
51544 53172.65600 -17.26370
51544 53271.71200 -17.26609
51544 53370.76800 -17.26813
51544 53469.82400 -17.26980
51544 53568.88000 -17.27109
51544 53667.93600 -17.27203
51544 53766.99200 -17.27266
51544 53866.04800 -17.27301
51544 53965.10400 -17.27316
51544 54064.16000 -17.27317
51544 54163.21600 -17.27312
51544 54262.27200 -17.27309
51544 54361.32800 -17.27315
51544 54460.38400 -17.27337
51544 54559.44000 -17.27382
51544 54658.49600 -17.27455
51544 54757.55200 -17.27558
51544 54856.60800 -17.27694
51544 54955.66400 -17.27862
51544 55054.72000 -17.28064
51544 55153.77600 -17.28295
