CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.001
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Kourou: lon = -52.640 deg, lat = 5.100 deg, alt = 94.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_2
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 12330.736
51544 43267.05600 12580.765
51544 43366.11200 12803.049
51544 43465.16800 12997.263
51544 43564.22400 13163.149
51544 43663.28000 13300.507
51544 43762.33600 13409.200
51544 43861.39200 13489.142
51544 43960.44800 13540.291
51544 44059.50400 13562.656
51544 44158.56000 13556.284
51544 44257.61600 13521.263
51544 44356.67200 13457.719
51544 44455.72800 13365.813
51544 44554.78400 13245.745
51544 44653.84000 13097.752
51544 44752.89600 12922.105
51544 44851.95200 12719.114
51544 44951.00800 12489.137
51544 45050.06400 12232.565
51544 45149.12000 11949.845
51544 45248.17600 11641.475
51544 45347.23200 11308.000
51544 45446.28800 10950.045
51544 45545.34400 10568.289
51544 45644.40000 10163.501
51544 45743.45600 9736.542
51544 45842.51200 9288.363
51544 45941.56800 8820.047
51544 46040.62400 8332.821
51544 46139.68000 7828.083
51544 46238.73600 7307.452
51544 46337.79200 6772.827
51544 46436.84800 6226.497
51544 46535.90400 5671.283
51544 46634.96000 5110.827
51544 46734.01600 4550.015
51544 46833.07200 3995.796
51544 46932.12800 3458.659
51544 47031.18400 2955.317
51544 47130.24000 2513.357
51544 47229.29600 2176.946
51544 47328.35200 2004.780
51544 47427.40800 2041.293
51544 47526.46400 2276.569
51544 47625.52000 2656.676
51544 47724.57600 3126.365
51544 47823.63200 3647.496
51544 47922.68800 4196.684
51544 48021.74400 4759.610
51544 48120.80000 5327.080
51544 48219.85600 5892.822
51544 48318.91200 6452.299
51544 48417.96800 7002.045
51544 48517.02400 7539.303
51544 48616.08000 8061.787
51544 48715.13600 8567.576
51544 48814.19200 9055.014
51544 48913.24800 9522.656
51544 49012.30400 9969.223
51544 49111.36000 10393.598
51544 49210.41600 10794.789
51544 49309.47200 11171.916
51544 49408.52800 11524.200
51544 49507.58400 11850.950
51544 49606.64000 12151.563
51544 49705.69600 12425.504
51544 49804.75200 12672.306
51544 49903.80800 12891.561
51544 50002.86400 13082.926
51544 50101.92000 13246.098
51544 50200.97600 13380.826
51544 50300.03200 13486.904
51544 50399.08800 13564.167
51544 50498.14400 13612.488
51544 50597.20000 13631.778
51544 50696.25600 13621.985
51544 50795.31200 13583.096
51544 50894.36800 13515.131
51544 50993.42400 13418.151
51544 51092.48000 13292.253
51544 51191.53600 13137.581
51544 51290.59200 12954.316
51544 51389.64800 12742.692
51544 51488.70400 12502.992
51544 51587.76000 12235.552
51544 51686.81600 11940.766
51544 51785.87200 11619.100
51544 51884.92800 11271.086
51544 51983.98400 10897.331
51544 52083.04000 10498.530
51544 52182.09600 10075.467
51544 52281.15200 9629.023
51544 52380.20800 9160.197
51544 52479.26400 8670.102
51544 52578.32000 8159.998
51544 52677.37600 7631.301
51544 52776.43200 7085.624
51544 52875.48800 6524.832
51544 52974.54400 5951.096
51544 53073.60000 5367.061
51544 53172.65600 4776.059
51544 53271.71200 4182.557
51544 53370.76800 3593.034
51544 53469.82400 3017.759
51544 53568.88000 2474.743
51544 53667.93600 1998.309
51544 53766.99200 1653.846
51544 53866.04800 1537.033
51544 53965.10400 1696.361
51544 54064.16000 2067.306
51544 54163.21600 2556.258
51544 54262.27200 3103.922
51544 54361.32800 3679.589
51544 54460.38400 4267.017
51544 54559.44000 4856.864
51544 54658.49600 5443.194
51544 54757.55200 6021.897
51544 54856.60800 6589.907
51544 54955.66400 7144.797
51544 55054.72000 7684.589
51544 55153.77600 8207.572
