CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.165
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), moon_eclipse_ratio (%)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ECLIPSE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 100.00
51544 43267.05600 100.00
51544 43366.11200 100.00
51544 43465.16800 100.00
51544 43564.22400 100.00
51544 43663.28000 100.00
51544 43762.33600 100.00
51544 43861.39200 100.00
51544 43960.44800 100.00
51544 44059.50400 100.00
51544 44158.56000 100.00
51544 44257.61600 100.00
51544 44356.67200 100.00
51544 44455.72800 100.00
51544 44554.78400 100.00
51544 44653.84000 100.00
51544 44752.89600 100.00
51544 44851.95200 100.00
51544 44951.00800 100.00
51544 45050.06400 0.00
51544 45149.12000 0.00
51544 45248.17600 0.00
51544 45347.23200 0.00
51544 45446.28800 0.00
51544 45545.34400 0.00
51544 45644.40000 0.00
51544 45743.45600 0.00
51544 45842.51200 0.00
51544 45941.56800 0.00
51544 46040.62400 0.00
51544 46139.68000 0.00
51544 46238.73600 0.00
51544 46337.79200 0.00
51544 46436.84800 0.00
51544 46535.90400 0.00
51544 46634.96000 0.00
51544 46734.01600 0.00
51544 46833.07200 0.00
51544 46932.12800 0.00
51544 47031.18400 0.00
51544 47130.24000 0.00
51544 47229.29600 0.00
51544 47328.35200 0.00
51544 47427.40800 0.00
51544 47526.46400 0.00
51544 47625.52000 0.00
51544 47724.57600 0.00
51544 47823.63200 0.00
51544 47922.68800 0.00
51544 48021.74400 0.00
51544 48120.80000 0.00
51544 48219.85600 0.00
51544 48318.91200 0.00
51544 48417.96800 0.00
51544 48517.02400 0.00
51544 48616.08000 0.00
51544 48715.13600 0.00
51544 48814.19200 0.00
51544 48913.24800 100.00
51544 49012.30400 100.00
51544 49111.36000 100.00
51544 49210.41600 100.00
51544 49309.47200 100.00
51544 49408.52800 100.00
51544 49507.58400 100.00
51544 49606.64000 100.00
51544 49705.69600 100.00
51544 49804.75200 100.00
51544 49903.80800 100.00
51544 50002.86400 100.00
51544 50101.92000 100.00
51544 50200.97600 100.00
51544 50300.03200 100.00
51544 50399.08800 100.00
51544 50498.14400 100.00
51544 50597.20000 100.00
51544 50696.25600 100.00
51544 50795.31200 100.00
51544 50894.36800 100.00
51544 50993.42400 100.00
51544 51092.48000 0.00
51544 51191.53600 0.00
51544 51290.59200 0.00
51544 51389.64800 0.00
51544 51488.70400 0.00
51544 51587.76000 0.00
51544 51686.81600 0.00
51544 51785.87200 0.00
51544 51884.92800 0.00
51544 51983.98400 0.00
51544 52083.04000 0.00
51544 52182.09600 0.00
51544 52281.15200 0.00
51544 52380.20800 0.00
51544 52479.26400 0.00
51544 52578.32000 0.00
51544 52677.37600 0.00
51544 52776.43200 0.00
51544 52875.48800 0.00
51544 52974.54400 0.00
51544 53073.60000 0.00
51544 53172.65600 0.00
51544 53271.71200 0.00
51544 53370.76800 0.00
51544 53469.82400 0.00
51544 53568.88000 0.00
51544 53667.93600 0.00
51544 53766.99200 0.00
51544 53866.04800 0.00
51544 53965.10400 0.00
51544 54064.16000 0.00
51544 54163.21600 0.00
51544 54262.27200 0.00
51544 54361.32800 0.00
51544 54460.38400 0.00
51544 54559.44000 0.00
51544 54658.49600 0.00
51544 54757.55200 0.00
51544 54856.60800 0.00
51544 54955.66400 100.00
51544 55054.72000 100.00
51544 55153.77600 100.00
