CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.170
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 17.24718
51544 43267.05600 17.63877
51544 43366.11200 18.03024
51544 43465.16800 18.42143
51544 43564.22400 18.81214
51544 43663.28000 19.20212
51544 43762.33600 19.59113
51544 43861.39200 19.97891
51544 43960.44800 20.36521
51544 44059.50400 20.74984
51544 44158.56000 21.13261
51544 44257.61600 21.51340
51544 44356.67200 21.89218
51544 44455.72800 22.26893
51544 44554.78400 22.64375
51544 44653.84000 23.01678
51544 44752.89600 23.38824
51544 44851.95200 23.75840
51544 44951.00800 0.12761
51544 45050.06400 0.49624
51544 45149.12000 0.86473
51544 45248.17600 1.23354
51544 45347.23200 1.60314
51544 45446.28800 1.97402
51544 45545.34400 2.34669
51544 45644.40000 2.72161
51544 45743.45600 3.09924
51544 45842.51200 3.47999
51544 45941.56800 3.86421
51544 46040.62400 4.25219
51544 46139.68000 4.64414
51544 46238.73600 5.04014
51544 46337.79200 5.44020
51544 46436.84800 5.84419
51544 46535.90400 6.25189
51544 46634.96000 6.66293
51544 46734.01600 7.07686
51544 46833.07200 7.49312
51544 46932.12800 7.91110
51544 47031.18400 8.33015
51544 47130.24000 8.74958
51544 47229.29600 9.16875
51544 47328.35200 9.58705
51544 47427.40800 10.00395
51544 47526.46400 10.41900
51544 47625.52000 10.83186
51544 47724.57600 11.24232
51544 47823.63200 11.65024
51544 47922.68800 12.05561
51544 48021.74400 12.45852
51544 48120.80000 12.85913
51544 48219.85600 13.25766
51544 48318.91200 13.65437
51544 48417.96800 14.04956
51544 48517.02400 14.44355
51544 48616.08000 14.83662
51544 48715.13600 15.22906
51544 48814.19200 15.62112
51544 48913.24800 16.01298
51544 49012.30400 16.40479
51544 49111.36000 16.79662
51544 49210.41600 17.18850
51544 49309.47200 17.58037
51544 49408.52800 17.97212
51544 49507.58400 18.36359
51544 49606.64000 18.75458
51544 49705.69600 19.14484
51544 49804.75200 19.53412
51544 49903.80800 19.92215
51544 50002.86400 20.30871
51544 50101.92000 20.69356
51544 50200.97600 21.07654
51544 50300.03200 21.45753
51544 50399.08800 21.83647
51544 50498.14400 22.21336
51544 50597.20000 22.58828
51544 50696.25600 22.96137
51544 50795.31200 23.33285
51544 50894.36800 23.70300
51544 50993.42400 0.07214
51544 51092.48000 0.44066
51544 51191.53600 0.80899
51544 51290.59200 1.17758
51544 51389.64800 1.54693
51544 51488.70400 1.91751
51544 51587.76000 2.28982
51544 51686.81600 2.66435
51544 51785.87200 3.04155
51544 51884.92800 3.42183
51544 51983.98400 3.80555
51544 52083.04000 4.19301
51544 52182.09600 4.58441
51544 52281.15200 4.97987
51544 52380.20800 5.37939
51544 52479.26400 5.78286
51544 52578.32000 6.19006
51544 52677.37600 6.60064
51544 52776.43200 7.01416
51544 52875.48800 7.43006
51544 52974.54400 7.84776
51544 53073.60000 8.26658
51544 53172.65600 8.68587
51544 53271.71200 9.10497
51544 53370.76800 9.52327
51544 53469.82400 9.94023
51544 53568.88000 10.35541
51544 53667.93600 10.76845
51544 53766.99200 11.17913
51544 53866.04800 11.58730
51544 53965.10400 11.99296
51544 54064.16000 12.39617
51544 54163.21600 12.79709
51544 54262.27200 13.19594
51544 54361.32800 13.59297
51544 54460.38400 13.98848
51544 54559.44000 14.38278
51544 54658.49600 14.77617
51544 54757.55200 15.16892
51544 54856.60800 15.56127
51544 54955.66400 15.95342
51544 55054.72000 16.34553
51544 55153.77600 16.73765
