CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.175
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and Sun direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SUN_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 16.54124
51544 43267.05600 16.61411
51544 43366.11200 16.69695
51544 43465.16800 16.78636
51544 43564.22400 16.87873
51544 43663.28000 16.97033
51544 43762.33600 17.05750
51544 43861.39200 17.13677
51544 43960.44800 17.20503
51544 44059.50400 17.25959
51544 44158.56000 17.29834
51544 44257.61600 17.31979
51544 44356.67200 17.32316
51544 44455.72800 17.30836
51544 44554.78400 17.27605
51544 44653.84000 17.22756
51544 44752.89600 17.16487
51544 44851.95200 17.09051
51544 44951.00800 17.00749
51544 45050.06400 16.91916
51544 45149.12000 16.82911
51544 45248.17600 16.74099
51544 45347.23200 16.65841
51544 45446.28800 16.58476
51544 45545.34400 16.52313
51544 45644.40000 16.47610
51544 45743.45600 16.44573
51544 45842.51200 16.43338
51544 45941.56800 16.43971
51544 46040.62400 16.46461
51544 46139.68000 16.50719
51544 46238.73600 16.56581
51544 46337.79200 16.63813
51544 46436.84800 16.72122
51544 46535.90400 16.81163
51544 46634.96000 16.90558
51544 46734.01600 16.99905
51544 46833.07200 17.08806
51544 46932.12800 17.16874
51544 47031.18400 17.23760
51544 47130.24000 17.29160
51544 47229.29600 17.32842
51544 47328.35200 17.34645
51544 47427.40800 17.34496
51544 47526.46400 17.32409
51544 47625.52000 17.28487
51544 47724.57600 17.22918
51544 47823.63200 17.15962
51544 47922.68800 17.07943
51544 48021.74400 16.99231
51544 48120.80000 16.90226
51544 48219.85600 16.81337
51544 48318.91200 16.72964
51544 48417.96800 16.65484
51544 48517.02400 16.59226
51544 48616.08000 16.54467
51544 48715.13600 16.51412
51544 48814.19200 16.50192
51544 48913.24800 16.50859
51544 49012.30400 16.53383
51544 49111.36000 16.57655
51544 49210.41600 16.63497
51544 49309.47200 16.70665
51544 49408.52800 16.78862
51544 49507.58400 16.87754
51544 49606.64000 16.96978
51544 49705.69600 17.06163
51544 49804.75200 17.14942
51544 49903.80800 17.22964
51544 50002.86400 17.29913
51544 50101.92000 17.35516
51544 50200.97600 17.39556
51544 50300.03200 17.41878
51544 50399.08800 17.42396
51544 50498.14400 17.41094
51544 50597.20000 17.38032
51544 50696.25600 17.33335
51544 50795.31200 17.27195
51544 50894.36800 17.19861
51544 50993.42400 17.11630
51544 51092.48000 17.02833
51544 51191.53600 16.93827
51544 51290.59200 16.84977
51544 51389.64800 16.76644
51544 51488.70400 16.69172
51544 51587.76000 16.62871
51544 51686.81600 16.58006
51544 51785.87200 16.54788
51544 51884.92800 16.53361
51544 51983.98400 16.53799
51544 52083.04000 16.56097
51544 52182.09600 16.60176
51544 52281.15200 16.65879
51544 52380.20800 16.72982
51544 52479.26400 16.81194
51544 52578.32000 16.90176
51544 52677.37600 16.99554
51544 52776.43200 17.08928
51544 52875.48800 17.17898
51544 52974.54400 17.26075
51544 53073.60000 17.33104
51544 53172.65600 17.38678
51544 53271.71200 17.42555
51544 53370.76800 17.44567
51544 53469.82400 17.44629
51544 53568.88000 17.42748
51544 53667.93600 17.39017
51544 53766.99200 17.33615
51544 53866.04800 17.26795
51544 53965.10400 17.18876
51544 54064.16000 17.10223
51544 54163.21600 17.01233
51544 54262.27200 16.92316
51544 54361.32800 16.83874
51544 54460.38400 16.76286
51544 54559.44000 16.69888
51544 54658.49600 16.64962
51544 54757.55200 16.61723
51544 54856.60800 16.60309
51544 54955.66400 16.60779
51544 55054.72000 16.63113
51544 55153.77600 16.67212
