CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.204
ORIGINATOR     = CNES

META_START

COMMENT Solar array rotation angle from reference direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 173.63241
51544 43267.05600 179.43088
51544 43366.11200 -174.79416
51544 43465.16800 -169.04083
51544 43564.22400 -163.30726
51544 43663.28000 -157.59164
51544 43762.33600 -151.89206
51544 43861.39200 -146.20675
51544 43960.44800 -140.53403
51544 44059.50400 -134.87220
51544 44158.56000 -129.21976
51544 44257.61600 -123.57511
51544 44356.67200 -117.93673
51544 44455.72800 -112.30310
51544 44554.78400 -106.67267
51544 44653.84000 -101.04380
51544 44752.89600 -95.41468
51544 44851.95200 -89.78340
51544 44951.00800 -84.14804
51544 45050.06400 -78.50632
51544 45149.12000 -72.85599
51544 45248.17600 -67.19469
51544 45347.23200 -61.51980
51544 45446.28800 -55.82887
51544 45545.34400 -50.11929
51544 45644.40000 -44.38852
51544 45743.45600 -38.63422
51544 45842.51200 -32.85397
51544 45941.56800 -27.04570
51544 46040.62400 -21.20754
51544 46139.68000 -15.33795
51544 46238.73600 -9.43568
51544 46337.79200 -3.49991
51544 46436.84800 2.46970
51544 46535.90400 8.47311
51544 46634.96000 14.50956
51544 46734.01600 20.57786
51544 46833.07200 26.67626
51544 46932.12800 32.80227
51544 47031.18400 38.95303
51544 47130.24000 45.12505
51544 47229.29600 51.31440
51544 47328.35200 57.51682
51544 47427.40800 63.72782
51544 47526.46400 69.94266
51544 47625.52000 76.15666
51544 47724.57600 82.36511
51544 47823.63200 88.56360
51544 47922.68800 94.74791
51544 48021.74400 100.91431
51544 48120.80000 107.05946
51544 48219.85600 113.18045
51544 48318.91200 119.27496
51544 48417.96800 125.34111
51544 48517.02400 131.37766
51544 48616.08000 137.38367
51544 48715.13600 143.35886
51544 48814.19200 149.30331
51544 48913.24800 155.21748
51544 49012.30400 161.10213
51544 49111.36000 166.95837
51544 49210.41600 172.78761
51544 49309.47200 178.59140
51544 49408.52800 -175.62858
51544 49507.58400 -169.87055
51544 49606.64000 -164.13259
51544 49705.69600 -158.41288
51544 49804.75200 -152.70960
51544 49903.80800 -147.02105
51544 50002.86400 -141.34538
51544 50101.92000 -135.68105
51544 50200.97600 -130.02651
51544 50300.03200 -124.38015
51544 50399.08800 -118.74052
51544 50498.14400 -113.10612
51544 50597.20000 -107.47532
51544 50696.25600 -101.84657
51544 50795.31200 -96.21803
51544 50894.36800 -90.58789
51544 50993.42400 -84.95415
51544 51092.48000 -79.31457
51544 51191.53600 -73.66695
51544 51290.59200 -68.00880
51544 51389.64800 -62.33764
51544 51488.70400 -56.65095
51544 51587.76000 -50.94608
51544 51686.81600 -45.22045
51544 51785.87200 -39.47164
51544 51884.92800 -33.69731
51544 51983.98400 -27.89523
51544 52083.04000 -22.06353
51544 52182.09600 -16.20055
51544 52281.15200 -10.30496
51544 52380.20800 -4.37588
51544 52479.26400 1.58718
51544 52578.32000 7.58415
51544 52677.37600 13.61449
51544 52776.43200 19.67707
51544 52875.48800 25.77011
51544 52974.54400 31.89139
51544 53073.60000 38.03801
51544 53172.65600 44.20661
51544 53271.71200 50.39337
51544 53370.76800 56.59399
51544 53469.82400 62.80400
51544 53568.88000 69.01873
51544 53667.93600 75.23343
51544 53766.99200 81.44341
51544 53866.04800 87.64420
51544 53965.10400 93.83156
51544 54064.16000 100.00164
51544 54163.21600 106.15102
51544 54262.27200 112.27679
51544 54361.32800 118.37651
51544 54460.38400 124.44820
51544 54559.44000 130.49052
51544 54658.49600 136.50255
51544 54757.55200 142.48387
51544 54856.60800 148.43446
51544 54955.66400 154.35467
51544 55054.72000 160.24538
51544 55153.77600 166.10748
