CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:16:57.151
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Aussaguel: lon = 1.499 deg, lat = 43.430 deg, alt = 154.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 8433.332
60676 43290.35368 8782.815
60676 43380.70736 9123.944
60676 43471.06103 9454.465
60676 43561.41471 9772.391
60676 43651.76839 10075.969
60676 43742.12207 10363.652
60676 43832.47574 10634.080
60676 43922.82942 10886.063
60676 44013.18310 11118.566
60676 44103.53678 11330.698
60676 44193.89046 11521.698
60676 44284.24413 11690.930
60676 44374.59781 11837.872
60676 44464.95149 11962.109
60676 44555.30517 12063.325
60676 44645.65885 12141.298
60676 44736.01252 12195.894
60676 44826.36620 12227.060
60676 44916.71988 12234.821
60676 45007.07356 12219.274
60676 45097.42723 12180.587
60676 45187.78091 12118.994
60676 45278.13459 12034.792
60676 45368.48827 11928.342
60676 45458.84195 11800.065
60676 45549.19562 11650.447
60676 45639.54930 11480.036
60676 45729.90298 11289.446
60676 45820.25666 11079.360
60676 45910.61034 10850.539
60676 46000.96401 10603.823
60676 46091.31769 10340.146
60676 46181.67137 10060.545
60676 46272.02505 9766.172
60676 46362.37872 9458.320
60676 46452.73240 9138.440
60676 46543.08608 8808.168
60676 46633.43976 8469.368
60676 46723.79344 8124.166
60676 46814.14711 7775.011
60676 46904.50079 7424.732
60676 46994.85447 7076.616
60676 47085.20815 6734.487
60676 47175.56182 6402.798
60676 47265.91550 6086.704
60676 47356.26918 5792.110
60676 47446.62286 5525.639
60676 47536.97654 5294.483
60676 47627.33021 5106.055
60676 47717.68389 4967.425
60676 47808.03757 4884.546
60676 47898.39125 4861.427
60676 47988.74493 4899.482
60676 48079.09860 4997.277
60676 48169.45228 5150.794
60676 48259.80596 5354.084
60676 48350.15964 5600.087
60676 48440.51331 5881.382
60676 48530.86699 6190.738
60676 48621.22067 6521.454
60676 48711.57435 6867.504
60676 48801.92803 7223.575
60676 48892.28170 7585.026
60676 48982.63538 7947.822
60676 49072.98906 8308.458
60676 49163.34274 8663.885
60676 49253.69642 9011.447
60676 49344.05009 9348.820
60676 49434.40377 9673.973
60676 49524.75745 9985.124
60676 49615.11113 10280.716
60676 49705.46480 10559.384
60676 49795.81848 10819.938
60676 49886.17216 11061.346
60676 49976.52584 11282.718
60676 50066.87952 11483.293
60676 50157.23319 11662.426
60676 50247.58687 11819.585
60676 50337.94055 11954.335
60676 50428.29423 12066.333
60676 50518.64791 12155.323
60676 50609.00158 12221.129
60676 50699.35526 12263.649
60676 50789.70894 12282.852
60676 50880.06262 12278.772
60676 50970.41629 12251.508
60676 51060.76997 12201.221
60676 51151.12365 12128.129
60676 51241.47733 12032.513
60676 51331.83101 11914.711
60676 51422.18468 11775.121
60676 51512.53836 11614.206
60676 51602.89204 11432.493
60676 51693.24572 11230.580
60676 51783.59939 11009.141
60676 51873.95307 10768.933
60676 51964.30675 10510.807
60676 52054.66043 10235.719
60676 52145.01411 9944.744
60676 52235.36778 9639.094
60676 52325.72146 9320.142
60676 52416.07514 8989.445
60676 52506.42882 8648.785
60676 52596.78250 8300.201
60676 52687.13617 7946.049
60676 52777.48985 7589.056
60676 52867.84353 7232.400
60676 52958.19721 6879.789
60676 53048.55088 6535.557
60676 53138.90456 6204.750
60676 53229.25824 5893.203
60676 53319.61192 5607.543
60676 53409.96560 5355.098
60676 53500.31927 5143.618
60676 53590.67295 4980.759
60676 53681.02663 4873.324
60676 53771.38031 4826.356
60676 53861.73399 4842.328
60676 53952.08766 4920.693
60676 54042.44134 5057.995
60676 54132.79502 5248.472
60676 54223.14870 5484.929
60676 54313.50237 5759.604
60676 54403.85605 6064.833
60676 54494.20973 6393.469
60676 54584.56341 6739.088
60676 54674.91709 7096.040
60676 54765.27076 7459.417
60676 54855.62444 7824.982
60676 54945.97812 8189.084
60676 55036.33180 8548.568
60676 55126.68547 8900.709
60676 55217.03915 9243.140
60676 55307.39283 9573.805
60676 55397.74651 9890.912
60676 55488.10019 10192.896
60676 55578.45386 10478.394
60676 55668.80754 10746.215
60676 55759.16122 10995.325
60676 55849.51490 11224.828
60676 55939.86858 11433.952
60676 56030.22225 11622.036
60676 56120.57593 11788.520
60676 56210.92961 11932.939
60676 56301.28329 12054.912
60676 56391.63696 12154.136
60676 56481.99064 12230.382
60676 56572.34432 12283.489
60676 56662.69800 12313.362
60676 56753.05168 12319.967
60676 56843.40535 12303.329
60676 56933.75903 12263.532
60676 57024.11271 12200.718
60676 57114.46639 12115.087
60676 57204.82007 12006.898
60676 57295.17374 11876.471
60676 57385.52742 11724.189
60676 57475.88110 11550.505
60676 57566.23478 11355.942
60676 57656.58845 11141.106
60676 57746.94213 10906.688
60676 57837.29581 10653.476
60676 57927.64949 10382.367
60676 58018.00317 10094.383
60676 58108.35684 9790.684
60676 58198.71052 9472.594
60676 58289.06420 9141.623
60676 58379.41788 8799.504
60676 58469.77156 8448.227
60676 58560.12523 8090.091
60676 58650.47891 7727.762
60676 58740.83259 7364.343
60676 58831.18627 7003.459
60676 58921.53994 6649.349
60676 59011.89362 6306.963
60676 59102.24730 5982.043
60676 59192.60098 5681.166
60676 59282.95466 5411.684
60676 59373.30833 5181.507
60676 59463.66201 4998.644
60676 59554.01569 4870.476
60676 59644.36937 4802.827
60676 59734.72304 4799.043
60676 59825.07672 4859.388
60676 59915.43040 4980.992
60676 60005.78408 5158.383
60676 60096.13776 5384.374
60676 60186.49143 5651.005
60676 60276.84511 5950.309
60676 60367.19879 6274.814
60676 60457.55247 6617.788
60676 60547.90615 6973.324
60676 60638.25982 7336.314
60676 60728.61350 7702.368
60676 60818.96718 8067.724
60676 60909.32086 8429.156
60676 60999.67453 8783.889
60676 61090.02821 9129.527
60676 61180.38189 9463.996
60676 61270.73557 9785.493
60676 61361.08925 10092.448
60676 61451.44292 10383.490
60676 61541.79660 10657.419
