CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:16:57.306
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), argument_of_latitude (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = MEAN_ARGUMENT_OF_LATITUDE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 15.50130
60676 43290.35368 21.37913
60676 43380.70736 27.25830
60676 43471.06103 33.13860
60676 43561.41471 39.02017
60676 43651.76839 44.90316
60676 43742.12207 50.78735
60676 43832.47574 56.67295
60676 43922.82942 62.56017
60676 44013.18310 68.44866
60676 44103.53678 74.33799
60676 44193.89046 80.22861
60676 44284.24413 86.12078
60676 44374.59781 92.01423
60676 44464.95149 97.90799
60676 44555.30517 103.80086
60676 44645.65885 109.69370
60676 44736.01252 115.58570
60676 44826.36620 121.47642
60676 44916.71988 127.36524
60676 45007.07356 133.25234
60676 45097.42723 139.13697
60676 45187.78091 145.01949
60676 45278.13459 150.89985
60676 45368.48827 156.77824
60676 45458.84195 162.65524
60676 45549.19562 168.53079
60676 45639.54930 174.40542
60676 45729.90298 180.27943
60676 45820.25666 186.15313
60676 45910.61034 192.02684
60676 46000.96401 197.90064
60676 46091.31769 203.77484
60676 46181.67137 209.64973
60676 46272.02505 215.52489
60676 46362.37872 221.40092
60676 46452.73240 227.27824
60676 46543.08608 233.15656
60676 46633.43976 239.03569
60676 46723.79344 244.91606
60676 46814.14711 250.79849
60676 46904.50079 256.68230
60676 46994.85447 262.56841
60676 47085.20815 268.45589
60676 47175.56182 274.34490
60676 47265.91550 280.23572
60676 47356.26918 286.12731
60676 47446.62286 292.01997
60676 47536.97654 297.91229
60676 47627.33021 303.80397
60676 47717.68389 309.69451
60676 47808.03757 315.58357
60676 47898.39125 321.47044
60676 47988.74493 327.35449
60676 48079.09860 333.23622
60676 48169.45228 339.11581
60676 48259.80596 344.99316
60676 48350.15964 350.86888
60676 48440.51331 356.74387
60676 48530.86699 2.61873
60676 48621.22067 8.49417
60676 48711.57435 14.37065
60676 48801.92803 20.24880
60676 48892.28170 26.12859
60676 48982.63538 32.01040
60676 49072.98906 37.89437
60676 49163.34274 43.77973
60676 49253.69642 49.66664
60676 49344.05009 55.55421
60676 49434.40377 61.44299
60676 49524.75745 67.33228
60676 49615.11113 73.22230
60676 49705.46480 79.11219
60676 49795.81848 85.00245
60676 49886.17216 90.89271
60676 49976.52584 96.78293
60676 50066.87952 102.67293
60676 50157.23319 108.56295
60676 50247.58687 114.45203
60676 50337.94055 120.34032
60676 50428.29423 126.22743
60676 50518.64791 132.11362
60676 50609.00158 137.99786
60676 50699.35526 143.88083
60676 50789.70894 149.76137
60676 50880.06262 155.64060
60676 50970.41629 161.51828
60676 51060.76997 167.39433
60676 51151.12365 173.26935
60676 51241.47733 179.14348
60676 51331.83101 185.01720
60676 51422.18468 190.89099
60676 51512.53836 196.76489
60676 51602.89204 202.63927
60676 51693.24572 208.51467
60676 51783.59939 214.39097
60676 51873.95307 220.26823
60676 51964.30675 226.14622
60676 52054.66043 232.02581
60676 52145.01411 237.90580
60676 52235.36778 243.78637
60676 52325.72146 249.66815
60676 52416.07514 255.55070
60676 52506.42882 261.43353
60676 52596.78250 267.31739
60676 52687.13617 273.20159
60676 52777.48985 279.08654
60676 52867.84353 284.97232
60676 52958.19721 290.85893
60676 53048.55088 296.74560
60676 53138.90456 302.63261
60676 53229.25824 308.51943
60676 53319.61192 314.40562
60676 53409.96560 320.29163
60676 53500.31927 326.17589
60676 53590.67295 332.05847
60676 53681.02663 337.93925
60676 53771.38031 343.81837
60676 53861.73399 349.69579
60676 53952.08766 355.57176
60676 54042.44134 1.44687
60676 54132.79502 7.32176
60676 54223.14870 13.19719
60676 54313.50237 19.07395
60676 54403.85605 24.95211
60676 54494.20973 30.83288
60676 54584.56341 36.71605
60676 54674.91709 42.60171
60676 54765.27076 48.49010
60676 54855.62444 54.38044
60676 54945.97812 60.27187
60676 55036.33180 66.16522
60676 55126.68547 72.05889
60676 55217.03915 77.95223
60676 55307.39283 83.84482
60676 55397.74651 89.73691
60676 55488.10019 95.62760
60676 55578.45386 101.51728
60676 55668.80754 107.40641
60676 55759.16122 113.29368
60676 55849.51490 119.17966
60676 55939.86858 125.06463
60676 56030.22225 130.94807
60676 56120.57593 136.83045
60676 56210.92961 142.71141
60676 56301.28329 148.59144
60676 56391.63696 154.47026
60676 56481.99064 160.34744
60676 56572.34432 166.22360
60676 56662.69800 172.09891
60676 56753.05168 177.97326
60676 56843.40535 183.84713
60676 56933.75903 189.72074
60676 57024.11271 195.59448
60676 57114.46639 201.46860
60676 57204.82007 207.34359
60676 57295.17374 213.21950
60676 57385.52742 219.09672
60676 57475.88110 224.97528
60676 57566.23478 230.85539
60676 57656.58845 236.73675
60676 57746.94213 242.61901
