CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:16:57.810
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), satellite mode
COMMENT ------------------------
COMMENT SYNTHESIS: Satellite mode - Ratio of simulation time (%)
COMMENT NadirTrace_XY        100.0
COMMENT ------------------------

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_MODES
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 NadirTrace_XY
60676 43290.35368 NadirTrace_XY
60676 43380.70736 NadirTrace_XY
60676 43471.06103 NadirTrace_XY
60676 43561.41471 NadirTrace_XY
60676 43651.76839 NadirTrace_XY
60676 43742.12207 NadirTrace_XY
60676 43832.47574 NadirTrace_XY
60676 43922.82942 NadirTrace_XY
60676 44013.18310 NadirTrace_XY
60676 44103.53678 NadirTrace_XY
60676 44193.89046 NadirTrace_XY
60676 44284.24413 NadirTrace_XY
60676 44374.59781 NadirTrace_XY
60676 44464.95149 NadirTrace_XY
60676 44555.30517 NadirTrace_XY
60676 44645.65885 NadirTrace_XY
60676 44736.01252 NadirTrace_XY
60676 44826.36620 NadirTrace_XY
60676 44916.71988 NadirTrace_XY
60676 45007.07356 NadirTrace_XY
60676 45097.42723 NadirTrace_XY
60676 45187.78091 NadirTrace_XY
60676 45278.13459 NadirTrace_XY
60676 45368.48827 NadirTrace_XY
60676 45458.84195 NadirTrace_XY
60676 45549.19562 NadirTrace_XY
60676 45639.54930 NadirTrace_XY
60676 45729.90298 NadirTrace_XY
60676 45820.25666 NadirTrace_XY
60676 45910.61034 NadirTrace_XY
60676 46000.96401 NadirTrace_XY
60676 46091.31769 NadirTrace_XY
60676 46181.67137 NadirTrace_XY
60676 46272.02505 NadirTrace_XY
60676 46362.37872 NadirTrace_XY
60676 46452.73240 NadirTrace_XY
60676 46543.08608 NadirTrace_XY
60676 46633.43976 NadirTrace_XY
60676 46723.79344 NadirTrace_XY
60676 46814.14711 NadirTrace_XY
60676 46904.50079 NadirTrace_XY
60676 46994.85447 NadirTrace_XY
60676 47085.20815 NadirTrace_XY
60676 47175.56182 NadirTrace_XY
60676 47265.91550 NadirTrace_XY
60676 47356.26918 NadirTrace_XY
60676 47446.62286 NadirTrace_XY
60676 47536.97654 NadirTrace_XY
60676 47627.33021 NadirTrace_XY
60676 47717.68389 NadirTrace_XY
60676 47808.03757 NadirTrace_XY
60676 47898.39125 NadirTrace_XY
60676 47988.74493 NadirTrace_XY
60676 48079.09860 NadirTrace_XY
60676 48169.45228 NadirTrace_XY
60676 48259.80596 NadirTrace_XY
60676 48350.15964 NadirTrace_XY
60676 48440.51331 NadirTrace_XY
60676 48530.86699 NadirTrace_XY
60676 48621.22067 NadirTrace_XY
60676 48711.57435 NadirTrace_XY
60676 48801.92803 NadirTrace_XY
60676 48892.28170 NadirTrace_XY
60676 48982.63538 NadirTrace_XY
60676 49072.98906 NadirTrace_XY
60676 49163.34274 NadirTrace_XY
60676 49253.69642 NadirTrace_XY
60676 49344.05009 NadirTrace_XY
60676 49434.40377 NadirTrace_XY
60676 49524.75745 NadirTrace_XY
60676 49615.11113 NadirTrace_XY
60676 49705.46480 NadirTrace_XY
60676 49795.81848 NadirTrace_XY
60676 49886.17216 NadirTrace_XY
60676 49976.52584 NadirTrace_XY
60676 50066.87952 NadirTrace_XY
60676 50157.23319 NadirTrace_XY
60676 50247.58687 NadirTrace_XY
60676 50337.94055 NadirTrace_XY
60676 50428.29423 NadirTrace_XY
60676 50518.64791 NadirTrace_XY
60676 50609.00158 NadirTrace_XY
60676 50699.35526 NadirTrace_XY
60676 50789.70894 NadirTrace_XY
60676 50880.06262 NadirTrace_XY
60676 50970.41629 NadirTrace_XY
60676 51060.76997 NadirTrace_XY
60676 51151.12365 NadirTrace_XY
60676 51241.47733 NadirTrace_XY
60676 51331.83101 NadirTrace_XY
60676 51422.18468 NadirTrace_XY
60676 51512.53836 NadirTrace_XY
60676 51602.89204 NadirTrace_XY
60676 51693.24572 NadirTrace_XY
60676 51783.59939 NadirTrace_XY
60676 51873.95307 NadirTrace_XY
60676 51964.30675 NadirTrace_XY
60676 52054.66043 NadirTrace_XY
60676 52145.01411 NadirTrace_XY
60676 52235.36778 NadirTrace_XY
60676 52325.72146 NadirTrace_XY
60676 52416.07514 NadirTrace_XY
60676 52506.42882 NadirTrace_XY
60676 52596.78250 NadirTrace_XY
60676 52687.13617 NadirTrace_XY
60676 52777.48985 NadirTrace_XY
60676 52867.84353 NadirTrace_XY
60676 52958.19721 NadirTrace_XY
60676 53048.55088 NadirTrace_XY
60676 53138.90456 NadirTrace_XY
60676 53229.25824 NadirTrace_XY
60676 53319.61192 NadirTrace_XY
60676 53409.96560 NadirTrace_XY
60676 53500.31927 NadirTrace_XY
60676 53590.67295 NadirTrace_XY
60676 53681.02663 NadirTrace_XY
60676 53771.38031 NadirTrace_XY
60676 53861.73399 NadirTrace_XY
60676 53952.08766 NadirTrace_XY
60676 54042.44134 NadirTrace_XY
60676 54132.79502 NadirTrace_XY
60676 54223.14870 NadirTrace_XY
60676 54313.50237 NadirTrace_XY
60676 54403.85605 NadirTrace_XY
60676 54494.20973 NadirTrace_XY
60676 54584.56341 NadirTrace_XY
60676 54674.91709 NadirTrace_XY
60676 54765.27076 NadirTrace_XY
60676 54855.62444 NadirTrace_XY
60676 54945.97812 NadirTrace_XY
60676 55036.33180 NadirTrace_XY
60676 55126.68547 NadirTrace_XY
60676 55217.03915 NadirTrace_XY
60676 55307.39283 NadirTrace_XY
60676 55397.74651 NadirTrace_XY
60676 55488.10019 NadirTrace_XY
60676 55578.45386 NadirTrace_XY
60676 55668.80754 NadirTrace_XY
60676 55759.16122 NadirTrace_XY
60676 55849.51490 NadirTrace_XY
60676 55939.86858 NadirTrace_XY
60676 56030.22225 NadirTrace_XY
60676 56120.57593 NadirTrace_XY
60676 56210.92961 NadirTrace_XY
60676 56301.28329 NadirTrace_XY
60676 56391.63696 NadirTrace_XY
60676 56481.99064 NadirTrace_XY
60676 56572.34432 NadirTrace_XY
60676 56662.69800 NadirTrace_XY
60676 56753.05168 NadirTrace_XY
60676 56843.40535 NadirTrace_XY
60676 56933.75903 NadirTrace_XY
60676 57024.11271 NadirTrace_XY
60676 57114.46639 NadirTrace_XY
60676 57204.82007 NadirTrace_XY
60676 57295.17374 NadirTrace_XY
60676 57385.52742 NadirTrace_XY
60676 57475.88110 NadirTrace_XY
60676 57566.23478 NadirTrace_XY
60676 57656.58845 NadirTrace_XY
60676 57746.94213 NadirTrace_XY
60676 57837.29581 NadirTrace_XY
60676 57927.64949 NadirTrace_XY
60676 58018.00317 NadirTrace_XY
60676 58108.35684 NadirTrace_XY
60676 58198.71052 NadirTrace_XY
60676 58289.06420 NadirTrace_XY
60676 58379.41788 NadirTrace_XY
60676 58469.77156 NadirTrace_XY
60676 58560.12523 NadirTrace_XY
60676 58650.47891 NadirTrace_XY
60676 58740.83259 NadirTrace_XY
60676 58831.18627 NadirTrace_XY
60676 58921.53994 NadirTrace_XY
60676 59011.89362 NadirTrace_XY
60676 59102.24730 NadirTrace_XY
60676 59192.60098 NadirTrace_XY
60676 59282.95466 NadirTrace_XY
60676 59373.30833 NadirTrace_XY
60676 59463.66201 NadirTrace_XY
60676 59554.01569 NadirTrace_XY
60676 59644.36937 NadirTrace_XY
60676 59734.72304 NadirTrace_XY
60676 59825.07672 NadirTrace_XY
60676 59915.43040 NadirTrace_XY
60676 60005.78408 NadirTrace_XY
60676 60096.13776 NadirTrace_XY
60676 60186.49143 NadirTrace_XY
60676 60276.84511 NadirTrace_XY
60676 60367.19879 NadirTrace_XY
60676 60457.55247 NadirTrace_XY
60676 60547.90615 NadirTrace_XY
60676 60638.25982 NadirTrace_XY
60676 60728.61350 NadirTrace_XY
60676 60818.96718 NadirTrace_XY
60676 60909.32086 NadirTrace_XY
60676 60999.67453 NadirTrace_XY
60676 61090.02821 NadirTrace_XY
60676 61180.38189 NadirTrace_XY
60676 61270.73557 NadirTrace_XY
60676 61361.08925 NadirTrace_XY
60676 61451.44292 NadirTrace_XY
60676 61541.79660 NadirTrace_XY
60676 61632.15028 NadirTrace_XY
60676 61722.50396 NadirTrace_XY
60676 61812.85764 NadirTrace_XY
60676 61903.21131 NadirTrace_XY
60676 61993.56499 NadirTrace_XY
60676 62083.91867 NadirTrace_XY
60676 62174.27235 NadirTrace_XY
60676 62264.62602 NadirTrace_XY
60676 62354.97970 NadirTrace_XY
60676 62445.33338 NadirTrace_XY
60676 62535.68706 NadirTrace_XY
60676 62626.04074 NadirTrace_XY
60676 62716.39441 NadirTrace_XY
60676 62806.74809 NadirTrace_XY
60676 62897.10177 NadirTrace_XY
60676 62987.45545 NadirTrace_XY
60676 63077.80912 NadirTrace_XY
60676 63168.16280 NadirTrace_XY
60676 63258.51648 NadirTrace_XY
60676 63348.87016 NadirTrace_XY
60676 63439.22384 NadirTrace_XY
60676 63529.57751 NadirTrace_XY
60676 63619.93119 NadirTrace_XY
60676 63710.28487 NadirTrace_XY
60676 63800.63855 NadirTrace_XY
60676 63890.99223 NadirTrace_XY
60676 63981.34590 NadirTrace_XY
60676 64071.69958 NadirTrace_XY
60676 64162.05326 NadirTrace_XY
60676 64252.40694 NadirTrace_XY
60676 64342.76061 NadirTrace_XY
60676 64433.11429 NadirTrace_XY
60676 64523.46797 NadirTrace_XY
60676 64613.82165 NadirTrace_XY
60676 64704.17533 NadirTrace_XY
60676 64794.52900 NadirTrace_XY
60676 64884.88268 NadirTrace_XY
60676 64975.23636 NadirTrace_XY
60676 65065.59004 NadirTrace_XY
60676 65155.94372 NadirTrace_XY
60676 65246.29739 NadirTrace_XY
60676 65336.65107 NadirTrace_XY
60676 65427.00475 NadirTrace_XY
60676 65517.35843 NadirTrace_XY
60676 65607.71210 NadirTrace_XY
60676 65698.06578 NadirTrace_XY
60676 65788.41946 NadirTrace_XY
60676 65878.77314 NadirTrace_XY
60676 65969.12682 NadirTrace_XY
60676 66059.48049 NadirTrace_XY
60676 66149.83417 NadirTrace_XY
60676 66240.18785 NadirTrace_XY
60676 66330.54153 NadirTrace_XY
60676 66420.89521 NadirTrace_XY
60676 66511.24888 NadirTrace_XY
60676 66601.60256 NadirTrace_XY
60676 66691.95624 NadirTrace_XY
60676 66782.30992 NadirTrace_XY
60676 66872.66359 NadirTrace_XY
60676 66963.01727 NadirTrace_XY
60676 67053.37095 NadirTrace_XY
60676 67143.72463 NadirTrace_XY
60676 67234.07831 NadirTrace_XY
60676 67324.43198 NadirTrace_XY
60676 67414.78566 NadirTrace_XY
60676 67505.13934 NadirTrace_XY
60676 67595.49302 NadirTrace_XY
60676 67685.84669 NadirTrace_XY
60676 67776.20037 NadirTrace_XY
60676 67866.55405 NadirTrace_XY
60676 67956.90773 NadirTrace_XY
60676 68047.26141 NadirTrace_XY
