CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-17T02:16:57.670
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

60676 43200.00000 0.772024 -0.000786 0.000927 -0.635593
60676 43290.35368 0.774113 -0.000782 0.000930 -0.633046
60676 43380.70736 0.776195 -0.000779 0.000932 -0.630492
60676 43471.06103 0.778268 -0.000776 0.000935 -0.627932
60676 43561.41471 0.780332 -0.000773 0.000937 -0.625364
60676 43651.76839 0.782388 -0.000770 0.000940 -0.622790
60676 43742.12207 0.784435 -0.000767 0.000942 -0.620210
60676 43832.47574 0.786474 -0.000764 0.000945 -0.617622
60676 43922.82942 0.788505 -0.000761 0.000947 -0.615028
60676 44013.18310 0.790526 -0.000758 0.000950 -0.612427
60676 44103.53678 0.792540 -0.000755 0.000952 -0.609819
60676 44193.89046 0.794544 -0.000751 0.000955 -0.607205
60676 44284.24413 0.796540 -0.000748 0.000957 -0.604584
60676 44374.59781 0.798528 -0.000745 0.000960 -0.601957
60676 44464.95149 0.800506 -0.000742 0.000962 -0.599323
60676 44555.30517 0.802476 -0.000739 0.000965 -0.596683
60676 44645.65885 0.804438 -0.000736 0.000967 -0.594036
60676 44736.01252 0.806390 -0.000732 0.000970 -0.591382
60676 44826.36620 0.808334 -0.000729 0.000972 -0.588723
60676 44916.71988 0.810269 -0.000726 0.000974 -0.586056
60676 45007.07356 0.812196 -0.000723 0.000977 -0.583384
60676 45097.42723 0.814113 -0.000720 0.000979 -0.580705
60676 45187.78091 0.816022 -0.000716 0.000981 -0.578020
60676 45278.13459 0.817921 -0.000713 0.000984 -0.575329
60676 45368.48827 0.819812 -0.000710 0.000986 -0.572631
60676 45458.84195 0.821694 -0.000707 0.000988 -0.569927
60676 45549.19562 0.823567 -0.000703 0.000991 -0.567217
60676 45639.54930 0.825432 -0.000700 0.000993 -0.564501
60676 45729.90298 0.827287 -0.000697 0.000995 -0.561779
60676 45820.25666 0.829133 -0.000694 0.000998 -0.559050
60676 45910.61034 0.830970 -0.000690 0.001000 -0.556316
60676 46000.96401 0.832798 -0.000687 0.001002 -0.553575
60676 46091.31769 0.834617 -0.000684 0.001005 -0.550829
60676 46181.67137 0.836428 -0.000680 0.001007 -0.548076
60676 46272.02505 0.838229 -0.000677 0.001009 -0.545318
60676 46362.37872 0.840020 -0.000674 0.001011 -0.542553
60676 46452.73240 0.841803 -0.000670 0.001013 -0.539783
60676 46543.08608 0.843577 -0.000667 0.001016 -0.537007
60676 46633.43976 0.845341 -0.000664 0.001018 -0.534225
60676 46723.79344 0.847097 -0.000660 0.001020 -0.531437
60676 46814.14711 0.848843 -0.000657 0.001022 -0.528644
60676 46904.50079 0.850580 -0.000654 0.001024 -0.525845
60676 46994.85447 0.852308 -0.000650 0.001026 -0.523040
60676 47085.20815 0.854026 -0.000647 0.001029 -0.520229
60676 47175.56182 0.855735 -0.000643 0.001031 -0.517413
60676 47265.91550 0.857435 -0.000640 0.001033 -0.514591
60676 47356.26918 0.859126 -0.000637 0.001035 -0.511763
60676 47446.62286 0.860807 -0.000633 0.001037 -0.508930
60676 47536.97654 0.862479 -0.000630 0.001039 -0.506092
60676 47627.33021 0.864141 -0.000626 0.001041 -0.503248
60676 47717.68389 0.865795 -0.000623 0.001043 -0.500398
60676 47808.03757 0.867438 -0.000619 0.001045 -0.497543
60676 47898.39125 0.869073 -0.000616 0.001047 -0.494683
60676 47988.74493 0.870698 -0.000613 0.001049 -0.491817
60676 48079.09860 0.872313 -0.000609 0.001051 -0.488946
60676 48169.45228 0.873919 -0.000606 0.001053 -0.486070
60676 48259.80596 0.875516 -0.000602 0.001055 -0.483188
60676 48350.15964 0.877103 -0.000599 0.001057 -0.480301
60676 48440.51331 0.878680 -0.000595 0.001059 -0.477409
60676 48530.86699 0.880248 -0.000592 0.001061 -0.474512
60676 48621.22067 0.881807 -0.000588 0.001063 -0.471610
60676 48711.57435 0.883355 -0.000585 0.001065 -0.468702
60676 48801.92803 0.884895 -0.000581 0.001067 -0.465789
60676 48892.28170 0.886424 -0.000578 0.001069 -0.462872
60676 48982.63538 0.887944 -0.000574 0.001071 -0.459949
60676 49072.98906 0.889455 -0.000571 0.001073 -0.457021
60676 49163.34274 0.890956 -0.000567 0.001075 -0.454089
60676 49253.69642 0.892447 -0.000564 0.001076 -0.451151
60676 49344.05009 0.893928 -0.000560 0.001078 -0.448209
60676 49434.40377 0.895400 -0.000556 0.001080 -0.445261
60676 49524.75745 0.896862 -0.000553 0.001082 -0.442309
60676 49615.11113 0.898314 -0.000549 0.001084 -0.439352
60676 49705.46480 0.899757 -0.000546 0.001086 -0.436390
60676 49795.81848 0.901189 -0.000542 0.001087 -0.433424
60676 49886.17216 0.902612 -0.000539 0.001089 -0.430453
60676 49976.52584 0.904025 -0.000535 0.001091 -0.427477
60676 50066.87952 0.905429 -0.000531 0.001093 -0.424496
60676 50157.23319 0.906822 -0.000528 0.001094 -0.421511
60676 50247.58687 0.908206 -0.000524 0.001096 -0.418522
60676 50337.94055 0.909580 -0.000521 0.001098 -0.415528
60676 50428.29423 0.910944 -0.000517 0.001100 -0.412529
60676 50518.64791 0.912298 -0.000513 0.001101 -0.409526
60676 50609.00158 0.913642 -0.000510 0.001103 -0.406518
60676 50699.35526 0.914976 -0.000506 0.001105 -0.403506
60676 50789.70894 0.916301 -0.000502 0.001106 -0.400489
60676 50880.06262 0.917615 -0.000499 0.001108 -0.397469
60676 50970.41629 0.918919 -0.000495 0.001110 -0.394444
60676 51060.76997 0.920214 -0.000491 0.001111 -0.391414
60676 51151.12365 0.921498 -0.000488 0.001113 -0.388381
60676 51241.47733 0.922773 -0.000484 0.001114 -0.385343
60676 51331.83101 0.924037 -0.000480 0.001116 -0.382301
60676 51422.18468 0.925292 -0.000477 0.001118 -0.379255
60676 51512.53836 0.926536 -0.000473 0.001119 -0.376204
60676 51602.89204 0.927770 -0.000469 0.001121 -0.373150
60676 51693.24572 0.928995 -0.000466 0.001122 -0.370091
