CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:54.180
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and Sun direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SUN_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 22.46098
60676 43290.35368 22.46143
60676 43380.70736 22.46255
60676 43471.06103 22.46427
60676 43561.41471 22.46653
60676 43651.76839 22.46920
60676 43742.12207 22.47218
60676 43832.47574 22.47533
60676 43922.82942 22.47851
60676 44013.18310 22.48156
60676 44103.53678 22.48436
60676 44193.89046 22.48678
60676 44284.24413 22.48871
60676 44374.59781 22.49007
60676 44464.95149 22.49078
60676 44555.30517 22.49082
60676 44645.65885 22.49017
60676 44736.01252 22.48886
60676 44826.36620 22.48694
60676 44916.71988 22.48448
60676 45007.07356 22.48159
60676 45097.42723 22.47838
60676 45187.78091 22.47498
60676 45278.13459 22.47153
60676 45368.48827 22.46816
60676 45458.84195 22.46500
60676 45549.19562 22.46219
60676 45639.54930 22.45983
60676 45729.90298 22.45801
60676 45820.25666 22.45682
60676 45910.61034 22.45628
60676 46000.96401 22.45642
60676 46091.31769 22.45723
60676 46181.67137 22.45869
60676 46272.02505 22.46072
60676 46362.37872 22.46326
60676 46452.73240 22.46620
60676 46543.08608 22.46943
60676 46633.43976 22.47282
60676 46723.79344 22.47622
60676 46814.14711 22.47952
60676 46904.50079 22.48258
60676 46994.85447 22.48527
60676 47085.20815 22.48748
60676 47175.56182 22.48912
60676 47265.91550 22.49012
60676 47356.26918 22.49043
60676 47446.62286 22.49004
60676 47536.97654 22.48897
60676 47627.33021 22.48724
60676 47717.68389 22.48494
60676 47808.03757 22.48216
60676 47898.39125 22.47901
60676 47988.74493 22.47564
60676 48079.09860 22.47218
60676 48169.45228 22.46879
60676 48259.80596 22.46562
60676 48350.15964 22.46281
60676 48440.51331 22.46047
60676 48530.86699 22.45871
60676 48621.22067 22.45761
60676 48711.57435 22.45720
60676 48801.92803 22.45750
60676 48892.28170 22.45848
60676 48982.63538 22.46010
60676 49072.98906 22.46228
60676 49163.34274 22.46491
60676 49253.69642 22.46787
60676 49344.05009 22.47102
60676 49434.40377 22.47423
60676 49524.75745 22.47734
60676 49615.11113 22.48023
60676 49705.46480 22.48276
60676 49795.81848 22.48481
60676 49886.17216 22.48630
60676 49976.52584 22.48716
60676 50066.87952 22.48736
60676 50157.23319 22.48687
60676 50247.58687 22.48571
60676 50337.94055 22.48393
60676 50428.29423 22.48160
60676 50518.64791 22.47880
60676 50609.00158 22.47566
60676 50699.35526 22.47229
60676 50789.70894 22.46883
60676 50880.06262 22.46542
60676 50970.41629 22.46219
60676 51060.76997 22.45928
60676 51151.12365 22.45679
60676 51241.47733 22.45483
60676 51331.83101 22.45347
60676 51422.18468 22.45277
60676 51512.53836 22.45275
60676 51602.89204 22.45342
60676 51693.24572 22.45474
60676 51783.59939 22.45667
60676 51873.95307 22.45912
60676 51964.30675 22.46199
60676 52054.66043 22.46518
60676 52145.01411 22.46856
60676 52235.36778 22.47198
60676 52325.72146 22.47532
60676 52416.07514 22.47844
60676 52506.42882 22.48121
60676 52596.78250 22.48353
60676 52687.13617 22.48530
