CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.598
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), station_visibility: 0=no 1=yes
COMMENT Kourou: lon = -52.640 deg, lat = 5.100 deg, alt = 94.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = GEOMETRICAL_VISIBILITY_GROUND_STATION_2
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 0
60676 43290.35368 0
60676 43380.70736 0
60676 43471.06103 0
60676 43561.41471 0
60676 43651.76839 0
60676 43742.12207 0
60676 43832.47574 0
60676 43922.82942 0
60676 44013.18310 0
60676 44103.53678 0
60676 44193.89046 0
60676 44284.24413 0
60676 44374.59781 0
60676 44464.95149 0
60676 44555.30517 0
60676 44645.65885 0
60676 44736.01252 0
60676 44826.36620 0
60676 44916.71988 0
60676 45007.07356 0
60676 45097.42723 0
60676 45187.78091 0
60676 45278.13459 0
60676 45368.48827 0
60676 45458.84195 0
60676 45549.19562 0
60676 45639.54930 0
60676 45729.90298 0
60676 45820.25666 0
60676 45910.61034 0
60676 46000.96401 0
60676 46091.31769 0
60676 46181.67137 0
60676 46272.02505 0
60676 46362.37872 0
60676 46452.73240 0
60676 46543.08608 0
60676 46633.43976 0
60676 46723.79344 1
60676 46814.14711 1
60676 46904.50079 1
60676 46994.85447 1
60676 47085.20815 1
60676 47175.56182 1
60676 47265.91550 1
60676 47356.26918 0
60676 47446.62286 0
60676 47536.97654 0
60676 47627.33021 0
60676 47717.68389 0
60676 47808.03757 0
60676 47898.39125 0
60676 47988.74493 0
60676 48079.09860 0
60676 48169.45228 0
60676 48259.80596 0
60676 48350.15964 0
60676 48440.51331 0
60676 48530.86699 0
60676 48621.22067 0
60676 48711.57435 0
60676 48801.92803 0
60676 48892.28170 0
60676 48982.63538 0
60676 49072.98906 0
60676 49163.34274 0
