CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.637
ORIGINATOR     = CNES

META_START

COMMENT Type of area (land/sea) at sub-satellite point
COMMENT days (MJD), sec (UTC), mesh_type: 1=sea 2=land 3=coast

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = MESH_TYPE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 1
60676 43290.35368 1
60676 43380.70736 1
60676 43471.06103 1
60676 43561.41471 2
60676 43651.76839 3
60676 43742.12207 2
60676 43832.47574 1
60676 43922.82942 3
60676 44013.18310 3
60676 44103.53678 1
60676 44193.89046 1
60676 44284.24413 1
60676 44374.59781 1
60676 44464.95149 1
60676 44555.30517 1
60676 44645.65885 1
60676 44736.01252 1
60676 44826.36620 1
60676 44916.71988 1
60676 45007.07356 1
60676 45097.42723 1
60676 45187.78091 1
60676 45278.13459 1
60676 45368.48827 1
60676 45458.84195 1
60676 45549.19562 1
60676 45639.54930 1
60676 45729.90298 1
60676 45820.25666 1
60676 45910.61034 1
60676 46000.96401 1
60676 46091.31769 1
60676 46181.67137 1
60676 46272.02505 1
60676 46362.37872 1
60676 46452.73240 1
60676 46543.08608 2
60676 46633.43976 2
60676 46723.79344 2
60676 46814.14711 2
60676 46904.50079 2
60676 46994.85447 3
60676 47085.20815 3
60676 47175.56182 1
60676 47265.91550 1
60676 47356.26918 1
60676 47446.62286 1
60676 47536.97654 1
60676 47627.33021 1
60676 47717.68389 1
60676 47808.03757 1
60676 47898.39125 1
60676 47988.74493 3
60676 48079.09860 2
60676 48169.45228 2
60676 48259.80596 2
60676 48350.15964 2
60676 48440.51331 2
60676 48530.86699 3
60676 48621.22067 1
60676 48711.57435 1
60676 48801.92803 1
60676 48892.28170 1
60676 48982.63538 1
60676 49072.98906 1
60676 49163.34274 1
60676 49253.69642 1
60676 49344.05009 1
60676 49434.40377 3
60676 49524.75745 1
60676 49615.11113 2
60676 49705.46480 2
60676 49795.81848 3
60676 49886.17216 3
60676 49976.52584 1
60676 50066.87952 1
60676 50157.23319 1
60676 50247.58687 1
60676 50337.94055 1
60676 50428.29423 1
60676 50518.64791 1
60676 50609.00158 1
60676 50699.35526 1
60676 50789.70894 1
60676 50880.06262 1
60676 50970.41629 1
60676 51060.76997 1
60676 51151.12365 1
60676 51241.47733 1
60676 51331.83101 1
60676 51422.18468 1
60676 51512.53836 1
60676 51602.89204 1
60676 51693.24572 1
60676 51783.59939 1
60676 51873.95307 1
60676 51964.30675 1
60676 52054.66043 1
60676 52145.01411 1
60676 52235.36778 1
60676 52325.72146 1
60676 52416.07514 1
60676 52506.42882 2
60676 52596.78250 2
60676 52687.13617 2
60676 52777.48985 2
60676 52867.84353 2
60676 52958.19721 3
60676 53048.55088 1
60676 53138.90456 1
60676 53229.25824 1
60676 53319.61192 1
60676 53409.96560 1
60676 53500.31927 1
60676 53590.67295 1
60676 53681.02663 1
60676 53771.38031 1
60676 53861.73399 3
60676 53952.08766 2
60676 54042.44134 2
60676 54132.79502 2
60676 54223.14870 3
60676 54313.50237 2
60676 54403.85605 2
60676 54494.20973 1
60676 54584.56341 1
60676 54674.91709 1
60676 54765.27076 1
60676 54855.62444 1
60676 54945.97812 1
60676 55036.33180 1
60676 55126.68547 1
60676 55217.03915 1
60676 55307.39283 3
60676 55397.74651 3
60676 55488.10019 3
60676 55578.45386 2
60676 55668.80754 3
60676 55759.16122 1
60676 55849.51490 1
60676 55939.86858 1
60676 56030.22225 1
60676 56120.57593 1
60676 56210.92961 1
60676 56301.28329 1
60676 56391.63696 1
60676 56481.99064 1
60676 56572.34432 3
60676 56662.69800 1
60676 56753.05168 1
60676 56843.40535 1
60676 56933.75903 1
60676 57024.11271 1
60676 57114.46639 1
60676 57204.82007 1
60676 57295.17374 1
60676 57385.52742 1
60676 57475.88110 1
60676 57566.23478 1
60676 57656.58845 1
60676 57746.94213 1
60676 57837.29581 1
60676 57927.64949 1
60676 58018.00317 1
60676 58108.35684 1
60676 58198.71052 3
60676 58289.06420 1
60676 58379.41788 2
60676 58469.77156 2
60676 58560.12523 2
60676 58650.47891 2
60676 58740.83259 2
60676 58831.18627 2
60676 58921.53994 1
60676 59011.89362 1
60676 59102.24730 1
60676 59192.60098 1
60676 59282.95466 1
60676 59373.30833 1
60676 59463.66201 1
60676 59554.01569 1
60676 59644.36937 1
60676 59734.72304 1
60676 59825.07672 3
60676 59915.43040 2
60676 60005.78408 2
60676 60096.13776 2
60676 60186.49143 3
60676 60276.84511 2
60676 60367.19879 1
60676 60457.55247 1
60676 60547.90615 1
60676 60638.25982 1
60676 60728.61350 1
60676 60818.96718 1
60676 60909.32086 1
60676 60999.67453 1
60676 61090.02821 1
60676 61180.38189 1
60676 61270.73557 2
60676 61361.08925 1
60676 61451.44292 2
60676 61541.79660 2
60676 61632.15028 3
60676 61722.50396 3
60676 61812.85764 1
60676 61903.21131 1
60676 61993.56499 1
60676 62083.91867 1
60676 62174.27235 1
60676 62264.62602 1
60676 62354.97970 1
60676 62445.33338 1
60676 62535.68706 1
60676 62626.04074 1
60676 62716.39441 1
60676 62806.74809 1
60676 62897.10177 1
60676 62987.45545 1
60676 63077.80912 1
60676 63168.16280 1
60676 63258.51648 1
60676 63348.87016 1
60676 63439.22384 1
60676 63529.57751 1
60676 63619.93119 1
60676 63710.28487 1
60676 63800.63855 1
60676 63890.99223 1
60676 63981.34590 1
60676 64071.69958 1
60676 64162.05326 1
60676 64252.40694 1
60676 64342.76061 2
60676 64433.11429 2
60676 64523.46797 2
60676 64613.82165 2
60676 64704.17533 2
60676 64794.52900 3
60676 64884.88268 1
60676 64975.23636 1
60676 65065.59004 1
60676 65155.94372 1
60676 65246.29739 1
60676 65336.65107 1
60676 65427.00475 1
60676 65517.35843 1
60676 65607.71210 1
60676 65698.06578 1
60676 65788.41946 2
60676 65878.77314 2
60676 65969.12682 2
60676 66059.48049 2
60676 66149.83417 2
60676 66240.18785 2
60676 66330.54153 1
60676 66420.89521 1
60676 66511.24888 1
60676 66601.60256 1
60676 66691.95624 1
60676 66782.30992 1
60676 66872.66359 1
60676 66963.01727 1
60676 67053.37095 1
60676 67143.72463 3
60676 67234.07831 3
60676 67324.43198 1
60676 67414.78566 2
60676 67505.13934 1
60676 67595.49302 1
60676 67685.84669 3
60676 67776.20037 1
60676 67866.55405 1
60676 67956.90773 1
60676 68047.26141 1
60676 68137.61508 1
60676 68227.96876 1
60676 68318.32244 3
60676 68408.67612 1
60676 68499.02980 1
60676 68589.38347 1
60676 68679.73715 1
60676 68770.09083 1
60676 68860.44451 1
60676 68950.79818 1
60676 69041.15186 1
60676 69131.50554 1
60676 69221.85922 1
60676 69312.21290 1
60676 69402.56657 1
60676 69492.92025 1
60676 69583.27393 1
60676 69673.62761 1
60676 69763.98129 1
60676 69854.33496 1
60676 69944.68864 1
60676 70035.04232 3
60676 70125.39600 1
60676 70215.74967 2
60676 70306.10335 2
60676 70396.45703 2
60676 70486.81071 2
60676 70577.16439 2
60676 70667.51806 3
60676 70757.87174 1
60676 70848.22542 1
60676 70938.57910 1
60676 71028.93277 1
60676 71119.28645 1
60676 71209.64013 1
60676 71299.99381 1
60676 71390.34749 1
60676 71480.70116 1
60676 71571.05484 3
60676 71661.40852 2
60676 71751.76220 2
60676 71842.11588 2
60676 71932.46955 2
60676 72022.82323 2
60676 72113.17691 2
60676 72203.53059 1
60676 72293.88426 1
60676 72384.23794 1
60676 72474.59162 1
60676 72564.94530 1
60676 72655.29898 1
60676 72745.65265 1
60676 72836.00633 1
60676 72926.36001 1
60676 73016.71369 1
60676 73107.06737 3
60676 73197.42104 3
60676 73287.77472 2
60676 73378.12840 2
60676 73468.48208 1
60676 73558.83575 1
60676 73649.18943 3
60676 73739.54311 1
60676 73829.89679 1
60676 73920.25047 1
60676 74010.60414 1
60676 74100.95782 1
60676 74191.31150 1
60676 74281.66518 1
60676 74372.01886 1
60676 74462.37253 1
60676 74552.72621 1
60676 74643.07989 1
60676 74733.43357 1
60676 74823.78724 1
60676 74914.14092 1
60676 75004.49460 1
60676 75094.84828 1
60676 75185.20196 1
60676 75275.55563 1
60676 75365.90931 1
60676 75456.26299 1
60676 75546.61667 1
60676 75636.97034 1
60676 75727.32402 1
60676 75817.67770 1
60676 75908.03138 1
60676 75998.38506 1
60676 76088.73873 1
60676 76179.09241 2
60676 76269.44609 2
60676 76359.79977 2
60676 76450.15345 2
60676 76540.50712 2
60676 76630.86080 1
60676 76721.21448 1
60676 76811.56816 1
60676 76901.92183 1
60676 76992.27551 1
60676 77082.62919 1
60676 77172.98287 1
60676 77263.33655 1
60676 77353.69022 1
60676 77444.04390 1
60676 77534.39758 3
60676 77624.75126 2
60676 77715.10494 2
60676 77805.45861 2
60676 77895.81229 3
60676 77986.16597 2
60676 78076.51965 3
60676 78166.87332 1
60676 78257.22700 1
60676 78347.58068 1
60676 78437.93436 1
60676 78528.28804 1
60676 78618.64171 1
60676 78708.99539 1
60676 78799.34907 1
60676 78889.70275 1
60676 78980.05642 1
60676 79070.41010 2
60676 79160.76378 3
60676 79251.11746 2
60676 79341.47114 3
60676 79431.82481 3
60676 79522.17849 3
60676 79612.53217 3
60676 79702.88585 1
60676 79793.23953 1
60676 79883.59320 1
60676 79973.94688 1
60676 80064.30056 1
60676 80154.65424 1
60676 80245.00791 1
60676 80335.36159 1
60676 80425.71527 1
60676 80516.06895 1
60676 80606.42263 1
60676 80696.77630 1
60676 80787.12998 1
60676 80877.48366 1
60676 80967.83734 1
60676 81058.19102 1
60676 81148.54469 1
60676 81238.89837 1
60676 81329.25205 1
60676 81419.60573 1
60676 81509.95940 1
60676 81600.31308 1
60676 81690.66676 1
60676 81781.02044 1
60676 81871.37412 1
60676 81961.72779 1
60676 82052.08147 2
60676 82142.43515 2
60676 82232.78883 2
60676 82323.14251 2
60676 82413.49618 2
60676 82503.84986 1
60676 82594.20354 1
60676 82684.55722 1
60676 82774.91089 1
60676 82865.26457 1
60676 82955.61825 1
60676 83045.97193 1
60676 83136.32561 1
60676 83226.67928 1
60676 83317.03296 1
60676 83407.38664 1
60676 83497.74032 2
60676 83588.09399 2
60676 83678.44767 2
60676 83768.80135 2
60676 83859.15503 2
60676 83949.50871 2
60676 84039.86238 1
60676 84130.21606 1
60676 84220.56974 1
60676 84310.92342 1
60676 84401.27710 1
60676 84491.63077 1
60676 84581.98445 1
60676 84672.33813 1
60676 84762.69181 1
60676 84853.04548 1
60676 84943.39916 3
60676 85033.75284 3
60676 85124.10652 1
60676 85214.46020 2
60676 85304.81387 3
60676 85395.16755 1
60676 85485.52123 3
60676 85575.87491 3
60676 85666.22859 1
60676 85756.58226 1
60676 85846.93594 1
60676 85937.28962 1
60676 86027.64330 1
60676 86117.99697 1
60676 86208.35065 1
60676 86298.70433 1
60676 86389.05801 1
60677 79.41169 1
60677 169.76536 1
60677 260.11904 1
60677 350.47272 1
60677 440.82640 1
60677 531.18007 1
60677 621.53375 1
60677 711.88743 1
60677 802.24111 1
60677 892.59479 1
60677 982.94846 1
60677 1073.30214 1
60677 1163.65582 1
60677 1254.00950 1
60677 1344.36318 3
60677 1434.71685 1
60677 1525.07053 2
60677 1615.42421 2
60677 1705.77789 2
60677 1796.13156 2
60677 1886.48524 2
60677 1976.83892 2
60677 2067.19260 1
60677 2157.54628 1
60677 2247.89995 1
60677 2338.25363 1
60677 2428.60731 1
60677 2518.96099 1
60677 2609.31467 1
60677 2699.66834 1
60677 2790.02202 1
60677 2880.37570 1
60677 2970.72938 3
60677 3061.08305 2
60677 3151.43673 2
60677 3241.79041 2
60677 3332.14409 2
60677 3422.49777 2
60677 3512.85144 2
60677 3603.20512 1
60677 3693.55880 1
60677 3783.91248 1
60677 3874.26616 1
60677 3964.61983 1
60677 4054.97351 1
60677 4145.32719 1
60677 4235.68087 1
60677 4326.03454 1
60677 4416.38822 1
60677 4506.74190 3
60677 4597.09558 1
60677 4687.44926 2
60677 4777.80293 3
60677 4868.15661 3
60677 4958.51029 1
60677 5048.86397 3
60677 5139.21764 1
60677 5229.57132 1
60677 5319.92500 1
60677 5410.27868 1
60677 5500.63236 1
60677 5590.98603 1
60677 5681.33971 1
60677 5771.69339 1
60677 5862.04707 1
60677 5952.40075 1
60677 6042.75442 1
60677 6133.10810 1
60677 6223.46178 1
60677 6313.81546 1
60677 6404.16913 1
60677 6494.52281 1
60677 6584.87649 1
60677 6675.23017 1
60677 6765.58385 1
60677 6855.93752 1
60677 6946.29120 1
60677 7036.64488 1
60677 7126.99856 1
60677 7217.35224 1
60677 7307.70591 1
60677 7398.05959 1
60677 7488.41327 2
60677 7578.76695 2
60677 7669.12062 2
60677 7759.47430 2
60677 7849.82798 2
60677 7940.18166 1
60677 8030.53534 1
60677 8120.88901 1
60677 8211.24269 1
60677 8301.59637 1
60677 8391.95005 1
60677 8482.30372 1
60677 8572.65740 1
60677 8663.01108 1
60677 8753.36476 1
60677 8843.71844 3
60677 8934.07211 2
60677 9024.42579 2
60677 9114.77947 2
60677 9205.13315 2
60677 9295.48683 3
60677 9385.84050 2
60677 9476.19418 1
60677 9566.54786 1
60677 9656.90154 1
60677 9747.25521 1
60677 9837.60889 1
60677 9927.96257 1
60677 10018.31625 1
60677 10108.66993 1
60677 10199.02360 1
60677 10289.37728 1
60677 10379.73096 1
60677 10470.08464 2
60677 10560.43832 1
60677 10650.79199 2
60677 10741.14567 1
60677 10831.49935 1
60677 10921.85303 3
60677 11012.20670 1
60677 11102.56038 1
60677 11192.91406 1
60677 11283.26774 1
60677 11373.62142 1
60677 11463.97509 1
60677 11554.32877 1
60677 11644.68245 1
60677 11735.03613 1
60677 11825.38981 1
60677 11915.74348 1
60677 12006.09716 1
60677 12096.45084 1
60677 12186.80452 1
60677 12277.15819 1
60677 12367.51187 1
60677 12457.86555 1
60677 12548.21923 1
60677 12638.57291 1
60677 12728.92658 1
60677 12819.28026 1
60677 12909.63394 1
60677 12999.98762 1
60677 13090.34129 1
60677 13180.69497 1
60677 13271.04865 1
60677 13361.40233 2
60677 13451.75601 2
60677 13542.10968 2
60677 13632.46336 2
60677 13722.81704 2
60677 13813.17072 3
60677 13903.52440 1
60677 13993.87807 1
60677 14084.23175 1
60677 14174.58543 1
60677 14264.93911 1
60677 14355.29278 1
60677 14445.64646 1
60677 14536.00014 1
60677 14626.35382 1
60677 14716.70750 1
60677 14807.06117 1
60677 14897.41485 2
60677 14987.76853 2
60677 15078.12221 2
60677 15168.47589 3
60677 15258.82956 3
60677 15349.18324 2
60677 15439.53692 1
60677 15529.89060 1
60677 15620.24427 1
