CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:53.712
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), orbit number

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ORBIT_NUMBER
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 1
60676 43290.35368 1
60676 43380.70736 1
60676 43471.06103 1
60676 43561.41471 1
60676 43651.76839 1
60676 43742.12207 1
60676 43832.47574 1
60676 43922.82942 1
60676 44013.18310 1
60676 44103.53678 1
60676 44193.89046 1
60676 44284.24413 1
60676 44374.59781 1
60676 44464.95149 1
60676 44555.30517 1
60676 44645.65885 1
60676 44736.01252 1
60676 44826.36620 1
60676 44916.71988 1
60676 45007.07356 1
60676 45097.42723 1
60676 45187.78091 1
60676 45278.13459 1
60676 45368.48827 1
60676 45458.84195 1
60676 45549.19562 1
60676 45639.54930 1
60676 45729.90298 1
60676 45820.25666 1
60676 45910.61034 1
60676 46000.96401 1
60676 46091.31769 1
60676 46181.67137 1
60676 46272.02505 1
60676 46362.37872 1
60676 46452.73240 1
60676 46543.08608 1
60676 46633.43976 1
60676 46723.79344 1
60676 46814.14711 1
60676 46904.50079 1
60676 46994.85447 1
60676 47085.20815 1
60676 47175.56182 1
60676 47265.91550 1
60676 47356.26918 1
60676 47446.62286 1
60676 47536.97654 1
60676 47627.33021 1
60676 47717.68389 1
60676 47808.03757 1
60676 47898.39125 1
60676 47988.74493 1
60676 48079.09860 1
60676 48169.45228 1
60676 48259.80596 1
60676 48350.15964 1
60676 48440.51331 1
60676 48530.86699 2
60676 48621.22067 2
60676 48711.57435 2
60676 48801.92803 2
60676 48892.28170 2
60676 48982.63538 2
60676 49072.98906 2
60676 49163.34274 2
60676 49253.69642 2
60676 49344.05009 2
60676 49434.40377 2
60676 49524.75745 2
60676 49615.11113 2
60676 49705.46480 2
60676 49795.81848 2
60676 49886.17216 2
60676 49976.52584 2
60676 50066.87952 2
60676 50157.23319 2
60676 50247.58687 2
60676 50337.94055 2
60676 50428.29423 2
60676 50518.64791 2
60676 50609.00158 2
60676 50699.35526 2
60676 50789.70894 2
60676 50880.06262 2
60676 50970.41629 2
60676 51060.76997 2
60676 51151.12365 2
60676 51241.47733 2
60676 51331.83101 2
60676 51422.18468 2
60676 51512.53836 2
60676 51602.89204 2
60676 51693.24572 2
60676 51783.59939 2
60676 51873.95307 2
60676 51964.30675 2
60676 52054.66043 2
60676 52145.01411 2
60676 52235.36778 2
60676 52325.72146 2
60676 52416.07514 2
60676 52506.42882 2
60676 52596.78250 2
60676 52687.13617 2
60676 52777.48985 2
60676 52867.84353 2
60676 52958.19721 2
60676 53048.55088 2
60676 53138.90456 2
60676 53229.25824 2
60676 53319.61192 2
60676 53409.96560 2
60676 53500.31927 2
60676 53590.67295 2
60676 53681.02663 2
60676 53771.38031 2
60676 53861.73399 2
60676 53952.08766 2
60676 54042.44134 3
60676 54132.79502 3
60676 54223.14870 3
60676 54313.50237 3
60676 54403.85605 3
60676 54494.20973 3
60676 54584.56341 3
60676 54674.91709 3
60676 54765.27076 3
60676 54855.62444 3
60676 54945.97812 3
60676 55036.33180 3
60676 55126.68547 3
60676 55217.03915 3
60676 55307.39283 3
60676 55397.74651 3
60676 55488.10019 3
60676 55578.45386 3
60676 55668.80754 3
60676 55759.16122 3
60676 55849.51490 3
60676 55939.86858 3
60676 56030.22225 3
60676 56120.57593 3
60676 56210.92961 3
60676 56301.28329 3
60676 56391.63696 3
60676 56481.99064 3
60676 56572.34432 3
60676 56662.69800 3
60676 56753.05168 3
60676 56843.40535 3
60676 56933.75903 3
60676 57024.11271 3
60676 57114.46639 3
60676 57204.82007 3
60676 57295.17374 3
60676 57385.52742 3
60676 57475.88110 3
60676 57566.23478 3
60676 57656.58845 3
60676 57746.94213 3
60676 57837.29581 3
60676 57927.64949 3
60676 58018.00317 3
60676 58108.35684 3
60676 58198.71052 3
60676 58289.06420 3
60676 58379.41788 3
60676 58469.77156 3
60676 58560.12523 3
60676 58650.47891 3
60676 58740.83259 3
60676 58831.18627 3
60676 58921.53994 3
60676 59011.89362 3
60676 59102.24730 3
60676 59192.60098 3
60676 59282.95466 3
60676 59373.30833 3
60676 59463.66201 3
60676 59554.01569 3
60676 59644.36937 4
60676 59734.72304 4
60676 59825.07672 4
60676 59915.43040 4
60676 60005.78408 4
60676 60096.13776 4
60676 60186.49143 4
