CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-17T02:46:54.300
ORIGINATOR     = CNES

META_START

COMMENT Solar array rotation angle from reference direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868

META_STOP

60676 43200.00000 168.10637
60676 43290.35368 174.20093
60676 43380.70736 -179.70695
60676 43471.06103 -173.61969
60676 43561.41471 -167.53962
60676 43651.76839 -161.46900
60676 43742.12207 -155.40998
60676 43832.47574 -149.36455
60676 43922.82942 -143.33453
60676 44013.18310 -137.32158
60676 44103.53678 -131.32712
60676 44193.89046 -125.35239
60676 44284.24413 -119.39837
60676 44374.59781 -113.46583
60676 44464.95149 -107.55529
60676 44555.30517 -101.66703
60676 44645.65885 -95.80109
60676 44736.01252 -89.95728
60676 44826.36620 -84.13519
60676 44916.71988 -78.33417
60676 45007.07356 -72.55339
60676 45097.42723 -66.79181
60676 45187.78091 -61.04820
60676 45278.13459 -55.32118
60676 45368.48827 -49.60920
60676 45458.84195 -43.91058
60676 45549.19562 -38.22354
60676 45639.54930 -32.54616
60676 45729.90298 -26.87647
60676 45820.25666 -21.21242
60676 45910.61034 -15.55192
60676 46000.96401 -9.89283
60676 46091.31769 -4.23303
60676 46181.67137 1.42962
60676 46272.02505 7.09721
60676 46362.37872 12.77182
60676 46452.73240 18.45544
60676 46543.08608 24.14999
60676 46633.43976 29.85730
60676 46723.79344 35.57909
60676 46814.14711 41.31692
60676 46904.50079 47.07225
60676 46994.85447 52.84634
60676 47085.20815 58.64029
60676 47175.56182 64.45502
60676 47265.91550 70.29122
60676 47356.26918 76.14940
60676 47446.62286 82.02981
60676 47536.97654 87.93251
60676 47627.33021 93.85728
60676 47717.68389 99.80370
60676 47808.03757 105.77110
60676 47898.39125 111.75856
60676 47988.74493 117.76494
60676 48079.09860 123.78890
60676 48169.45228 129.82885
60676 48259.80596 135.88305
60676 48350.15964 141.94956
60676 48440.51331 148.02629
60676 48530.86699 154.11105
60676 48621.22067 160.20151
60676 48711.57435 166.29529
60676 48801.92803 172.38996
60676 48892.28170 178.48309
60676 48982.63538 -175.42775
60676 49072.98906 -169.34493
60676 49163.34274 -163.27073
60676 49253.69642 -157.20735
60676 49344.05009 -151.15683
60676 49434.40377 -145.12107
60676 49524.75745 -139.10177
60676 49615.11113 -133.10047
60676 49705.46480 -127.11845
60676 49795.81848 -121.15680
60676 49886.17216 -115.21636
60676 49976.52584 -109.29775
60676 50066.87952 -103.40134
60676 50157.23319 -97.52724
60676 50247.58687 -91.67536
60676 50337.94055 -85.84537
60676 50428.29423 -80.03670
60676 50518.64791 -74.24858
60676 50609.00158 -68.48006
60676 50699.35526 -62.72996
60676 50789.70894 -56.99697
60676 50880.06262 -51.27958
60676 50970.41629 -45.57618
60676 51060.76997 -39.88501
60676 51151.12365 -34.20420
60676 51241.47733 -28.53181
60676 51331.83101 -22.86580
60676 51422.18468 -17.20411
60676 51512.53836 -11.54460
60676 51602.89204 -5.88515
60676 51693.24572 -0.22363
60676 51783.59939 5.44208
60676 51873.95307 11.11405
60676 51964.30675 16.79432
60676 52054.66043 22.48482
60676 52145.01411 28.18742
60676 52235.36778 33.90387
60676 52325.72146 39.63580
60676 52416.07514 45.38470
60676 52506.42882 51.15190
60676 52596.78250 56.93856
60676 52687.13617 62.74566
60676 52777.48985 68.57399
60676 52867.84353 74.42410
60676 52958.19721 80.29636
60676 53048.55088 86.19089
60676 53138.90456 92.10757
60676 53229.25824 98.04607
60676 53319.61192 104.00580
60676 53409.96560 109.98595
60676 53500.31927 115.98545
60676 53590.67295 122.00304
60676 53681.02663 128.03721
60676 53771.38031 134.08630
60676 53861.73399 140.14842
60676 53952.08766 146.22155
60676 54042.44134 152.30352
60676 54132.79502 158.39206
60676 54223.14870 164.48479
60676 54313.50237 170.57932
60676 54403.85605 176.67319
60676 54494.20973 -177.23601
60676 54584.56341 -171.15069
60676 54674.91709 -165.07317
60676 54765.27076 -159.00567
60676 54855.62444 -152.95029
60676 54945.97812 -146.90900
60676 55036.33180 -140.88357
60676 55126.68547 -134.87560
60676 55217.03915 -128.88646
60676 55307.39283 -122.91731
60676 55397.74651 -116.96910
60676 55488.10019 -111.04252
60676 55578.45386 -105.13803
60676 55668.80754 -99.25583
60676 55759.16122 -93.39591
60676 55849.51490 -87.55802
60676 55939.86858 -81.74168
60676 56030.22225 -75.94620
60676 56120.57593 -70.17067
60676 56210.92961 -64.41400
60676 56301.28329 -58.67493
60676 56391.63696 -52.95202
60676 56481.99064 -47.24369
60676 56572.34432 -41.54823
60676 56662.69800 -35.86382
60676 56753.05168 -30.18854
60676 56843.40535 -24.52037
60676 56933.75903 -18.85727
60676 57024.11271 -13.19713
60676 57114.46639 -7.53781
60676 57204.82007 -1.87719
60676 57295.17374 3.78685
60676 57385.52742 9.45642
60676 57475.88110 15.13355
60676 57566.23478 20.82022
60676 57656.58845 26.51832
60676 57746.94213 32.22965
60676 57837.29581 37.95587
60676 57927.64949 43.69854
60676 58018.00317 49.45903
60676 58108.35684 55.23856
60676 58198.71052 61.03820
60676 58289.06420 66.85877
60676 58379.41788 72.70094
60676 58469.77156 78.56513
60676 58560.12523 84.45155
60676 58650.47891 90.36018
60676 58740.83259 96.29076
60676 58831.18627 102.24279
60676 58921.53994 108.21555
60676 59011.89362 114.20807
60676 59102.24730 120.21915
60676 59192.60098 126.24739
60676 59282.95466 132.29117
60676 59373.30833 138.34869
60676 59463.66201 144.41798
60676 59554.01569 150.49692
60676 59644.36937 156.58327
60676 59734.72304 162.67470
60676 59825.07672 168.76881
60676 59915.43040 174.86316
60676 60005.78408 -179.04467
60676 60096.13776 -172.95711
60676 60186.49143 -166.87650
60676 60276.84511 -160.80511
60676 60367.19879 -154.74509
60676 60457.55247 -148.69846
60676 60547.90615 -142.66706
60676 60638.25982 -136.65256
60676 60728.61350 -130.65642
60676 60818.96718 -124.67989
60676 60909.32086 -118.72398
60676 60999.67453 -112.78948
60676 61090.02821 -106.87693
60676 61180.38189 -100.98665
60676 61270.73557 -95.11868
60676 61361.08925 -89.27287
60676 61451.44292 -83.44882
60676 61541.79660 -77.64589
60676 61632.15028 -71.86328
60676 61722.50396 -66.09995
60676 61812.85764 -60.35469
60676 61903.21131 -54.62613
60676 61993.56499 -48.91274
60676 62083.91867 -43.21284
60676 62174.27235 -37.52466
60676 62264.62602 -31.84631
60676 62354.97970 -26.17580
60676 62445.33338 -20.51110
60676 62535.68706 -14.85012
60676 62626.04074 -9.19073
60676 62716.39441 -3.53081
60676 62806.74809 2.13178
60676 62897.10177 7.79913
60676 62987.45545 13.47332
60676 63077.80912 19.15635
60676 63168.16280 24.85013
60676 63258.51648 30.55650
60676 63348.87016 36.27718
60676 63439.22384 42.01376
60676 63529.57751 47.76767
60676 63619.93119 53.54021
60676 63710.28487 59.33248
60676 63800.63855 65.14540
60676 63890.99223 70.97970
60676 63981.34590 76.83588
60676 64071.69958 82.71423
60676 64162.05326 88.61483
60676 64252.40694 94.53748
60676 64342.76061 100.48178
60676 64433.11429 106.44709
60676 64523.46797 112.43253
60676 64613.82165 118.43700
60676 64704.17533 124.45915
60676 64794.52900 130.49745
60676 64884.88268 136.55017
60676 64975.23636 142.61540
60676 65065.59004 148.69107
60676 65155.94372 154.77499
60676 65246.29739 160.86485
60676 65336.65107 166.95828
60676 65427.00475 173.05286
60676 65517.35843 179.14613
60676 65607.71210 -174.76431
60676 65698.06578 -168.68086
60676 65788.41946 -162.60581
60676 65878.77314 -156.54137
60676 65969.12682 -150.48959
60676 66059.48049 -144.45240
60676 66149.83417 -138.43152
60676 66240.18785 -132.42850
60676 66330.54153 -126.44466
60676 66420.89521 -120.48111
60676 66511.24888 -114.53872
60676 66601.60256 -108.61813
60676 66691.95624 -102.71972
60676 66782.30992 -96.84366
60676 66872.66359 -90.98985
60676 66963.01727 -85.15799
60676 67053.37095 -79.34752
60676 67143.72463 -73.55770
60676 67234.07831 -67.78757
60676 67324.43198 -62.03598
60676 67414.78566 -56.30162
60676 67505.13934 -50.58300
60676 67595.49302 -44.87850
60676 67685.84669 -39.18637
60676 67776.20037 -33.50476
60676 67866.55405 -27.83173
60676 67956.90773 -22.16524
60676 68047.26141 -16.50322
60676 68137.61508 -10.84357
60676 68227.96876 -5.18414
60676 68318.32244 0.47718
60676 68408.67612 6.14253
60676 68499.02980 11.81396
60676 68589.38347 17.49352
60676 68679.73715 23.18315
60676 68770.09083 28.88472
60676 68860.44451 34.59999
60676 68950.79818 40.33060
60676 69041.15186 46.07804
60676 69131.50554 51.84367
60676 69221.85922 57.62864
60676 69312.21290 63.43396
60676 69402.56657 69.26042
60676 69492.92025 75.10861
60676 69583.27393 80.97889
60676 69673.62761 86.87141
60676 69763.98129 92.78609
60676 69854.33496 98.72260
60676 69944.68864 104.68038
60676 70035.04232 110.65864
60676 70125.39600 116.65636
60676 70215.74967 122.67227
60676 70306.10335 128.70492
60676 70396.45703 134.75265
60676 70486.81071 140.81360
60676 70577.16439 146.88578
60676 70667.51806 152.96702
60676 70757.87174 159.05507
60676 70848.22542 165.14757
60676 70938.57910 171.24211
60676 71028.93277 177.33624
60676 71119.28645 -176.57246
60676 71209.64013 -170.48640
60676 71299.99381 -164.40792
60676 71390.34749 -158.33925
60676 71480.70116 -152.28252
60676 71571.05484 -146.23969
60676 71661.40852 -140.21259
60676 71751.76220 -134.20280
60676 71842.11588 -128.21175
60676 71932.46955 -122.24063
60676 72022.82323 -116.29039
60676 72113.17691 -110.36175
60676 72203.53059 -104.45520
60676 72293.88426 -98.57098
60676 72384.23794 -92.70909
60676 72474.59162 -86.86929
60676 72564.94530 -81.05114
60676 72655.29898 -75.25396
60676 72745.65265 -69.47685
60676 72836.00633 -63.71874
60676 72926.36001 -57.97837
60676 73016.71369 -52.25431
60676 73107.06737 -46.54499
60676 73197.42104 -40.84871
60676 73287.77472 -35.16364
60676 73378.12840 -29.48785
60676 73468.48208 -23.81936
60676 73558.83575 -18.15610
60676 73649.18943 -12.49597
60676 73739.54311 -6.83684
60676 73829.89679 -1.17658
60676 73920.25047 4.48695
60676 74010.60414 10.15582
60676 74100.95782 15.83209
60676 74191.31150 21.51774
60676 74281.66518 27.21467
60676 74372.01886 32.92467
60676 74462.37253 38.64944
60676 74552.72621 44.39051
60676 74643.07989 50.14930
60676 74733.43357 55.92703
60676 74823.78724 61.72478
60676 74914.14092 67.54341
60676 75004.49460 73.38358
60676 75094.84828 79.24574
60676 75185.20196 85.13013
60676 75275.55563 91.03675
60676 75365.90931 96.96535
60676 75456.26299 102.91547
60676 75546.61667 108.88640
60676 75636.97034 114.87719
60676 75727.32402 120.88667
60676 75817.67770 126.91347
60676 75908.03138 132.95598
60676 75998.38506 139.01243
60676 76088.73873 145.08086
60676 76179.09241 151.15918
60676 76269.44609 157.24515
60676 76359.79977 163.33645
60676 76450.15345 169.43069
60676 76540.50712 175.52543
60676 76630.86080 -178.38178
60676 76721.21448 -172.29334
60676 76811.56816 -166.21164
60676 76901.92183 -160.13894
60676 76992.27551 -154.07743
60676 77082.62919 -148.02913
60676 77172.98287 -141.99592
60676 77263.33655 -135.97949
60676 77353.69022 -129.98131
60676 77444.04390 -124.00268
60676 77534.39758 -118.04461
60676 77624.75126 -112.10794
60676 77715.10494 -106.19322
60676 77805.45861 -100.30079
60676 77895.81229 -94.43073
60676 77986.16597 -88.58290
60676 78076.51965 -82.75693
60676 78166.87332 -76.95220
60676 78257.22700 -71.16792
60676 78347.58068 -65.40307
60676 78437.93436 -59.65646
60676 78528.28804 -53.92673
60676 78618.64171 -48.21233
60676 78708.99539 -42.51163
60676 78799.34907 -36.82283
60676 78889.70275 -31.14404
60676 78980.05642 -25.47329
60676 79070.41010 -19.80854
60676 79160.76378 -14.14769
60676 79251.11746 -8.48862
60676 79341.47114 -2.82920
60676 79431.82481 2.83271
60676 79522.17849 8.49923
60676 79612.53217 14.17240
60676 79702.88585 19.85425
60676 79793.23953 25.54669
60676 79883.59320 31.25158
60676 79973.94688 36.97064
60676 80064.30056 42.70546
60676 80154.65424 48.45750
60676 80245.00791 54.22806
60676 80335.36159 60.01828
60676 80425.71527 65.82908
60676 80516.06895 71.66121
60676 80606.42263 77.51521
60676 80696.77630 83.39139
60676 80787.12998 89.28982
60676 80877.48366 95.21038
60676 80967.83734 101.15266
60676 81058.19102 107.11606
60676 81148.54469 113.09972
60676 81238.89837 119.10254
60676 81329.25205 125.12323
60676 81419.60573 131.16027
60676 81509.95940 137.21193
60676 81600.31308 143.27633
60676 81690.66676 149.35142
60676 81781.02044 155.43502
60676 81871.37412 161.52482
60676 81961.72779 167.61846
60676 82052.08147 173.71351
60676 82142.43515 179.80753
60676 82232.78883 -174.10192
60676 82323.14251 -168.01724
60676 82413.49618 -161.94073
60676 82503.84986 -155.87462
60676 82594.20354 -149.82101
60676 82684.55722 -143.78183
60676 82774.91089 -137.75884
60676 82865.26457 -131.75361
60676 82955.61825 -125.76749
60676 83045.97193 -119.80162
60676 83136.32561 -113.85689
60676 83226.67928 -107.93396
60676 83317.03296 -102.03326
60676 83407.38664 -96.15495
60676 83497.74032 -90.29898
60676 83588.09399 -84.46504
60676 83678.44767 -78.65262
60676 83768.80135 -72.86099
60676 83859.15503 -67.08919
60676 83949.50871 -61.33610
60676 84039.86238 -55.60043
60676 84130.21606 -49.88069
60676 84220.56974 -44.17527
60676 84310.92342 -38.48244
60676 84401.27710 -32.80035
60676 84491.63077 -27.12704
60676 84581.98445 -21.46049
60676 84672.33813 -15.79863
60676 84762.69181 -10.13935
60676 84853.04548 -4.48049
60676 84943.39916 1.18006
60676 85033.75284 6.84444
60676 85124.10652 12.51473
60676 85214.46020 18.19297
60676 85304.81387 23.88112
60676 85395.16755 29.58105
60676 85485.52123 35.29453
60676 85575.87491 41.02321
60676 85666.22859 46.76861
60676 85756.58226 52.53208
60676 85846.93594 58.31482
60676 85937.28962 64.11783
60676 86027.64330 69.94192
60676 86117.99697 75.78772
60676 86208.35065 81.65561
60676 86298.70433 87.54577
60676 86389.05801 93.45815
60677 79.41169 99.39243
60677 169.76536 105.34810
60677 260.11904 111.32438
60677 350.47272 117.32028
60677 440.82640 123.33458
60677 531.18007 129.36583
60677 621.53375 135.41239
60677 711.88743 141.47243
60677 802.24111 147.54395
60677 892.59479 153.62483
60677 982.94846 159.71279
60677 1073.30214 165.80549
60677 1163.65582 171.90051
60677 1254.00950 177.99543
60677 1344.36318 -175.91222
60677 1434.71685 -169.82484
60677 1525.07053 -163.74479
60677 1615.42421 -157.67433
60677 1705.77789 -151.61561
60677 1796.13156 -145.57062
60677 1886.48524 -139.54120
60677 1976.83892 -133.52900
60677 2067.19260 -127.53546
60677 2157.54628 -121.56179
60677 2247.89995 -115.60898
60677 2338.25363 -109.67780
60677 2428.60731 -103.76873
60677 2518.96099 -97.88206
60677 2609.31467 -92.01780
60677 2699.66834 -86.17575
60677 2790.02202 -80.35546
60677 2880.37570 -74.55627
60677 2970.72938 -68.77731
60677 3061.08305 -63.01752
60677 3151.43673 -57.27566
60677 3241.79041 -51.55030
60677 3332.14409 -45.83990
60677 3422.49777 -40.14274
60677 3512.85144 -34.45702
60677 3603.20512 -28.78082
60677 3693.55880 -23.11214
60677 3783.91248 -17.44894
60677 3874.26616 -11.78910
60677 3964.61983 -6.13050
60677 4054.97351 -0.47099
60677 4145.32719 5.19156
60677 4235.68087 10.85924
60677 4326.03454 16.53412
60677 4416.38822 22.21818
60677 4506.74190 27.91335
60677 4597.09558 33.62143
60677 4687.44926 39.34411
60677 4777.80293 45.08298
60677 4868.15661 50.83944
60677 4958.51029 56.61476
60677 5048.86397 62.41000
60677 5139.21764 68.22607
60677 5229.57132 74.06364
60677 5319.92500 79.92320
60677 5410.27868 85.80500
60677 5500.63236 91.70907
60677 5590.98603 97.63520
60677 5681.33971 103.58295
60677 5771.69339 109.55164
60677 5862.04707 115.54037
60677 5952.40075 121.54799
60677 6042.75442 127.57313
60677 6133.10810 133.61425
60677 6223.46178 139.66957
60677 6313.81546 145.73715
60677 6404.16913 151.81492
60677 6494.52281 157.90066
60677 6584.87649 163.99203
60677 6675.23017 170.08666
60677 6765.58385 176.18210
60677 6855.93752 -177.72410
60677 6946.29120 -171.63437
60677 7036.64488 -165.55109
60677 7126.99856 -159.47657
60677 7217.35224 -153.41300
60677 7307.70591 -147.36244
60677 7398.05959 -141.32679
60677 7488.41327 -135.30777
60677 7578.76695 -129.30691
60677 7669.12062 -123.32551
60677 7759.47430 -117.36465
60677 7849.82798 -111.42517
60677 7940.18166 -105.50767
60677 8030.53534 -99.61253
60677 8120.88901 -93.73984
60677 8211.24269 -87.88950
60677 8301.59637 -82.06113
60677 8391.95005 -76.25417
60677 8482.30372 -70.46781
60677 8572.65740 -64.70106
60677 8663.01108 -58.95274
60677 8753.36476 -53.22149
60677 8843.71844 -47.50580
60677 8934.07211 -41.80401
60677 9024.42579 -36.11435
60677 9114.77947 -30.43494
60677 9205.13315 -24.76380
60677 9295.48683 -19.09892
60677 9385.84050 -13.43818
60677 9476.19418 -7.77947
60677 9566.54786 -2.12066
60677 9656.90154 3.54039
60677 9747.25521 9.20579
60677 9837.60889 14.87763
60677 9927.96257 20.55790
60677 10018.31625 26.24857
60677 10108.66993 31.95148
60677 10199.02360 37.66837
60677 10289.37728 43.40087
60677 10379.73096 49.15045
60677 10470.08464 54.91843
60677 10560.43832 60.70597
60677 10650.79199 66.51402
60677 10741.14567 72.34335
60677 10831.49935 78.19453
60677 10921.85303 84.06789
60677 11012.20670 89.96355
60677 11102.56038 95.88138
60677 11192.91406 101.82104
60677 11283.26774 107.78194
60677 11373.62142 113.76324
60677 11463.97509 119.76391
60677 11554.32877 125.78266
60677 11644.68245 131.81799
60677 11735.03613 137.86823
60677 11825.38981 143.93150
60677 11915.74348 150.00577
60677 12006.09716 156.08887
60677 12096.45084 162.17851
60677 12186.80452 168.27232
60677 12277.15819 174.36788
60677 12367.51187 -179.53726
60677 12457.86555 -173.44556
60677 12548.21923 -167.35941
60677 12638.57291 -161.28116
60677 12728.92658 -155.21305
60677 12819.28026 -149.15719
60677 12909.63394 -143.11556
60677 12999.98762 -137.08994
60677 13090.34129 -131.08193
60677 13180.69497 -125.09293
60677 13271.04865 -119.12410
60677 13361.40233 -113.17637
60677 13451.75601 -107.25045
60677 13542.10968 -101.34678
60677 13632.46336 -95.46557
60677 13722.81704 -89.60679
60677 13813.17072 -83.77017
60677 13903.52440 -77.95521
60677 13993.87807 -72.16121
60677 14084.23175 -66.38723
60677 14174.58543 -60.63216
60677 14264.93911 -54.89471
60677 14355.29278 -49.17342
60677 14445.64646 -43.46667
60677 14536.00014 -37.77275
60677 14626.35382 -32.08979
60677 14716.70750 -26.41586
60677 14807.06117 -20.74894
60677 14897.41485 -15.08697
60677 14987.76853 -9.42781
60677 15078.12221 -3.76935
60677 15168.47589 1.89056
60677 15258.82956 7.55403
60677 15349.18324 13.22316
60677 15439.53692 18.89999
60677 15529.89060 24.58648
60677 15620.24427 30.28452
60677 15710.59795 35.99589
60677 15800.95163 41.72226
60677 15891.30531 47.46517
60677 15981.65899 53.22599
60677 16072.01266 59.00594
60677 16162.36634 64.80606
60677 16252.72002 70.62719
60677 16343.07370 76.46997
60677 16433.42737 82.33484
60677 16523.78105 88.22198
60677 16614.13473 94.13139
60677 16704.48841 100.06279
60677 16794.84209 106.01568
60677 16885.19576 111.98934
60677 16975.54944 117.98279
60677 17065.90312 123.99484
60677 17156.25680 130.02407
60677 17246.61048 136.06889
60677 17336.96415 142.12747
60677 17427.31783 148.19784
60677 17517.67151 154.27789
60677 17608.02519 160.36537
60677 17698.37886 166.45794
60677 17788.73254 172.55319
60677 17879.08622 178.64868
60677 17969.43990 -175.25805
60677 18059.79358 -169.16943
60677 18150.14725 -163.08782
60677 18240.50093 -157.01551
60677 18330.85461 -150.95467
60677 18421.20829 -144.90734
60677 18511.56197 -138.87536
60677 18601.91564 -132.86042
60677 18692.26932 -126.86400
60677 18782.62300 -120.88734
60677 18872.97668 -114.93147
60677 18963.33035 -108.99717
60677 19053.68403 -103.08499
60677 19144.03771 -97.19523
60677 19234.39139 -91.32795
60677 19324.74507 -85.48296
60677 19415.09874 -79.65986
60677 19505.45242 -73.85801
60677 19595.80610 -68.07657
60677 19686.15978 -62.31448
60677 19776.51346 -56.57053
60677 19866.86713 -50.84332
60677 19957.22081 -45.13128
60677 20047.57449 -39.43274
60677 20137.92817 -33.74588
60677 20228.28184 -28.06879
60677 20318.63552 -22.39949
60677 20408.98920 -16.73591
60677 20499.34288 -11.07595
60677 20589.69656 -5.41748
60677 20680.05023 0.24163
60677 20770.40391 5.90352
60677 20860.75759 11.57029
60677 20951.11127 17.24399
60677 21041.46494 22.92663
60677 21131.81862 28.62013
60677 21222.17230 34.32629
60677 21312.52598 40.04683
60677 21402.87966 45.78333
60677 21493.23333 51.53723
60677 21583.58701 57.30980
60677 21673.94069 63.10215
60677 21764.29437 68.91521
60677 21854.64805 74.74967
60677 21945.00172 80.60607
60677 22035.35540 86.48468
60677 22125.70908 92.38558
60677 22216.06276 98.30859
60677 22306.41643 104.25332
60677 22396.77011 110.21911
60677 22487.12379 116.20509
60677 22577.47747 122.21015
60677 22667.83115 128.23297
60677 22758.18482 134.27201
60677 22848.53850 140.32553
60677 22938.89218 146.39162
60677 23029.24586 152.46822
60677 23119.59954 158.55312
60677 23209.95321 164.64402
60677 23300.30689 170.73852
60677 23390.66057 176.83420
60677 23481.01425 -177.07140
60677 23571.36792 -170.98072
60677 23661.72160 -164.89616
60677 23752.07528 -158.82004
60677 23842.42896 -152.75458
60677 23932.78264 -146.70186
60677 24023.13631 -140.66381
60677 24113.48999 -134.64220
60677 24203.84367 -128.63856
60677 24294.19735 -122.65424
60677 24384.55102 -116.69036
60677 24474.90470 -110.74779
60677 24565.25838 -104.82716
60677 24655.61206 -98.92887
60677 24745.96574 -93.05307
60677 24836.31941 -87.19966
60677 24926.67309 -81.36832
60677 25017.02677 -75.55849
60677 25107.38045 -69.76941
60677 25197.73413 -64.00010
60677 25288.08780 -58.24941
60677 25378.44148 -52.51600
60677 25468.79516 -46.79837
