CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-16T07:21:39.504
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

51544 0.00000 0.643003 -0.000001 -0.000019 0.765864
51544 180.00000 0.637963 -0.000002 -0.000019 0.770067
51544 360.00000 0.632895 -0.000002 -0.000019 0.774238
51544 540.00000 0.627800 -0.000002 -0.000019 0.778375
51544 720.00000 0.622678 -0.000002 -0.000019 0.782478
51544 900.00000 0.617530 -0.000002 -0.000019 0.786548
51544 1080.00000 0.612354 -0.000002 -0.000019 0.790583
51544 1260.00000 0.607153 -0.000002 -0.000019 0.794585
51544 1440.00000 0.601925 -0.000002 -0.000019 0.798553
51544 1620.00000 0.596671 -0.000003 -0.000019 0.802486
51544 1800.00000 0.591392 -0.000003 -0.000019 0.806384
51544 1980.00000 0.586087 -0.000003 -0.000019 0.810248
51544 2160.00000 0.580757 -0.000003 -0.000019 0.814077
51544 2340.00000 0.575401 -0.000003 -0.000019 0.817871
51544 2520.00000 0.570021 -0.000003 -0.000019 0.821630
51544 2700.00000 0.564617 -0.000003 -0.000019 0.825353
51544 2880.00000 0.559188 -0.000003 -0.000019 0.829041
51544 3060.00000 0.553735 -0.000004 -0.000019 0.832693
51544 3240.00000 0.548258 -0.000004 -0.000019 0.836309
51544 3420.00000 0.542758 -0.000004 -0.000019 0.839889
51544 3600.00000 0.537234 -0.000004 -0.000019 0.843433
51544 3780.00000 0.531687 -0.000004 -0.000019 0.846941
51544 3960.00000 0.526118 -0.000004 -0.000019 0.850412
51544 4140.00000 0.520525 -0.000004 -0.000019 0.853846
51544 4320.00000 0.514910 -0.000004 -0.000019 0.857244
51544 4500.00000 0.509273 -0.000005 -0.000019 0.860605
51544 4680.00000 0.503614 -0.000005 -0.000019 0.863929
51544 4860.00000 0.497933 -0.000005 -0.000019 0.867215
51544 5040.00000 0.492231 -0.000005 -0.000019 0.870464
51544 5220.00000 0.486508 -0.000005 -0.000019 0.873676
51544 5400.00000 0.480764 -0.000005 -0.000019 0.876850
51544 5580.00000 0.474999 -0.000005 -0.000019 0.879986
51544 5760.00000 0.469213 -0.000005 -0.000019 0.883085
51544 5940.00000 0.463408 -0.000006 -0.000019 0.886145
51544 6120.00000 0.457582 -0.000006 -0.000019 0.889167
51544 6300.00000 0.451737 -0.000006 -0.000019 0.892151
51544 6480.00000 0.445872 -0.000006 -0.000019 0.895097
51544 6660.00000 0.439988 -0.000006 -0.000019 0.898004
51544 6840.00000 0.434085 -0.000006 -0.000018 0.900872
51544 7020.00000 0.428163 -0.000006 -0.000018 0.903701
51544 7200.00000 0.422223 -0.000006 -0.000018 0.906492
51544 7380.00000 0.416265 -0.000006 -0.000018 0.909243
51544 7560.00000 0.410289 -0.000007 -0.000018 0.911956
51544 7740.00000 0.404295 -0.000007 -0.000018 0.914629
51544 7920.00000 0.398284 -0.000007 -0.000018 0.917262
51544 8100.00000 0.392255 -0.000007 -0.000018 0.919856
51544 8280.00000 0.386210 -0.000007 -0.000018 0.922411
51544 8460.00000 0.380148 -0.000007 -0.000018 0.924926
51544 8640.00000 0.374069 -0.000007 -0.000018 0.927401
51544 8820.00000 0.367975 -0.000007 -0.000018 0.929836
51544 9000.00000 0.361865 -0.000008 -0.000018 0.932231
51544 9180.00000 0.355739 -0.000008 -0.000018 0.934585
51544 9360.00000 0.349598 -0.000008 -0.000018 0.936900
51544 9540.00000 0.343441 -0.000008 -0.000018 0.939174
51544 9720.00000 0.337270 -0.000008 -0.000018 0.941408
51544 9900.00000 0.331085 -0.000008 -0.000018 0.943601
51544 10080.00000 0.324885 -0.000008 -0.000018 0.945754
51544 10260.00000 0.318671 -0.000008 -0.000018 0.947865
51544 10440.00000 0.312443 -0.000008 -0.000018 0.949936
51544 10620.00000 0.306202 -0.000009 -0.000017 0.951966
51544 10800.00000 0.299948 -0.000009 -0.000017 0.953955
51544 10980.00000 0.293681 -0.000009 -0.000017 0.955903
51544 11160.00000 0.287401 -0.000009 -0.000017 0.957810
51544 11340.00000 0.281109 -0.000009 -0.000017 0.959676
51544 11520.00000 0.274805 -0.000009 -0.000017 0.961500
51544 11700.00000 0.268489 -0.000009 -0.000017 0.963283
51544 11880.00000 0.262161 -0.000009 -0.000017 0.965024
51544 12060.00000 0.255822 -0.000009 -0.000017 0.966724
51544 12240.00000 0.249472 -0.000010 -0.000017 0.968382
51544 12420.00000 0.243111 -0.000010 -0.000017 0.969998
51544 12600.00000 0.236740 -0.000010 -0.000017 0.971573
51544 12780.00000 0.230359 -0.000010 -0.000017 0.973106
51544 12960.00000 0.223968 -0.000010 -0.000017 0.974597
51544 13140.00000 0.217567 -0.000010 -0.000017 0.976045
51544 13320.00000 0.211156 -0.000010 -0.000017 0.977452
51544 13500.00000 0.204737 -0.000010 -0.000016 0.978817
51544 13680.00000 0.198309 -0.000010 -0.000016 0.980140
51544 13860.00000 0.191872 -0.000011 -0.000016 0.981420
51544 14040.00000 0.185427 -0.000011 -0.000016 0.982658
51544 14220.00000 0.178974 -0.000011 -0.000016 0.983854
51544 14400.00000 0.172513 -0.000011 -0.000016 0.985007
51544 14580.00000 0.166045 -0.000011 -0.000016 0.986118
51544 14760.00000 0.159569 -0.000011 -0.000016 0.987187
51544 14940.00000 0.153087 -0.000011 -0.000016 0.988213
51544 15120.00000 0.146598 -0.000011 -0.000016 0.989196
51544 15300.00000 0.140103 -0.000011 -0.000016 0.990137
51544 15480.00000 0.133602 -0.000012 -0.000016 0.991035
51544 15660.00000 0.127095 -0.000012 -0.000016 0.991891
51544 15840.00000 0.120583 -0.000012 -0.000016 0.992703
51544 16020.00000 0.114065 -0.000012 -0.000015 0.993473
51544 16200.00000 0.107543 -0.000012 -0.000015 0.994200
51544 16380.00000 0.101016 -0.000012 -0.000015 0.994885
51544 16560.00000 0.094484 -0.000012 -0.000015 0.995526
51544 16740.00000 0.087949 -0.000012 -0.000015 0.996125
51544 16920.00000 0.081409 -0.000012 -0.000015 0.996681
