CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:21:39.594
ORIGINATOR     = CNES

META_START

COMMENT Solar array rotation angle from reference direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 170.05826
51544 180.00000 -178.22283
51544 360.00000 -166.51063
51544 540.00000 -154.81344
51544 720.00000 -143.13619
51544 900.00000 -131.47971
51544 1080.00000 -119.84127
51544 1260.00000 -108.21572
51544 1440.00000 -96.59674
51544 1620.00000 -84.97771
51544 1800.00000 -73.35211
51544 1980.00000 -61.71389
51544 2160.00000 -50.05811
51544 2340.00000 -38.38200
51544 2520.00000 -26.68610
51544 2700.00000 -14.97488
51544 2880.00000 -3.25627
51544 3060.00000 8.46000
51544 3240.00000 20.16470
51544 3420.00000 31.85129
51544 3600.00000 43.51716
51544 3780.00000 55.16361
51544 3960.00000 66.79489
51544 4140.00000 78.41691
51544 4320.00000 90.03618
51544 4500.00000 101.65928
51544 4680.00000 113.29245
51544 4860.00000 124.94118
51544 5040.00000 136.60928
51544 5220.00000 148.33033
51544 5400.00000 161.25578
51544 5580.00000 173.95219
51544 5760.00000 -173.79155
51544 5940.00000 -162.12967
51544 6120.00000 -151.15123
51544 6300.00000 -140.88657
51544 6480.00000 -131.32171
51544 6660.00000 -122.41407
51544 6840.00000 -114.10570
51544 7020.00000 -106.33282
51544 7200.00000 -99.03174
51544 7380.00000 -92.14209
51544 7560.00000 -85.60825
51544 7740.00000 -79.37968
51544 7920.00000 -73.41064
51544 8100.00000 -67.65964
51544 8280.00000 -62.08889
51544 8460.00000 -56.66374
51544 8640.00000 -51.35221
51544 8820.00000 -46.12460
51544 9000.00000 -40.95322
51544 9180.00000 -35.81208
51544 9360.00000 -30.67658
51544 9540.00000 -25.54738
51544 9720.00000 -20.37078
51544 9900.00000 -15.12130
51544 10080.00000 -9.77340
51544 10260.00000 -4.30093
51544 10440.00000 1.32368
51544 10620.00000 7.13028
51544 10800.00000 13.15205
51544 10980.00000 19.42655
51544 11160.00000 25.99670
51544 11340.00000 32.91169
51544 11520.00000 40.22743
51544 11700.00000 48.00640
51544 11880.00000 56.31648
51544 12060.00000 65.22799
51544 12240.00000 74.80823
51544 12420.00000 85.11250
51544 12600.00000 96.17075
51544 12780.00000 107.97037
51544 12960.00000 120.43788
51544 13140.00000 133.42608
51544 13320.00000 146.71571
51544 13500.00000 160.03809
51544 13680.00000 173.11582
51544 13860.00000 -174.29258
51544 14040.00000 -162.36091
51544 14220.00000 -151.18529
51544 14400.00000 -140.79283
51544 14580.00000 -131.16011
51544 14760.00000 -122.23260
51544 14940.00000 -113.94059
51544 15120.00000 -106.21008
51544 15300.00000 -98.96928
51544 15480.00000 -92.15177
51544 15660.00000 -85.69759
51544 15840.00000 -79.55303
51544 16020.00000 -73.66989
51544 16200.00000 -68.00440
51544 16380.00000 -62.51631
51544 16560.00000 -57.16803
51544 16740.00000 -51.92397
51544 16920.00000 -46.75015
51544 17100.00000 -41.61392
51544 17280.00000 -36.48380
51544 17460.00000 -31.32942
51544 17640.00000 -26.12145
51544 17820.00000 -20.83143
51544 18000.00000 -15.43151
51544 18180.00000 -9.89402
51544 18360.00000 -4.19079
51544 18540.00000 1.70771
51544 18720.00000 7.83355
51544 18900.00000 14.22261
51544 19080.00000 20.91596
51544 19260.00000 27.96120
51544 19440.00000 35.41347
51544 19620.00000 43.33584
51544 19800.00000 51.79857
51544 19980.00000 60.87640
51544 20160.00000 70.64304
51544 20340.00000 81.16146
51544 20520.00000 92.46894
51544 20700.00000 104.55718
51544 20880.00000 117.35050
51544 21060.00000 130.68978
51544 21240.00000 144.33330
51544 21420.00000 157.90376
51544 21599.99999 171.19998
51544 21779.99999 -176.04722
51544 21959.99999 -164.02769
51544 22139.99999 -152.84209
51544 22319.99999 -142.51391
51544 22499.99999 -133.01160
51544 22679.99999 -124.27079
51544 22859.99999 -116.21177
51544 23039.99999 -108.75108
51544 23219.99999 -101.80835
51544 23399.99999 -95.30953
51544 23579.99999 -89.18807
51544 23759.99999 -83.38477
51544 23939.99999 -77.84709
51544 24119.99999 -72.52822
51544 24299.99999 -67.38616
51544 24479.99999 -62.38292
51544 24659.99999 -57.48381
51544 24839.99999 -52.65704
51544 25019.99999 -47.87336
51544 25199.99999 -43.10581
51544 25379.99999 -38.32961
51544 25559.99999 -33.52196
51544 25739.99999 -28.66188
51544 25919.99999 -23.72993
51544 26099.99999 -18.70770
51544 26279.99999 -13.57724
51544 26459.99999 -8.32019
51544 26639.99999 -2.91672
51544 26819.99999 2.65563
51544 26999.99999 8.42336
51544 27179.99999 14.45937
51544 27359.99999 20.76531
51544 27539.99999 27.38355
51544 27719.99999 34.36657
51544 27899.99999 41.77476
51544 28079.99999 49.67543
51544 28259.99999 58.14038
51544 28439.99999 67.24120
51544 28619.99999 77.04148
51544 28799.99999 87.58510
51544 28979.99999 98.88048
51544 29159.99999 110.88239
51544 29339.99999 123.47629
51544 29519.99999 136.47318
51544 29699.99999 149.62299
51544 29879.99999 162.64799
51544 30059.99999 175.28678
51544 30239.99999 -172.66767
51544 30419.99999 -161.34847
51544 30599.99999 -150.81557
51544 30779.99999 -141.06990
51544 30959.99999 -132.07211
51544 31139.99999 -123.75962
51544 31319.99999 -116.05964
51544 31499.99999 -108.89769
51544 31679.99999 -102.20252
51544 31859.99999 -95.90850
51544 32039.99999 -89.95641
51544 32219.99999 -84.29327
51544 32399.99999 -78.87173
51544 32579.99999 -73.64930
51544 32759.99999 -68.58753
51544 32939.99999 -63.65133
51544 33119.99999 -58.80847
51544 33299.99999 -54.02910
51544 33479.99999 -49.28554
51544 33659.99999 -44.55208
51544 33839.99999 -39.80491
51544 34019.99999 -35.02196
51544 34199.99999 -30.18284
51544 34379.99999 -25.26854
51544 34559.99999 -20.26112
51544 34739.99999 -15.14316
51544 34919.99999 -9.89698
51544 35099.99999 -4.50376
51544 35279.99999 1.05762
51544 35459.99999 6.81177
51544 35639.99999 12.78814
51544 35819.99999 19.02217
51544 35999.99999 25.55644
