CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:30:12.658
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Kourou: lon = -52.640 deg, lat = 5.100 deg, alt = 94.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_2
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 5314.751
51544 180.00000 4259.673
51544 360.00000 3248.531
51544 540.00000 2395.501
51544 720.00000 1966.483
51544 900.00000 2235.503
51544 1080.00000 3013.205
51544 1260.00000 3994.494
51544 1440.00000 5036.846
51544 1620.00000 6080.524
51544 1800.00000 7094.987
51544 1980.00000 8061.013
51544 2160.00000 8964.576
51544 2340.00000 9794.521
51544 2520.00000 10541.584
51544 2700.00000 11197.956
51544 2880.00000 11757.082
51544 3060.00000 12213.572
51544 3240.00000 12563.160
51544 3420.00000 12802.693
51544 3600.00000 12930.123
51544 3780.00000 12944.515
51544 3960.00000 12846.044
51544 4140.00000 12635.999
51544 4320.00000 12316.781
51544 4500.00000 11891.911
51544 4680.00000 11366.039
51544 4860.00000 10744.976
51544 5040.00000 10035.765
51544 5220.00000 9245.148
51544 5400.00000 8307.931
51544 5580.00000 7354.816
51544 5760.00000 6415.574
51544 5940.00000 5526.212
51544 6120.00000 4731.512
51544 6300.00000 4088.441
51544 6480.00000 3663.823
51544 6660.00000 3512.471
51544 6840.00000 3638.600
51544 7020.00000 3986.629
51544 7200.00000 4478.905
51544 7380.00000 5050.917
51544 7560.00000 5659.641
51544 7740.00000 6278.709
51544 7920.00000 6892.345
51544 8100.00000 7491.133
51544 8280.00000 8069.458
51544 8460.00000 8624.007
51544 8640.00000 9152.882
51544 8820.00000 9655.069
51544 9000.00000 10130.108
51544 9180.00000 10577.878
51544 9360.00000 10998.457
51544 9540.00000 11390.924
51544 9720.00000 11754.501
51544 9900.00000 12089.531
51544 10080.00000 12396.272
51544 10260.00000 12674.852
51544 10440.00000 12925.226
51544 10620.00000 13147.127
51544 10800.00000 13340.007
51544 10980.00000 13502.966
51544 11160.00000 13634.671
51544 11340.00000 13733.262
51544 11520.00000 13796.238
51544 11700.00000 13820.348
51544 11880.00000 13801.489
51544 12060.00000 13734.638
51544 12240.00000 13613.890
51544 12420.00000 13432.668
51544 12600.00000 13184.207
51544 12780.00000 12862.423
51544 12960.00000 12463.177
51544 13140.00000 11985.763
51544 13320.00000 11434.242
51544 13500.00000 10818.062
51544 13680.00000 10151.612
51544 13860.00000 9452.801
51544 14040.00000 8741.221
51544 14220.00000 8036.543
51544 14400.00000 7357.572
51544 14580.00000 6721.961
51544 14760.00000 6146.345
51544 14940.00000 5646.469
51544 15120.00000 5236.852
51544 15300.00000 4929.605
51544 15480.00000 4732.397
51544 15660.00000 4646.287
51544 15840.00000 4664.765
51544 16020.00000 4774.902
51544 16200.00000 4960.179
51544 16380.00000 5203.579
51544 16560.00000 5489.773
51544 16740.00000 5806.126
51544 16920.00000 6142.820
51544 17100.00000 6492.539
51544 17280.00000 6849.998
51544 17460.00000 7211.485
51544 17640.00000 7574.469
51544 17820.00000 7937.285
51544 18000.00000 8298.880
51544 18180.00000 8658.616
51544 18360.00000 9016.096
51544 18540.00000 9371.022
51544 18720.00000 9723.052
51544 18900.00000 10071.657
51544 19080.00000 10415.971
51544 19260.00000 10754.612
51544 19440.00000 11085.493
51544 19620.00000 11405.584
51544 19800.00000 11710.671
51544 19980.00000 11995.101
51544 20160.00000 12251.574
51544 20340.00000 12471.068
51544 20520.00000 12643.037
51544 20700.00000 12756.036
51544 20880.00000 12798.924
51544 21060.00000 12762.579
51544 21240.00000 12641.768
51544 21420.00000 12439.800
51544 21599.99999 12165.735
51544 21779.99999 11830.047
51544 21959.99999 11445.895
51544 22139.99999 11027.087
51544 22319.99999 10586.526
51544 22499.99999 10135.347
51544 22679.99999 9682.632
51544 22859.99999 9235.496
51544 23039.99999 8799.371
51544 23219.99999 8378.328
51544 23399.99999 7975.417
51544 23579.99999 7592.945
51544 23759.99999 7232.730
51544 23939.99999 6896.306
51544 24119.99999 6585.088
51544 24299.99999 6300.517
51544 24479.99999 6044.163
51544 24659.99999 5817.801
51544 24839.99999 5623.455
51544 25019.99999 5463.386
51544 25199.99999 5340.042
51544 25379.99999 5255.938
51544 25559.99999 5213.501
51544 25739.99999 5214.880
51544 25919.99999 5261.758
51544 26099.99999 5355.202
51544 26279.99999 5495.581
51544 26459.99999 5682.555
51544 26639.99999 5915.142
51544 26819.99999 6191.808
51544 26999.99999 6510.569
51544 27179.99999 6873.280
51544 27359.99999 7274.589
51544 27539.99999 7710.940
51544 27719.99999 8178.260
51544 27899.99999 8671.794
51544 28079.99999 9185.873
51544 28259.99999 9713.618
51544 28439.99999 10246.632
51544 28619.99999 10774.717
51544 28799.99999 11285.745
51544 28979.99999 11765.842
51544 29159.99999 12200.065
51544 29339.99999 12573.695
51544 29519.99999 12874.047
51544 29699.99999 13092.344
51544 29879.99999 13225.028
51544 30059.99999 13273.970
51544 30239.99999 13245.540
51544 30419.99999 13148.992
51544 30599.99999 12994.763
51544 30779.99999 12793.132
51544 30959.99999 12553.380
51544 31139.99999 12283.405
51544 31319.99999 11989.643
51544 31499.99999 11677.173
51544 31679.99999 11349.898
51544 31859.99999 11010.751
51544 32039.99999 10661.890
51544 32219.99999 10304.876
51544 32399.99999 9940.827
51544 32579.99999 9570.545
51544 32759.99999 9194.639
51544 32939.99999 8813.625
51544 33119.99999 8428.034
51544 33299.99999 8038.513
51544 33479.99999 7645.948
51544 33659.99999 7251.604
51544 33839.99999 6857.308
51544 34019.99999 6465.677
51544 34199.99999 6080.426
51544 34379.99999 5706.768
51544 34559.99999 5351.903
51544 34739.99999 5025.574
51544 34919.99999 4740.553
51544 35099.99999 4512.722
51544 35279.99999 4360.255
51544 35459.99999 4301.349
51544 35639.99999 4350.620
51544 35819.99999 4515.517
51544 35999.99999 4794.770
