CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:30:12.664
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and direction of Earth center
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = EARTH_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 99.94173
51544 180.00000 88.24017
51544 360.00000 76.54248
51544 540.00000 64.85460
51544 720.00000 53.17994
51544 900.00000 41.51896
51544 1080.00000 29.86968
51544 1260.00000 18.22884
51544 1440.00000 6.59339
51544 1620.00000 5.04629
51544 1800.00000 16.68352
51544 1980.00000 28.32891
51544 2160.00000 39.98508
51544 2340.00000 51.65460
51544 2520.00000 63.33794
51544 2700.00000 75.03269
51544 2880.00000 86.73359
51544 3060.00000 98.43382
51544 3240.00000 110.12675
51544 3420.00000 121.80777
51544 3600.00000 133.47515
51544 3780.00000 145.12991
51544 3960.00000 156.77487
51544 4140.00000 168.41344
51544 4320.00000 179.84190
51544 4500.00000 168.30983
51544 4680.00000 156.66704
51544 4860.00000 145.01492
51544 5040.00000 133.35050
51544 5220.00000 121.63986
51544 5400.00000 108.73124
51544 5580.00000 96.05367
51544 5760.00000 83.81398
51544 5940.00000 72.16345
51544 6120.00000 61.19012
51544 6300.00000 50.92490
51544 6480.00000 41.35518
51544 6660.00000 32.43997
51544 6840.00000 24.12273
51544 7020.00000 16.34077
51544 7200.00000 9.03124
51544 7380.00000 2.13582
51544 7560.00000 4.40865
51544 7740.00000 10.64184
51544 7920.00000 16.61479
51544 8100.00000 22.36854
51544 8280.00000 27.94088
51544 8460.00000 33.36654
51544 8640.00000 38.67757
51544 8820.00000 43.90375
51544 9000.00000 49.07286
51544 9180.00000 54.21098
51544 9360.00000 59.34278
51544 9540.00000 64.46782
51544 9720.00000 69.63959
51544 9900.00000 74.88369
51544 10080.00000 80.22572
51544 10260.00000 85.69197
51544 10440.00000 91.31014
51544 10620.00000 97.11028
51544 10800.00000 103.12581
51544 10980.00000 109.39458
51544 11160.00000 115.95992
51544 11340.00000 122.87152
51544 11520.00000 130.18588
51544 11700.00000 137.96618
51544 11880.00000 146.28099
51544 12060.00000 155.20119
51544 12240.00000 164.79417
51544 12420.00000 175.11353
51544 12600.00000 173.80557
51544 12780.00000 161.98995
51544 12960.00000 149.51105
51544 13140.00000 136.52074
51544 13320.00000 123.24005
51544 13500.00000 109.93583
51544 13680.00000 96.88068
51544 13860.00000 84.31037
51544 14040.00000 72.39447
51544 14220.00000 61.22724
51544 14400.00000 50.83616
51544 14580.00000 41.19927
51544 14760.00000 32.26395
51544 14940.00000 23.96217
51544 15120.00000 16.22131
51544 15300.00000 8.97063
51544 15480.00000 2.14597
51544 15660.00000 4.32047
51544 15840.00000 10.47082
51544 16020.00000 16.35886
51544 16200.00000 22.02785
51544 16380.00000 27.51799
51544 16560.00000 32.86693
