CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:30:12.682
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), station_visibility: 0=no 1=yes
COMMENT Aussaguel: lon = 1.499 deg, lat = 43.430 deg, alt = 154.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = GEOMETRICAL_VISIBILITY_GROUND_STATION_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 0
51544 180.00000 0
51544 360.00000 0
51544 540.00000 0
51544 720.00000 0
51544 900.00000 0
51544 1080.00000 0
51544 1260.00000 0
51544 1440.00000 1
51544 1620.00000 1
51544 1800.00000 0
51544 1980.00000 0
51544 2160.00000 0
51544 2340.00000 0
51544 2520.00000 0
51544 2700.00000 0
51544 2880.00000 0
51544 3060.00000 0
51544 3240.00000 0
51544 3420.00000 0
51544 3600.00000 0
51544 3780.00000 0
51544 3960.00000 0
51544 4140.00000 0
51544 4320.00000 0
51544 4500.00000 0
51544 4680.00000 0
51544 4860.00000 0
51544 5040.00000 0
51544 5220.00000 0
51544 5400.00000 0
51544 5580.00000 0
51544 5760.00000 0
51544 5940.00000 0
51544 6120.00000 0
51544 6300.00000 0
51544 6480.00000 0
51544 6660.00000 0
51544 6840.00000 0
51544 7020.00000 1
51544 7200.00000 1
51544 7380.00000 1
51544 7560.00000 1
51544 7740.00000 1
51544 7920.00000 1
51544 8100.00000 1
51544 8280.00000 1
51544 8460.00000 1
51544 8640.00000 1
51544 8820.00000 1
51544 9000.00000 1
51544 9180.00000 1
51544 9360.00000 1
51544 9540.00000 1
51544 9720.00000 1
51544 9900.00000 1
51544 10080.00000 0
51544 10260.00000 0
51544 10440.00000 0
51544 10620.00000 0
51544 10800.00000 0
51544 10980.00000 0
51544 11160.00000 0
51544 11340.00000 0
51544 11520.00000 0
51544 11700.00000 0
51544 11880.00000 0
51544 12060.00000 0
51544 12240.00000 0
51544 12420.00000 0
51544 12600.00000 0
51544 12780.00000 0
51544 12960.00000 0
51544 13140.00000 0
51544 13320.00000 0
51544 13500.00000 0
51544 13680.00000 0
51544 13860.00000 0
51544 14040.00000 0
51544 14220.00000 0
51544 14400.00000 0
51544 14580.00000 0
51544 14760.00000 0
51544 14940.00000 0
51544 15120.00000 0
51544 15300.00000 0
51544 15480.00000 0
51544 15660.00000 0
51544 15840.00000 1
51544 16020.00000 1
51544 16200.00000 1
51544 16380.00000 1
51544 16560.00000 1
51544 16740.00000 1
51544 16920.00000 1
51544 17100.00000 1
51544 17280.00000 1
51544 17460.00000 1
51544 17640.00000 1
51544 17820.00000 1
51544 18000.00000 1
51544 18180.00000 1
51544 18360.00000 1
51544 18540.00000 0
51544 18720.00000 0
51544 18900.00000 0
51544 19080.00000 0
51544 19260.00000 0
51544 19440.00000 0
51544 19620.00000 0
51544 19800.00000 0
51544 19980.00000 0
51544 20160.00000 0
51544 20340.00000 0
51544 20520.00000 0
51544 20700.00000 0
51544 20880.00000 0
51544 21060.00000 0
51544 21240.00000 0
51544 21420.00000 0
51544 21599.99999 0
51544 21779.99999 0
51544 21959.99999 0
51544 22139.99999 0
51544 22319.99999 0
51544 22499.99999 0
51544 22679.99999 0
51544 22859.99999 0
51544 23039.99999 0
51544 23219.99999 0
51544 23399.99999 0
51544 23579.99999 0
51544 23759.99999 0
51544 23939.99999 0
51544 24119.99999 0
51544 24299.99999 0
51544 24479.99999 0
51544 24659.99999 1
51544 24839.99999 1
51544 25019.99999 1
51544 25199.99999 1
51544 25379.99999 1
51544 25559.99999 1
51544 25739.99999 1
51544 25919.99999 1
51544 26099.99999 1
51544 26279.99999 1
51544 26459.99999 1
51544 26639.99999 1
51544 26819.99999 0
51544 26999.99999 0
51544 27179.99999 0
51544 27359.99999 0
51544 27539.99999 0
51544 27719.99999 0
51544 27899.99999 0
51544 28079.99999 0
51544 28259.99999 0
51544 28439.99999 0
51544 28619.99999 0
51544 28799.99999 0
51544 28979.99999 0
51544 29159.99999 0
51544 29339.99999 0
51544 29519.99999 0
51544 29699.99999 0
51544 29879.99999 0
51544 30059.99999 0
51544 30239.99999 0
51544 30419.99999 0
51544 30599.99999 0
51544 30779.99999 0
51544 30959.99999 0
51544 31139.99999 0
51544 31319.99999 0
51544 31499.99999 0
51544 31679.99999 0
51544 31859.99999 0
51544 32039.99999 0
51544 32219.99999 0
51544 32399.99999 0
51544 32579.99999 0
51544 32759.99999 0
51544 32939.99999 0
51544 33119.99999 0
51544 33299.99999 0
51544 33479.99999 0
51544 33659.99999 0
51544 33839.99999 0
51544 34019.99999 0
51544 34199.99999 0
51544 34379.99999 0
51544 34559.99999 0
51544 34739.99999 0
51544 34919.99999 0
51544 35099.99999 0
51544 35279.99999 0
51544 35459.99999 0
51544 35639.99999 0
51544 35819.99999 0
51544 35999.99999 0
