CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:55:06.806
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), argument_of_latitude (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = MEAN_ARGUMENT_OF_LATITUDE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 359.99674
51544 180.00000 11.66514
51544 360.00000 23.33355
51544 540.00000 35.00197
51544 720.00000 46.67037
51544 900.00000 58.33878
51544 1080.00000 70.00719
51544 1260.00000 81.67560
51544 1440.00000 93.34400
51544 1620.00000 105.01242
51544 1800.00000 116.68083
51544 1980.00000 128.34923
51544 2160.00000 140.01764
51544 2340.00000 151.68606
51544 2520.00000 163.35447
51544 2700.00000 175.02289
51544 2880.00000 186.69130
51544 3060.00000 198.35970
51544 3240.00000 210.02811
51544 3420.00000 221.69652
51544 3600.00000 233.36491
51544 3780.00000 245.03332
51544 3960.00000 256.70173
51544 4140.00000 268.37014
51544 4320.00000 280.03856
51544 4500.00000 291.70697
51544 4680.00000 303.37539
51544 4860.00000 315.04380
51544 5040.00000 326.71220
51544 5220.00000 338.31502
51544 5400.00000 346.23221
51544 5580.00000 354.14940
51544 5760.00000 2.06658
51544 5940.00000 9.98375
51544 6120.00000 17.90093
51544 6300.00000 25.81811
51544 6480.00000 33.73528
51544 6660.00000 41.65247
51544 6840.00000 49.56964
51544 7020.00000 57.48684
51544 7200.00000 65.40402
51544 7380.00000 73.32120
51544 7560.00000 81.23838
51544 7740.00000 89.15555
51544 7920.00000 97.07276
51544 8100.00000 104.98994
51544 8280.00000 112.90711
51544 8460.00000 120.82431
51544 8640.00000 128.74150
51544 8820.00000 136.65868
51544 9000.00000 144.57587
51544 9180.00000 152.49307
51544 9360.00000 160.41024
51544 9540.00000 168.64364
51544 9720.00000 176.82796
51544 9900.00000 184.96168
51544 10080.00000 193.04385
51544 10260.00000 201.07400
51544 10440.00000 209.05225
51544 10620.00000 216.97909
51544 10800.00000 224.85559
51544 10980.00000 232.68321
51544 11160.00000 240.46407
51544 11340.00000 248.20078
51544 11520.00000 255.89676
51544 11700.00000 263.55617
51544 11880.00000 271.18424
51544 12060.00000 278.78736
51544 12240.00000 286.37333
51544 12420.00000 293.95148
51544 12600.00000 301.53294
51544 12780.00000 309.13046
51544 12960.00000 316.75824
51544 13140.00000 324.43149
51544 13320.00000 332.16541
51544 13500.00000 339.97435
51544 13680.00000 347.87062
51544 13860.00000 355.86367
51544 14040.00000 3.95949
51544 14220.00000 12.16050
51544 14400.00000 20.46557
51544 14580.00000 28.87041
51544 14760.00000 37.36792
51544 14940.00000 45.94863
51544 15120.00000 54.60124
51544 15300.00000 63.31299
51544 15480.00000 72.07023
51544 15660.00000 80.85873
51544 15840.00000 89.66431
51544 16020.00000 98.47308
51544 16200.00000 107.27181
51544 16380.00000 116.04825
51544 16560.00000 124.79135
51544 16740.00000 133.49134
51544 16920.00000 142.13985
51544 17100.00000 150.72988
51544 17280.00000 159.25576
51544 17460.00000 167.71306
51544 17640.00000 176.09851
51544 17820.00000 184.40984
51544 18000.00000 192.64566
51544 18180.00000 200.80534
51544 18360.00000 208.88893
51544 18540.00000 216.89710
51544 18720.00000 224.83104
51544 18900.00000 232.69249
51544 19080.00000 240.48381
51544 19260.00000 248.20798
51544 19440.00000 255.86889
51544 19620.00000 263.47140
51544 19800.00000 271.02182
51544 19980.00000 278.52815
51544 20160.00000 286.00069
51544 20340.00000 293.45246
51544 20520.00000 300.89982
51544 20700.00000 308.36282
