CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:12:33.017
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), satellite mode
COMMENT ------------------------
COMMENT SYNTHESIS: Satellite mode - Ratio of simulation time (%)
COMMENT NadirTrace_XY        100.0
COMMENT ------------------------

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_MODES
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 NadirTrace_XY
60676 43792.46023 NadirTrace_XY
60676 44384.92046 NadirTrace_XY
60676 44977.38069 NadirTrace_XY
60676 45569.84092 NadirTrace_XY
60676 46162.30115 NadirTrace_XY
60676 46754.76138 NadirTrace_XY
60676 47347.22161 NadirTrace_XY
60676 47939.68185 NadirTrace_XY
60676 48532.14208 NadirTrace_XY
60676 49124.60231 NadirTrace_XY
60676 49717.06254 NadirTrace_XY
60676 50309.52277 NadirTrace_XY
60676 50901.98300 NadirTrace_XY
60676 51494.44323 NadirTrace_XY
60676 52086.90346 NadirTrace_XY
60676 52679.36369 NadirTrace_XY
60676 53271.82392 NadirTrace_XY
60676 53864.28415 NadirTrace_XY
60676 54456.74438 NadirTrace_XY
60676 55049.20461 NadirTrace_XY
60676 55641.66484 NadirTrace_XY
60676 56234.12508 NadirTrace_XY
60676 56826.58531 NadirTrace_XY
60676 57419.04554 NadirTrace_XY
60676 58011.50577 NadirTrace_XY
60676 58603.96600 NadirTrace_XY
60676 59196.42623 NadirTrace_XY
60676 59788.88646 NadirTrace_XY
60676 60381.34669 NadirTrace_XY
60676 60973.80692 NadirTrace_XY
60676 61566.26715 NadirTrace_XY
60676 62158.72738 NadirTrace_XY
60676 62751.18761 NadirTrace_XY
60676 63343.64784 NadirTrace_XY
60676 63936.10807 NadirTrace_XY
60676 64528.56830 NadirTrace_XY
60676 65121.02854 NadirTrace_XY
60676 65713.48877 NadirTrace_XY
60676 66305.94900 NadirTrace_XY
60676 66898.40923 NadirTrace_XY
60676 67490.86946 NadirTrace_XY
60676 68083.32969 NadirTrace_XY
60676 68675.78992 NadirTrace_XY
60676 69268.25015 NadirTrace_XY
60676 69860.71038 NadirTrace_XY
60676 70453.17061 NadirTrace_XY
60676 71045.63084 NadirTrace_XY
60676 71638.09107 NadirTrace_XY
60676 72230.55130 NadirTrace_XY
60676 72823.01153 NadirTrace_XY
60676 73415.47177 NadirTrace_XY
60676 74007.93200 NadirTrace_XY
60676 74600.39223 NadirTrace_XY
60676 75192.85246 NadirTrace_XY
60676 75785.31269 NadirTrace_XY
60676 76377.77292 NadirTrace_XY
60676 76970.23315 NadirTrace_XY
60676 77562.69338 NadirTrace_XY
60676 78155.15361 NadirTrace_XY
60676 78747.61384 NadirTrace_XY
60676 79340.07407 NadirTrace_XY
60676 79932.53430 NadirTrace_XY
60676 80524.99453 NadirTrace_XY
60676 81117.45476 NadirTrace_XY
60676 81709.91499 NadirTrace_XY
60676 82302.37523 NadirTrace_XY
60676 82894.83546 NadirTrace_XY
60676 83487.29569 NadirTrace_XY
60676 84079.75592 NadirTrace_XY
60676 84672.21615 NadirTrace_XY
