CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:15:01.122
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), orbit number

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ORBIT_NUMBER
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 1
60676 43792.46023 1
60676 44384.92046 1
60676 44977.38069 1
60676 45569.84092 1
60676 46162.30115 1
60676 46754.76138 1
60676 47347.22161 1
60676 47939.68185 1
60676 48532.14208 1
60676 49124.60231 1
60676 49717.06254 1
60676 50309.52277 1
60676 50901.98300 1
60676 51494.44323 1
60676 52086.90346 1
60676 52679.36369 1
60676 53271.82392 1
60676 53864.28415 1
60676 54456.74438 1
60676 55049.20461 1
60676 55641.66484 1
60676 56234.12508 1
60676 56826.58531 1
60676 57419.04554 1
60676 58011.50577 1
60676 58603.96600 1
60676 59196.42623 1
60676 59788.88646 1
60676 60381.34669 1
60676 60973.80692 1
60676 61566.26715 1
60676 62158.72738 1
60676 62751.18761 Nan
60676 63343.64784 1
60676 63936.10807 1
60676 64528.56830 Nan
60676 65121.02854 1
60676 65713.48877 1
60676 66305.94900 1
60676 66898.40923 1
60676 67490.86946 1
60676 68083.32969 1
60676 68675.78992 1
60676 69268.25015 1
60676 69860.71038 1
60676 70453.17061 1
60676 71045.63084 1
60676 71638.09107 1
60676 72230.55130 1
60676 72823.01153 1
60676 73415.47177 1
60676 74007.93200 1
60676 74600.39223 1
60676 75192.85246 1
60676 75785.31269 1
60676 76377.77292 1
60676 76970.23315 1
60676 77562.69338 1
60676 78155.15361 1
60676 78747.61384 1
60676 79340.07407 1
60676 79932.53430 1
60676 80524.99453 1
60676 81117.45476 1
60676 81709.91499 1
60676 82302.37523 1
60676 82894.83546 1
60676 83487.29569 1
60676 84079.75592 1
60676 84672.21615 1
60676 85264.67638 1
60676 85857.13661 1
60677 49.59684 1
60677 642.05707 1
60677 1234.51730 1
60677 1826.97753 1
60677 2419.43776 1
60677 3011.89799 1
60677 3604.35822 1
60677 4196.81846 1
60677 4789.27869 1
60677 5381.73892 1
60677 5974.19915 1
60677 6566.65938 1
60677 7159.11961 1
60677 7751.57984 1
60677 8344.04007 1
60677 8936.50030 1
60677 9528.96053 1
60677 10121.42076 1
60677 10713.88099 1
60677 11306.34122 1
60677 11898.80145 1
60677 12491.26168 1
60677 13083.72192 1
60677 13676.18215 1
60677 14268.64238 1
60677 14861.10261 1
60677 15453.56284 1
60677 16046.02307 1
60677 16638.48330 1
60677 17230.94353 1
60677 17823.40376 1
60677 18415.86399 1
60677 19008.32422 1
60677 19600.78445 2
60677 20193.24468 2
60677 20785.70491 2
60677 21378.16515 2
60677 21970.62538 2
60677 22563.08561 2
60677 23155.54584 2
60677 23748.00607 2
60677 24340.46630 2
60677 24932.92653 2
60677 25525.38676 2
60677 26117.84699 2
60677 26710.30722 2
60677 27302.76745 2
60677 27895.22768 2
60677 28487.68791 2
60677 29080.14814 2
60677 29672.60838 2
60677 30265.06861 2
60677 30857.52884 2
60677 31449.98907 2
60677 32042.44930 2
60677 32634.90953 2
60677 33227.36976 2
60677 33819.82999 2
60677 34412.29022 2
60677 35004.75045 2
60677 35597.21068 2
60677 36189.67091 2
60677 36782.13114 2
60677 37374.59137 2
60677 37967.05160 2
60677 38559.51184 2
60677 39151.97207 2
60677 39744.43230 2
60677 40336.89253 2
60677 40929.35276 2
60677 41521.81299 2
60677 42114.27322 2
60677 42706.73345 2
60677 43299.19368 2
60677 43891.65391 2
60677 44484.11414 2
60677 45076.57437 2
60677 45669.03460 2
60677 46261.49483 2
60677 46853.95507 2
60677 47446.41530 2
60677 48038.87553 2
60677 48631.33576 2
60677 49223.79599 2
60677 49816.25622 2
60677 50408.71645 2
60677 51001.17668 2
60677 51593.63691 2
60677 52186.09714 2
60677 52778.55737 2
60677 53371.01760 2
60677 53963.47783 2
60677 54555.93806 2
60677 55148.39829 2
60677 55740.85853 2
60677 56333.31876 2
60677 56925.77899 2
60677 57518.23922 2
60677 58110.69945 2
60677 58703.15968 2
60677 59295.61991 2
60677 59888.08014 2
60677 60480.54037 2
60677 61073.00060 2
60677 61665.46083 2
60677 62257.92106 2
60677 62850.38129 2
60677 63442.84152 2
