CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:23:42.411
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), distance (km)
COMMENT Kourou: lon = -52.640 deg, lat = 5.100 deg, alt = 94.0 m, elevmin = 0.0 deg

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = DISTANCE_GROUND_STATION_2
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 11865.241
60676 43792.46023 14045.071
60676 44384.92046 15984.975
60676 44977.38069 17865.346
60676 45569.84092 19740.298
60676 46162.30115 21597.785
60676 46754.76138 23417.659
60676 47347.22161 25184.866
60676 47939.68185 26890.107
60676 48532.14208 28528.278
60676 49124.60231 30097.007
60676 49717.06254 31595.608
60676 50309.52277 33024.406
60676 50901.98300 34384.307
60676 51494.44323 35676.527
60676 52086.90346 36902.422
60676 52679.36369 38063.388
60676 53271.82392 39160.794
60676 53864.28415 40195.946
60676 54456.74438 41170.066
60676 55049.20461 42084.274
60676 55641.66484 42939.593
60676 56234.12508 43736.938
60676 56826.58531 44477.124
60676 57419.04554 45160.864
60676 58011.50577 45788.775
60676 58603.96600 46361.382
60676 59196.42623 46879.116
60676 59788.88646 47342.326
60676 60381.34669 47751.275
60676 60973.80692 48106.142
60676 61566.26715 48429.469
60676 62158.72738 48671.782
60676 62751.18761 48689.653
60676 63343.64784 48985.148
60676 63936.10807 49029.657
60676 64528.56830 49039.673
60676 65121.02854 49052.964
60676 65713.48877 49065.686
60676 66305.94900 49077.838
60676 66898.40923 49089.418
60676 67490.86946 49100.427
60676 68083.32969 49110.865
60676 68675.78992 49120.735
60676 69268.25015 49130.038
60676 69860.71038 49138.778
60676 70453.17061 49146.961
60676 71045.63084 49154.590
60676 71638.09107 49161.673
60676 72230.55130 49168.216
60676 72823.01153 49174.227
60676 73415.47177 49179.715
60676 74007.93200 49184.689
60676 74600.39223 49189.160
60676 75192.85246 49193.139
60676 75785.31269 49196.638
60676 76377.77292 49199.670
60676 76970.23315 49202.247
60676 77562.69338 49204.385
60676 78155.15361 49206.098
60676 78747.61384 49207.402
60676 79340.07407 49208.312
60676 79932.53430 49208.846
60676 80524.99453 49209.022
60676 81117.45476 49208.856
60676 81709.91499 49208.368
60676 82302.37523 49207.577
60676 82894.83546 49206.501
60676 83487.29569 49205.163
60676 84079.75592 49203.580
60676 84672.21615 49201.775
60676 85264.67638 49199.769
60676 85857.13661 49197.582
60677 49.59684 49195.236
60677 642.05707 49192.754
60677 1234.51730 49190.158
60677 1826.97753 49187.469
60677 2419.43776 49184.710
60677 3011.89799 49181.903
60677 3604.35822 49179.071
60677 4196.81846 49176.236
60677 4789.27869 49173.421
60677 5381.73892 49170.647
60677 5974.19915 49167.938
60677 6566.65938 49165.314
60677 7159.11961 49162.798
60677 7751.57984 49160.410
60677 8344.04007 49158.173
60677 8936.50030 49156.108
60677 9528.96053 49154.233
60677 10121.42076 49152.571
60677 10713.88099 49151.139
60677 11306.34122 49149.958
60677 11898.80145 49149.046
60677 12491.26168 49148.421
60677 13083.72192 49148.101
60677 13676.18215 49148.103
60677 14268.64238 49148.442
60677 14861.10261 49149.135
60677 15453.56284 49150.197
60677 16046.02307 49151.641
60677 16638.48330 49153.481
60677 17230.94353 49155.729
60677 17823.40376 49158.399
60677 18415.86399 49161.500
60677 19008.32422 49165.043
60677 19600.78445 49169.038
60677 20193.24468 49173.493
60677 20785.70491 49178.415
60677 21378.16515 49183.812
