CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-16T08:23:42.531
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

60676 43200.00000 0.772024 -0.000786 0.000927 -0.635593
60676 43792.46023 0.785572 -0.000765 0.000944 -0.618769
60676 44384.92046 0.798754 -0.000745 0.000960 -0.601656
60676 44977.38069 0.811564 -0.000724 0.000976 -0.584263
60676 45569.84092 0.823994 -0.000703 0.000991 -0.566597
60676 46162.30115 0.836040 -0.000681 0.001006 -0.548667
60676 46754.76138 0.847696 -0.000659 0.001021 -0.530481
60676 47347.22161 0.858957 -0.000637 0.001035 -0.512047
60676 47939.68185 0.869816 -0.000614 0.001048 -0.493374
60676 48532.14208 0.880270 -0.000592 0.001061 -0.474471
60676 49124.60231 0.890313 -0.000569 0.001074 -0.455347
60676 49717.06254 0.899941 -0.000545 0.001086 -0.436010
60676 50309.52277 0.909149 -0.000522 0.001097 -0.416470
60676 50901.98300 0.917932 -0.000498 0.001108 -0.396735
60676 51494.44323 0.926288 -0.000474 0.001119 -0.376815
60676 52086.90346 0.934211 -0.000450 0.001129 -0.356720
60676 52679.36369 0.941698 -0.000425 0.001138 -0.336458
60676 53271.82392 0.948745 -0.000400 0.001147 -0.316039
60676 53864.28415 0.955350 -0.000375 0.001156 -0.295473
60676 54456.74438 0.961510 -0.000350 0.001163 -0.274768
60676 55049.20461 0.967220 -0.000325 0.001171 -0.253936
60676 55641.66484 0.972480 -0.000300 0.001178 -0.232985
60676 56234.12508 0.977285 -0.000274 0.001184 -0.211925
60676 56826.58531 0.981635 -0.000249 0.001189 -0.190767
60676 57419.04554 0.985526 -0.000223 0.001194 -0.169519
60676 58011.50577 0.988958 -0.000197 0.001199 -0.148192
60676 58603.96600 0.991928 -0.000171 0.001203 -0.126797
60676 59196.42623 0.994435 -0.000145 0.001206 -0.105342
60676 59788.88646 0.996479 -0.000119 0.001209 -0.083837
60676 60381.34669 0.998057 -0.000093 0.001212 -0.062294
60676 60973.80692 0.999170 -0.000067 0.001213 -0.040722
60676 61566.26715 0.999816 -0.000041 0.001214 -0.019131
60676 62158.72738 0.999996 -0.000014 0.001215 0.002470
60676 62751.18761 0.999710 0.000012 0.001215 0.024069
60676 63343.64784 0.998956 0.000038 0.001215 0.045657
60676 63936.10807 0.997737 0.000064 0.001213 0.067223
60676 64528.56830 0.996052 0.000091 0.001212 0.088758
60676 65121.02854 0.993903 0.000117 0.001209 0.110252
60676 65713.48877 0.991290 0.000143 0.001207 0.131695
60676 66305.94900 0.988214 0.000169 0.001203 0.153075
60676 66898.40923 0.984677 0.000195 0.001199 0.174385
60676 67490.86946 0.980680 0.000221 0.001195 0.195613
60676 68083.32969 0.976226 0.000246 0.001190 0.216750
60676 68675.78992 0.971317 0.000272 0.001184 0.237786
60676 69268.25015 0.965954 0.000298 0.001178 0.258710
60676 69860.71038 0.960141 0.000323 0.001171 0.279514
60676 70453.17061 0.953879 0.000348 0.001164 0.300188
60676 71045.63084 0.947173 0.000373 0.001156 0.320721
60676 71638.09107 0.940024 0.000398 0.001148 0.341105
60676 72230.55130 0.932437 0.000423 0.001139 0.361330
60676 72823.01153 0.924415 0.000447 0.001130 0.381386
60676 73415.47177 0.915961 0.000472 0.001120 0.401264
60676 74007.93200 0.907081 0.000496 0.001109 0.420955
60676 74600.39223 0.897776 0.000520 0.001098 0.440450
60676 75192.85246 0.888053 0.000543 0.001087 0.459739
60676 75785.31269 0.877916 0.000567 0.001075 0.478813
60676 76377.77292 0.867369 0.000590 0.001062 0.497664
60676 76970.23315 0.856417 0.000612 0.001050 0.516283
60676 77562.69338 0.845066 0.000635 0.001036 0.534661
60676 78155.15361 0.833320 0.000657 0.001022 0.552790
60676 78747.61384 0.821185 0.000679 0.001008 0.570660
60676 79340.07407 0.808668 0.000701 0.000993 0.588264
60676 79932.53430 0.795773 0.000722 0.000977 0.605594
60676 80524.99453 0.782506 0.000743 0.000962 0.622641
60676 81117.45476 0.768875 0.000764 0.000945 0.639398
60676 81709.91499 0.754885 0.000784 0.000929 0.655856
60676 82302.37523 0.740542 0.000804 0.000911 0.672009
60676 82894.83546 0.725854 0.000823 0.000894 0.687848
60676 83487.29569 0.710828 0.000842 0.000876 0.703365
60676 84079.75592 0.695469 0.000861 0.000857 0.718555
60676 84672.21615 0.679786 0.000879 0.000839 0.733409
60676 85264.67638 0.663786 0.000897 0.000819 0.747921
60676 85857.13661 0.647476 0.000915 0.000800 0.762085
60677 49.59684 0.630865 0.000932 0.000780 0.775892
60677 642.05707 0.613958 0.000948 0.000760 0.789338
60677 1234.51730 0.596766 0.000965 0.000739 0.802415
60677 1826.97753 0.579294 0.000980 0.000718 0.815118
60677 2419.43776 0.561553 0.000996 0.000697 0.827440
60677 3011.89799 0.543549 0.001010 0.000675 0.839376
60677 3604.35822 0.525292 0.001025 0.000653 0.850921
60677 4196.81846 0.506790 0.001039 0.000631 0.862069
60677 4789.27869 0.488051 0.001052 0.000608 0.872814
60677 5381.73892 0.469085 0.001065 0.000585 0.883152
60677 5974.19915 0.449899 0.001077 0.000562 0.893078
60677 6566.65938 0.430504 0.001089 0.000539 0.902588
60677 7159.11961 0.410908 0.001101 0.000515 0.911676
60677 7751.57984 0.391120 0.001112 0.000491 0.920339
60677 8344.04007 0.371150 0.001122 0.000467 0.928572
60677 8936.50030 0.351006 0.001132 0.000443 0.936372
60677 9528.96053 0.330699 0.001141 0.000418 0.943735
60677 10121.42076 0.310237 0.001150 0.000393 0.950658
60677 10713.88099 0.289631 0.001158 0.000369 0.957138
60677 11306.34122 0.268890 0.001166 0.000343 0.963170
60677 11898.80145 0.248023 0.001173 0.000318 0.968753
60677 12491.26168 0.227040 0.001179 0.000293 0.973885
60677 13083.72192 0.205951 0.001185 0.000267 0.978561
60677 13676.18215 0.184767 0.001191 0.000242 0.982782
60677 14268.64238 0.163496 0.001196 0.000216 0.986543
60677 14861.10261 0.142148 0.001200 0.000190 0.989845
60677 15453.56284 0.120735 0.001204 0.000164 0.992684
