CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T08:11:44.657
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), altitude (km)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ALTITUDE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 264.304
60676 43792.46023 1312.307
60676 44384.92046 3593.166
60676 44977.38069 6153.679
60676 45569.84092 8661.925
60676 46162.30115 11031.830
60676 46754.76138 13248.024
60676 47347.22161 15315.301
60676 47939.68185 17243.746
60676 48532.14208 19044.098
60676 49124.60231 20726.322
60676 49717.06254 22299.241
60676 50309.52277 23770.539
60676 50901.98300 25146.866
60676 51494.44323 26433.982
60676 52086.90346 27636.884
60676 52679.36369 28759.920
60676 53271.82392 29806.887
60676 53864.28415 30781.110
60676 54456.74438 31685.505
60676 55049.20461 32522.641
60676 55641.66484 33294.778
60676 56234.12508 34003.910
60676 56826.58531 34651.792
60676 57419.04554 35239.969
60676 58011.50577 35769.796
60676 58603.96600 36242.455
60676 59196.42623 36658.975
60676 59788.88646 37020.239
60676 60381.34669 37326.997
60676 60973.80692 37579.874
60676 61566.26715 37788.451
60676 62158.72738 37931.729
60676 62751.18761 38005.334
60676 63343.64784 38061.061
60676 63936.10807 38061.546
60676 64528.56830 38062.527
60676 65121.02854 38061.402
60676 65713.48877 38059.771
60676 66305.94900 38057.636
60676 66898.40923 38054.999
60676 67490.86946 38051.866
60676 68083.32969 38048.239
60676 68675.78992 38044.126
60676 69268.25015 38039.531
60676 69860.71038 38034.463
60676 70453.17061 38028.929
60676 71045.63084 38022.937
60676 71638.09107 38016.497
60676 72230.55130 38009.620
60676 72823.01153 38002.315
60676 73415.47177 37994.594
60676 74007.93200 37986.470
60676 74600.39223 37977.955
60676 75192.85246 37969.063
60676 75785.31269 37959.809
60676 76377.77292 37950.206
60676 76970.23315 37940.270
60676 77562.69338 37930.017
60676 78155.15361 37919.464
60676 78747.61384 37908.627
60676 79340.07407 37897.525
60676 79932.53430 37886.175
60676 80524.99453 37874.595
60676 81117.45476 37862.805
60676 81709.91499 37850.824
60676 82302.37523 37838.670
60676 82894.83546 37826.365
60676 83487.29569 37813.928
60676 84079.75592 37801.380
60676 84672.21615 37788.741
60676 85264.67638 37776.033
60676 85857.13661 37763.276
60677 49.59684 37750.491
60677 642.05707 37737.699
60677 1234.51730 37724.922
60677 1826.97753 37712.181
60677 2419.43776 37699.498
60677 3011.89799 37686.892
60677 3604.35822 37674.386
60677 4196.81846 37662.000
60677 4789.27869 37649.754
60677 5381.73892 37637.670
60677 5974.19915 37625.767
60677 6566.65938 37614.066
60677 7159.11961 37602.585
60677 7751.57984 37591.344
60677 8344.04007 37580.363
60677 8936.50030 37569.658
60677 9528.96053 37559.248
60677 10121.42076 37549.151
60677 10713.88099 37539.383
60677 11306.34122 37529.961
60677 11898.80145 37520.899
60677 12491.26168 37512.215
60677 13083.72192 37503.920
60677 13676.18215 37496.031
60677 14268.64238 37488.559
60677 14861.10261 37481.516
60677 15453.56284 37474.915
60677 16046.02307 37468.767
60677 16638.48330 37463.080
60677 17230.94353 37457.865
60677 17823.40376 37453.130
60677 18415.86399 37448.883
60677 19008.32422 37445.130
60677 19600.78445 37441.877
60677 20193.24468 37439.130
60677 20785.70491 37436.892
60677 21378.16515 37435.168
60677 21970.62538 37433.959
60677 22563.08561 37433.267
60677 23155.54584 37433.093
60677 23748.00607 37433.437
60677 24340.46630 37434.298
60677 24932.92653 37435.674
60677 25525.38676 37437.562
60677 26117.84699 37439.959
60677 26710.30722 37442.861
60677 27302.76745 37446.261
60677 27895.22768 37450.156
60677 28487.68791 37454.536
60677 29080.14814 37459.396
60677 29672.60838 37464.726
60677 30265.06861 37470.517
60677 30857.52884 37476.760
60677 31449.98907 37483.443
60677 32042.44930 37490.557
60677 32634.90953 37498.087
60677 33227.36976 37506.023
60677 33819.82999 37514.351
60677 34412.29022 37523.056
60677 35004.75045 37532.124
60677 35597.21068 37541.541
60677 36189.67091 37551.290
60677 36782.13114 37561.356
60677 37374.59137 37571.722
60677 37967.05160 37582.371
60677 38559.51184 37593.285
60677 39151.97207 37604.447
60677 39744.43230 37615.838
60677 40336.89253 37627.440
60677 40929.35276 37639.234
60677 41521.81299 37651.200
60677 42114.27322 37663.320
60677 42706.73345 37675.574
60677 43299.19368 37687.941
60677 43891.65391 37700.403
60677 44484.11414 37712.938
60677 45076.57437 37725.527
60677 45669.03460 37738.149
60677 46261.49483 37750.785
60677 46853.95507 37763.413
60677 47446.41530 37776.014
60677 48038.87553 37788.568
60677 48631.33576 37801.054
60677 49223.79599 37813.453
60677 49816.25622 37825.745
60677 50408.71645 37837.910
60677 51001.17668 37849.929
60677 51593.63691 37861.782
60677 52186.09714 37873.451
60677 52778.55737 37884.918
60677 53371.01760 37896.164
60677 53963.47783 37907.171
60677 54555.93806 37917.922
60677 55148.39829 37928.400
60677 55740.85853 37938.588
60677 56333.31876 37948.469
60677 56925.77899 37958.029
60677 57518.23922 37967.253
60677 58110.69945 37976.124
60677 58703.15968 37984.630
60677 59295.61991 37992.757
60677 59888.08014 38000.492
60677 60480.54037 38007.823
60677 61073.00060 38014.737
60677 61665.46083 38021.224
60677 62257.92106 38027.274
60677 62850.38129 38032.876
60677 63442.84152 38038.022
