CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T07:27:35.744
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and Sun direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SUN_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T00:00:00.000
STOP_TIME = 2000-01-01T10:00:00.000

META_STOP

51544 0.00000 6.81502
51544 180.00000 6.80446
51544 360.00000 6.65793
51544 540.00000 6.39953
51544 720.00000 6.07176
51544 900.00000 5.72831
51544 1080.00000 5.42529
51544 1260.00000 5.21209
51544 1440.00000 5.12339
51544 1620.00000 5.17362
51544 1800.00000 5.35461
51544 1980.00000 5.63692
51544 2160.00000 5.97456
51544 2340.00000 6.31237
51544 2520.00000 6.59499
51544 2700.00000 6.77601
51544 2880.00000 6.82562
51544 3060.00000 6.73565
51544 3240.00000 6.52095
51544 3420.00000 6.21684
51544 3600.00000 5.87322
51544 3780.00000 5.54632
51544 3960.00000 5.28948
51544 4140.00000 5.14451
51544 4320.00000 5.13500
51544 4500.00000 5.26250
51544 4680.00000 5.50628
51544 4860.00000 5.82665
51544 5040.00000 6.17131
51544 5220.00000 6.33266
51544 5400.00000 6.56754
51544 5580.00000 6.69855
51544 5760.00000 6.70954
51544 5940.00000 6.60524
51544 6120.00000 6.40737
51544 6300.00000 6.14809
51544 6480.00000 5.86344
51544 6660.00000 5.58806
51544 6840.00000 5.35182
51544 7020.00000 5.17795
51544 7200.00000 5.08254
51544 7380.00000 5.07463
51544 7560.00000 5.15690
51544 7740.00000 5.32641
51544 7920.00000 5.57558
51544 8100.00000 5.89306
51544 8280.00000 6.26458
51544 8460.00000 6.67384
51544 8640.00000 7.10320
51544 8820.00000 7.53447
51544 9000.00000 7.94947
51544 9180.00000 8.33078
51544 9360.00000 8.66218
51544 9540.00000 9.23068
51544 9720.00000 9.73708
51544 9900.00000 10.16723
51544 10080.00000 10.50999
51544 10260.00000 10.75757
51544 10440.00000 10.90605
51544 10620.00000 10.95573
51544 10800.00000 10.91134
51544 10980.00000 10.78235
51544 11160.00000 10.58282
51544 11340.00000 10.33132
51544 11520.00000 10.05040
51544 11700.00000 9.76572
51544 11880.00000 9.50462
51544 12060.00000 9.29401
51544 12240.00000 9.15745
51544 12420.00000 9.11138
51544 12600.00000 9.16076
51544 12780.00000 9.29514
51544 12960.00000 9.48637
51544 13140.00000 9.69013
51544 13320.00000 9.85269
51544 13500.00000 9.92218
51544 13680.00000 9.86103
51544 13860.00000 9.65461
51544 14040.00000 9.31308
51544 14220.00000 8.86680
51544 14400.00000 8.35854
51544 14580.00000 7.83549
51544 14760.00000 7.34305
51544 14940.00000 6.92080
51544 15120.00000 6.60042
51544 15300.00000 6.40498
51544 15480.00000 6.34907
51544 15660.00000 6.43942
51544 15840.00000 6.67566
51544 16020.00000 7.05135
51544 16200.00000 7.55487
51544 16380.00000 8.17039
51544 16560.00000 8.87885
51544 16740.00000 9.65877
51544 16920.00000 10.48710
51544 17100.00000 11.34006
51544 17280.00000 12.19382
51544 17460.00000 13.02522
51544 17640.00000 13.81249
51544 17820.00000 14.53579
51544 18000.00000 15.17798
51544 18180.00000 15.72518
51544 18360.00000 16.16741
51544 18540.00000 16.49912
51544 18720.00000 16.71973
51544 18900.00000 16.83403
51544 19080.00000 16.85234
51544 19260.00000 16.79058
51544 19440.00000 16.66985
51544 19620.00000 16.51564
51544 19800.00000 16.35628
51544 19980.00000 16.22069
51544 20160.00000 16.13487
51544 20340.00000 16.11739
51544 20520.00000 16.17401
51544 20700.00000 16.29236
