CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T09:04:57.317
ORIGINATOR     = CNES

META_START

COMMENT Signed angle between Sun direction and orbital plane
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = BETA_ANGLE
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 -22.49287
60676 43792.46023 -22.49274
60676 44384.92046 -22.49240
60676 44977.38069 -22.49188
60676 45569.84092 -22.49132
60676 46162.30115 -22.49075
60676 46754.76138 -22.49018
60676 47347.22161 -22.48962
60676 47939.68185 -22.48907
60676 48532.14208 -22.48853
60676 49124.60231 -22.48798
60676 49717.06254 -22.48744
60676 50309.52277 -22.48690
60676 50901.98300 -22.48637
60676 51494.44323 -22.48584
60676 52086.90346 -22.48533
60676 52679.36369 -22.48480
60676 53271.82392 -22.48430
60676 53864.28415 -22.48378
60676 54456.74438 -22.48326
60676 55049.20461 -22.48276
60676 55641.66484 -22.48224
60676 56234.12508 -22.48172
60676 56826.58531 -22.48123
60676 57419.04554 -22.48072
60676 58011.50577 -22.48021
60676 58603.96600 -22.47972
60676 59196.42623 -22.47922
60676 59788.88646 -22.47871
60676 60381.34669 -22.47819
60676 60973.80692 -22.47771
60676 61566.26715 22.47803
60676 62158.72738 22.47753
60676 62751.18761 -22.47630
60676 63343.64784 -22.47567
60676 63936.10807 22.47521
60676 64528.56830 -22.47460
60676 65121.02854 -22.47405
60676 65713.48877 -22.47347
60676 66305.94900 -22.47293
60676 66898.40923 -22.47239
60676 67490.86946 -22.47184
60676 68083.32969 -22.47128
60676 68675.78992 -22.47072
60676 69268.25015 -22.47015
60676 69860.71038 -22.46958
60676 70453.17061 -22.46902
60676 71045.63084 -22.46845
60676 71638.09107 -22.46788
60676 72230.55130 -22.46730
60676 72823.01153 -22.46672
60676 73415.47177 -22.46614
60676 74007.93200 -22.46555
60676 74600.39223 -22.46496
60676 75192.85246 -22.46437
60676 75785.31269 -22.46377
60676 76377.77292 -22.46317
60676 76970.23315 -22.46258
60676 77562.69338 -22.46198
60676 78155.15361 -22.46138
60676 78747.61384 -22.46078
60676 79340.07407 -22.46018
60676 79932.53430 -22.45958
60676 80524.99453 -22.45897
60676 81117.45476 -22.45837
60676 81709.91499 -22.45776
60676 82302.37523 -22.45715
60676 82894.83546 -22.45655
60676 83487.29569 -22.45594
60676 84079.75592 -22.45533
60676 84672.21615 -22.45473
60676 85264.67638 -22.45412
60676 85857.13661 -22.45352
60677 49.59684 -22.45292
60677 642.05707 -22.45232
60677 1234.51730 -22.45172
60677 1826.97753 -22.45112
60677 2419.43776 -22.45053
60677 3011.89799 -22.44993
60677 3604.35822 -22.44934
60677 4196.81846 -22.44876
60677 4789.27869 -22.44817
60677 5381.73892 -22.44759
60677 5974.19915 -22.44701
60677 6566.65938 -22.44643
60677 7159.11961 -22.44586
60677 7751.57984 -22.44529
60677 8344.04007 -22.44472
60677 8936.50030 -22.44415
60677 9528.96053 -22.44358
60677 10121.42076 -22.44302
60677 10713.88099 -22.44246
60677 11306.34122 -22.44190
60677 11898.80145 -22.44135
60677 12491.26168 -22.44080
60677 13083.72192 -22.44024
60677 13676.18215 -22.43969
60677 14268.64238 -22.43914
60677 14861.10261 -22.43860
60677 15453.56284 -22.43805
60677 16046.02307 -22.43751
60677 16638.48330 -22.43696
60677 17230.94353 -22.43641
60677 17823.40376 -22.43586
60677 18415.86399 -22.43531
60677 19008.32422 -22.43476
60677 19600.78445 -22.43421
60677 20193.24468 -22.43366
60677 20785.70491 -22.43311
60677 21378.16515 -22.43255
60677 21970.62538 -22.43199
60677 22563.08561 -22.43143
60677 23155.54584 -22.43087
60677 23748.00607 -22.43031
60677 24340.46630 -22.42975
60677 24932.92653 -22.42918
60677 25525.38676 -22.42861
60677 26117.84699 -22.42803
60677 26710.30722 -22.42745
60677 27302.76745 -22.42686
60677 27895.22768 -22.42628
60677 28487.68791 -22.42569
60677 29080.14814 -22.42510
60677 29672.60838 -22.42451
60677 30265.06861 -22.42391
60677 30857.52884 -22.42331
60677 31449.98907 -22.42270
60677 32042.44930 -22.42209
60677 32634.90953 -22.42148
60677 33227.36976 -22.42087
60677 33819.82999 -22.42026
60677 34412.29022 -22.41965
60677 35004.75045 -22.41903
60677 35597.21068 -22.41841
60677 36189.67091 -22.41778
60677 36782.13114 -22.41716
60677 37374.59137 -22.41653
60677 37967.05160 -22.41590
60677 38559.51184 -22.41527
60677 39151.97207 -22.41464
60677 39744.43230 -22.41402
60677 40336.89253 -22.41339
60677 40929.35276 -22.41276
60677 41521.81299 -22.41213
60677 42114.27322 -22.41150
60677 42706.73345 -22.41087
60677 43299.19368 -22.41024
60677 43891.65391 -22.40961
60677 44484.11414 -22.40898
60677 45076.57437 -22.40835
60677 45669.03460 -22.40773
60677 46261.49483 -22.40710
60677 46853.95507 -22.40648
60677 47446.41530 -22.40586
60677 48038.87553 -22.40524
60677 48631.33576 -22.40462
60677 49223.79599 -22.40400
60677 49816.25622 -22.40338
60677 50408.71645 -22.40277
60677 51001.17668 -22.40215
60677 51593.63691 -22.40154
60677 52186.09714 -22.40093
60677 52778.55737 -22.40032
60677 53371.01760 -22.39972
60677 53963.47783 -22.39912
60677 54555.93806 -22.39851
60677 55148.39829 -22.39791
60677 55740.85853 -22.39731
60677 56333.31876 -22.39671
60677 56925.77899 -22.39612
60677 57518.23922 -22.39552
60677 58110.69945 -22.39493
60677 58703.15968 -22.39434
60677 59295.61991 -22.39375
60677 59888.08014 -22.39316
60677 60480.54037 -22.39257
60677 61073.00060 -22.39198
60677 61665.46083 -22.39139
60677 62257.92106 -22.39080
60677 62850.38129 -22.39022
60677 63442.84152 -22.38963
