CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T09:04:57.494
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), true_satellite_local_time (h)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_LOCAL_TIME
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 17.19995
60676 43792.46023 20.34737
60676 44384.92046 22.37439
60676 44977.38069 23.60429
60676 45569.84092 0.41785
60676 46162.30115 1.00321
60676 46754.76138 1.45175
60676 47347.22161 1.81169
60676 47939.68185 2.11072
60676 48532.14208 2.36585
60676 49124.60231 2.58816
60676 49717.06254 2.78519
60676 50309.52277 2.96229
60676 50901.98300 3.12336
60676 51494.44323 3.27132
60676 52086.90346 3.40841
60676 52679.36369 3.53640
60676 53271.82392 3.65669
60676 53864.28415 3.77041
60676 54456.74438 3.87850
60676 55049.20461 3.98172
60676 55641.66484 4.08074
60676 56234.12508 4.17611
60676 56826.58531 4.26831
60676 57419.04554 4.35776
60676 58011.50577 4.44482
60676 58603.96600 4.52982
60676 59196.42623 4.61306
60676 59788.88646 4.69479
60676 60381.34669 4.77527
60676 60973.80692 4.85472
60676 61566.26715 4.92195
60676 62158.72738 5.00093
60676 62751.18761 5.21338
60676 63343.64784 5.16673
60676 63936.10807 5.29138
60676 64528.56830 5.44779
60676 65121.02854 5.59925
60676 65713.48877 5.75072
60676 66305.94900 5.90220
60676 66898.40923 6.05369
60676 67490.86946 6.20521
60676 68083.32969 6.35675
60676 68675.78992 6.50831
60676 69268.25015 6.65991
60676 69860.71038 6.81154
60676 70453.17061 6.96321
60676 71045.63084 7.11492
60676 71638.09107 7.26667
60676 72230.55130 7.41846
60676 72823.01153 7.57031
60676 73415.47177 7.72221
60676 74007.93200 7.87416
60676 74600.39223 8.02617
60676 75192.85246 8.17824
60676 75785.31269 8.33037
60676 76377.77292 8.48257
60676 76970.23315 8.63484
60676 77562.69338 8.78718
60676 78155.15361 8.93959
60676 78747.61384 9.09207
60676 79340.07407 9.24463
60676 79932.53430 9.39727
60676 80524.99453 9.54998
60676 81117.45476 9.70278
60676 81709.91499 9.85567
60676 82302.37523 10.00863
60676 82894.83546 10.16168
60676 83487.29569 10.31482
60676 84079.75592 10.46804
60676 84672.21615 10.62135
60676 85264.67638 10.77475
60676 85857.13661 10.92824
60677 49.59684 11.08182
60677 642.05707 11.23549
60677 1234.51730 11.38925
60677 1826.97753 11.54309
60677 2419.43776 11.69703
60677 3011.89799 11.85105
60677 3604.35822 12.00516
60677 4196.81846 12.15936
60677 4789.27869 12.31365
60677 5381.73892 12.46802
60677 5974.19915 12.62247
60677 6566.65938 12.77701
60677 7159.11961 12.93162
60677 7751.57984 13.08632
60677 8344.04007 13.24110
60677 8936.50030 13.39595
60677 9528.96053 13.55088
60677 10121.42076 13.70587
60677 10713.88099 13.86094
60677 11306.34122 14.01608
60677 11898.80145 14.17128
60677 12491.26168 14.32654
60677 13083.72192 14.48186
60677 13676.18215 14.63724
60677 14268.64238 14.79268
60677 14861.10261 14.94816
60677 15453.56284 15.10370
60677 16046.02307 15.25927
60677 16638.48330 15.41489
60677 17230.94353 15.57055
60677 17823.40376 15.72624
60677 18415.86399 15.88197
60677 19008.32422 16.03772
60677 19600.78445 16.19350
60677 20193.24468 16.34930
60677 20785.70491 16.50512
60677 21378.16515 16.66095
60677 21970.62538 16.81679
60677 22563.08561 16.97264
60677 23155.54584 17.12849
60677 23748.00607 17.28434
60677 24340.46630 17.44018
60677 24932.92653 17.59602
60677 25525.38676 17.75185
60677 26117.84699 17.90766
60677 26710.30722 18.06345
60677 27302.76745 18.21923
60677 27895.22768 18.37497
60677 28487.68791 18.53069
60677 29080.14814 18.68637
60677 29672.60838 18.84202
60677 30265.06861 18.99763
60677 30857.52884 19.15320
60677 31449.98907 19.30872
60677 32042.44930 19.46419
60677 32634.90953 19.61961
60677 33227.36976 19.77498
60677 33819.82999 19.93028
60677 34412.29022 20.08553
60677 35004.75045 20.24072
60677 35597.21068 20.39584
60677 36189.67091 20.55090
60677 36782.13114 20.70588
60677 37374.59137 20.86079
60677 37967.05160 21.01563
60677 38559.51184 21.17040
60677 39151.97207 21.32508
60677 39744.43230 21.47969
60677 40336.89253 21.63421
60677 40929.35276 21.78866
60677 41521.81299 21.94302
60677 42114.27322 22.09729
60677 42706.73345 22.25148
60677 43299.19368 22.40559
60677 43891.65391 22.55961
60677 44484.11414 22.71354
60677 45076.57437 22.86738
60677 45669.03460 23.02113
60677 46261.49483 23.17480
60677 46853.95507 23.32837
60677 47446.41530 23.48186
60677 48038.87553 23.63526
60677 48631.33576 23.78858
60677 49223.79599 23.94180
60677 49816.25622 0.09494
60677 50408.71645 0.24800
60677 51001.17668 0.40097
60677 51593.63691 0.55385
60677 52186.09714 0.70666
60677 52778.55737 0.85939
60677 53371.01760 1.01203
60677 53963.47783 1.16460
60677 54555.93806 1.31709
60677 55148.39829 1.46951
60677 55740.85853 1.62186
60677 56333.31876 1.77414
60677 56925.77899 1.92635
60677 57518.23922 2.07849
60677 58110.69945 2.23057
60677 58703.15968 2.38260
60677 59295.61991 2.53456
60677 59888.08014 2.68647
60677 60480.54037 2.83833
60677 61073.00060 2.99014
60677 61665.46083 3.14190
60677 62257.92106 3.29362
60677 62850.38129 3.44529
60677 63442.84152 3.59693
