CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T09:23:29.476
ORIGINATOR     = CNES

META_START

COMMENT Angle between solar array normal direction and Sun direction
COMMENT days (MJD), sec (UTC), angle (deg)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SUN_ANGLE_SA_1
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842

META_STOP

60676 43200.00000 22.46896
60676 43792.46023 22.47845
60676 44384.92046 22.49104
60676 44977.38069 22.49242
60676 45569.84092 22.47751
60676 46162.30115 22.44295
60676 46754.76138 22.38326
60676 47347.22161 22.28771
60676 47939.68185 22.13434
60676 48532.14208 21.87298
60676 49124.60231 21.36308
60676 49717.06254 20.01356
60676 50309.52277 8.33098
60676 50901.98300 28.10753
60676 51494.44323 25.27800
60676 52086.90346 24.49972
60676 52679.36369 24.13907
60676 53271.82392 23.93259
60676 53864.28415 23.79987
60676 54456.74438 23.70798
60676 55049.20461 23.64104
60676 55641.66484 23.59047
60676 56234.12508 23.55117
60676 56826.58531 23.51996
60676 57419.04554 23.49480
60676 58011.50577 23.47426
60676 58603.96600 23.45733
60676 59196.42623 23.44332
60676 59788.88646 23.43171
60676 60381.34669 23.42211
60676 60973.80692 23.41419
60676 61566.26715 22.88176
60676 62158.72738 22.90095
60676 62751.18761 22.43052
60676 63343.64784 23.45877
60676 63936.10807 22.79201
60676 64528.56830 22.25621
60676 65121.02854 28.47608
60676 65713.48877 28.40154
60676 66305.94900 28.30829
60676 66898.40923 28.19715
60676 67490.86946 28.06901
60676 68083.32969 27.92444
60676 68675.78992 27.76425
60676 69268.25015 27.58933
60676 69860.71038 27.40059
60676 70453.17061 27.19905
60676 71045.63084 26.98587
60676 71638.09107 26.76226
60676 72230.55130 26.52951
60676 72823.01153 26.28891
60676 73415.47177 26.04183
60676 74007.93200 25.78968
60676 74600.39223 25.53394
60676 75192.85246 25.27609
60676 75785.31269 25.01763
60676 76377.77292 24.76008
60676 76970.23315 24.50498
60676 77562.69338 24.25394
60676 78155.15361 24.00853
60676 78747.61384 23.77033
60676 79340.07407 23.54089
60676 79932.53430 23.32175
60676 80524.99453 23.11443
60676 81117.45476 22.92040
60676 81709.91499 22.74110
60676 82302.37523 22.57794
60676 82894.83546 22.43225
60676 83487.29569 22.30528
60676 84079.75592 22.19823
60676 84672.21615 22.11219
60676 85264.67638 22.04819
60676 85857.13661 22.00714
60677 49.59684 21.98983
60677 642.05707 21.99695
60677 1234.51730 22.02905
60677 1826.97753 22.08655
60677 2419.43776 22.16974
60677 3011.89799 22.27872
60677 3604.35822 22.41345
60677 4196.81846 22.57371
60677 4789.27869 22.75913
60677 5381.73892 22.96912
60677 5974.19915 23.20296
60677 6566.65938 23.45971
60677 7159.11961 23.73826
60677 7751.57984 24.03731
60677 8344.04007 24.35536
60677 8936.50030 24.69076
60677 9528.96053 25.04164
60677 10121.42076 25.40597
60677 10713.88099 25.78153
60677 11306.34122 26.16598
60677 11898.80145 26.55687
60677 12491.26168 26.95160
60677 13083.72192 27.34743
60677 13676.18215 27.74149
60677 14268.64238 28.13087
60677 14861.10261 28.51267
60677 15453.56284 28.88395
60677 16046.02307 29.24175
60677 16638.48330 29.58311
60677 17230.94353 29.90517
60677 17823.40376 30.20519
60677 18415.86399 30.48054
60677 19008.32422 30.72878
60677 19600.78445 30.94763
60677 20193.24468 31.13504
60677 20785.70491 31.28926
60677 21378.16515 31.40882
60677 21970.62538 31.49254
60677 22563.08561 31.53955
60677 23155.54584 31.54930
60677 23748.00607 31.52168
60677 24340.46630 31.45696
60677 24932.92653 31.35579
60677 25525.38676 31.21906
60677 26117.84699 31.04800
60677 26710.30722 30.84414
60677 27302.76745 30.60933
60677 27895.22768 30.34567
60677 28487.68791 30.05553
60677 29080.14814 29.74146
60677 29672.60838 29.40621
60677 30265.06861 29.05263
60677 30857.52884 28.68371
60677 31449.98907 28.30245
60677 32042.44930 27.91182
60677 32634.90953 27.51481
60677 33227.36976 27.11445
60677 33819.82999 26.71372
60677 34412.29022 26.31554
60677 35004.75045 25.92265
60677 35597.21068 25.53768
60677 36189.67091 25.16310
60677 36782.13114 24.80124
60677 37374.59137 24.45428
60677 37967.05160 24.12416
60677 38559.51184 23.81269
60677 39151.97207 23.52144
60677 39744.43230 23.25182
60677 40336.89253 23.00506
60677 40929.35276 22.78219
60677 41521.81299 22.58404
60677 42114.27322 22.41126
60677 42706.73345 22.26428
60677 43299.19368 22.14332
60677 43891.65391 22.04844
60677 44484.11414 21.97960
60677 45076.57437 21.93654
60677 45669.03460 21.91888
60677 46261.49483 21.92608
60677 46853.95507 21.95746
60677 47446.41530 22.01222
60677 48038.87553 22.08948
60677 48631.33576 22.18821
60677 49223.79599 22.30732
60677 49816.25622 22.44559
60677 50408.71645 22.60178
60677 51001.17668 22.77454
60677 51593.63691 22.96247
60677 52186.09714 23.16414
60677 52778.55737 23.37805
60677 53371.01760 23.60270
60677 53963.47783 23.83653
60677 54555.93806 24.07800
60677 55148.39829 24.32554
60677 55740.85853 24.57755
60677 56333.31876 24.83246
60677 56925.77899 25.08869
60677 57518.23922 25.34472
60677 58110.69945 25.59902
60677 58703.15968 25.85010
60677 59295.61991 26.09651
60677 59888.08014 26.33681
60677 60480.54037 26.56964
60677 61073.00060 26.79364
60677 61665.46083 27.00754
60677 62257.92106 27.21016
60677 62850.38129 27.40037
60677 63442.84152 27.57713
